Julia Sabaté,Man,Person
Julian Lennon,Man,Person
Junior,Man,Person
Junior Senior,Man,Group
Just_us,Man,Group
Kadanz,Man,Group
Karyn White,Vrouw,Person
Kinga Bán,Vrouw,Person
Kirsty MacColl,Vrouw,Person
Knack,Man,Group
Kygo & Dean Lewis,?,Featuring
Kygo & Whitney Houston,?,Featuring
Kygo Ft. Dean Lewis,?,Featuring
Labrinth Ft Emeli Sande,?,Featuring
Lakeside,Man,Group
Lasgo,Man,Group
Lemon Pipers,Man,Group
Len Barry,Man,Person
Lesley Gore,Vrouw,Person
LIAM LYNCH,Man,Person
Libianca & Cian Ducrot,?,Featuring
Lighthouse Family,Man,Group
Lijpe,Man,Person
Lilly Wood & The Prick & Robin Schulz,?,Featuring
Little Richard,Man,Person
Living In A Box,Man,Group
Lmfao,Man,Group
Los Lobos,Man,Group
Lost Frequencies & Calum Scott,?,Featuring
Love Affair,Man,Group
Luis Fonsi & Daddy Yankee,?,Featuring
Luis Fonsi Ft Daddy Yankee,?,Featuring
Luisa Fernandez,Vrouw,Person
Madcon Ft. Ray Dalton,?,Featuring
Maitre Gims,Man,Person
Manolo Otero,Man,Person
Marcus King,Man,Person
Marshall Hain,Man,Group
Marshmello,Man,Person
Marshmello & Jonas Brothers,?,Featuring
Marsmello Ft Pink & Sting,?,Featuring
Martin Garrix & Dua Lipa,?,Featuring
Martin Garrix Ft. Bonn,?,Featuring
Marty,Man,Person
Marvin Welch & Farrar,?,Featuring
Mary J Blige & George Michael,?,Featuring
Master Kg Ft. Nomcebo Zikode,?,Featuring
Mathew Wilder,Man,Person
Matthew Wilder,Man,Person
Maxine & Franklin Brown,?,Featuring
Mc Hammer,Man,Person
McCoys,Man,Group
"McGuinn, Clark & Hillman",?,Featuring
Meck & Leo Sayer,?,Featuring
Meduza & James Carter & Elley Duhe & Fastboy,?,Featuring
Meduza & James Carter Ft. Elley Duhe & Fastboy,?,Featuring
Metejoor & Hannah Mae,?,Featuring
Metro Boomin & The Weeknd & 21 Savage,?,Featuring
Mezzoforte,Man,Group
MGMT,Man,Group
Michael Mcdonald,Man,Person
Milky Chance,Man,Group
Millie Small,Vrouw,Person
Modjo,Man,Group
Moloko,Man,Group
Mother's Finest,Man,Group
Mr Mister,Man,Group
Mr President,Man,Group
Mud,Man,Group
Munchener Freiheit,Man,Group
Nathan Dawe & Joel Corry,?,Featuring
Nazareth,Man,Group
New Order,Man,Group
New Seekers,Man,Group
Nicky Jam & Enrique Iglesias,?,Featuring
Nico & Vinz,?,Featuring
Nicolas Peyrac,Man,Person
Nightwish,Man,Group
Noodweer,Man,Group
O.C. Smith,Man,Person
Oliver Cheatham,Man,Person
Oran' Juice Jones,Man,Person
Otis Redding,Man,Person
Outfield,Man,Group
Outhere Brothers,Man,Group
Paramore,Man,Group
Parla & Pardoux,?,Featuring
Partridge Family,Man,Group
Paul Hardcastle,Man,Person
Pete Philly & Perquiste ft. Naaz,?,Featuring
Peter Schaap,Man,Person
Peter Schilling,Man,Person
Pierre Rapsat,Man,Person
Player,Man,Group
Poppy Family,Man,Group
Power Station,Man,Group
Pretenders,Man,Group
Princess,Vrouw,Group
Propaganda,Man,Group
Q65,Man,Group
Ralph McTell,Man,Person
Ray Parker Jr,Man,Person
Raye,Vrouw,Person
RB Greaves,Man,Person
Real Thing,Man,Group
Red Box,Man,Group
Regard,Man,Person
Rema,Man,Group
Reo Speedwagon,Man,Group
Richard Marx,Man,Person
Richenel,Man,Person
Righteous Brothers,Man,Group
Riton & Nightcrawlers Ft. Mufasa & Hypeman,?,Featuring
Roachford,Man,Group
Rocco Granata,Man,Person
Ronettes,Vrouw,Group
Room 5 Feat. Oliver Cheatham,?,Featuring
Rudimental ft. Ella Eyre,?,Featuring
Ryan Paris,Man,Person
Sailor,Man,Group
Sak Noel,Man,Person
Sam Wyman,Man,Person
Scene,Man,Person
Scott Fitzgerald & Yvonne Keeley,?,Featuring
September,Vrouw,Person
Shakira Feat. Wyclef Jean,?,Featuring
Shoes,Man,Group
Sigala,Man,Person
Silbermond,Man,Group
Simon Webbe,Man,Person
Simple Plan,Man,Group
Skee Lo,Man,Person
Sl2,Man,Group
Slade,Man,Group
Slim Harpo,Man,Person
Snowy White,Man,Person
Something Happens,Man,Group
Soul Ii Soul,Man,Group
Spagna,Vrouw,Person
Spargo,Man,Group
Special D,Man,Person
Specials,Man,Group
Split Enz,Man,Group
Spooky & Sue,?,Featuring
Spooky Tooth,Man,Group
Starbuck,Man,Group
Starland Vocal Band,Man,Group
Stars on 45,Man,Group
Steeleye Span,Man,Group
Stephan Bouwman,Man,Person
Stereo Mc's,Man,Group
Stevie V (Adventures Of),Man,Group
Stranglers,Man,Group
Stray Cats,Man,Group
Studio Killers,Man,Group
Sugarhill Gang,Man,Group
Sunblock,Man,Group
Swedish House Maffia/Connie Constance,?,Featuring
T Rex,Man,Group
Tamino,Man,Person
Ten Sharp,Man,Group
Ten Years After,?,Featuring
Terence Trent D'Arby,Man,Person
The 1975,Man,Group
The Archies,Man,Group
The Association,Man,Group
"The Blessed Madonna, Clementine Douglas",Vrouw,Person
The Bucketheads,Man,Person
The Chainsmokers & Coldplay,?,Featuring
The Cleftones,?,Featuring
The Contours,Man,Group
The Emotions,Man,Group
The Foundations,Man,Group
The Golden Earrings,Man,Group
The Housemartins,Man,Group
The Human League,Man,Group
The Jam,Man,Group
The Korgis,Man,Group
The Move,Man,Group
The Original,Man,Group
The Quick,Man,Group
The Real Thing,Man,Group
The Ronettes,Vrouw,Group
The Rubettes,Man,Group
The Shorts,Man,Group
The Spin Doctors,Man,Group
The Supremes,Vrouw,Group
The Sweet,Man,Group
The War on Drugs,Man,Group
Them,Man,Group
Three Degrees,Vrouw,Group
Tiesto Jonas Blue & Rita Ora,?,Featuring
Tim Berg,Man,Person
Tim Hardin,Man,Person
Time Bandits,Man,Group
Time Square Ft Xavier Rudd,?,Featuring
Timex Social Club,Man,Group
Tokyo Ghetto Pussy,Man,Group
Tol Hansse,Man,Person
Tom Browne,Man,Person
Tommy Boyce & Bobby Hart,?,Featuring
Trammps,Man,Group
Trinity,Man,Person
Ultravox,Man,Group
Vulfpeck,Man,Group
Was (Not Was),Man,Group
Wax,Vrouw,Person
Backyard Casanova's,?,Error'artist-relation-list'
Comedown,?,Error'artist-relation-list'
Fortunes,?,Error'artist-relation-list'
FRIDAY,?,Error'artist-relation-list'
