Artiest
Mezerg
Lambrini Girls
Idles
Loreena Mckennitt
George Baker (Selection)
Peter Brown
Dennis DeYoung
Baltimora
Rufus Wainwright
Jefferson
George Mccrae
Sex Pistols
Sandy Posey
Steve Arrington
Saco
Tommy James & The Shondells
SUEDE
Almklausi
Marbles
Ronnie & De Ronnies
Martin Garrix X Jvke
Syndicate of Sound
Simon Dupree & The Big Sound
Doris Troy
Mar-Keys
Edelweiss
Knickerbockers
Mar-Keys
love
R. Kelly
Jainda
The Black And White Brothers
Timmy T
Bobby Hebb
Shabba Ranks
Jainda
Swinging Soul Machine
Shaft
De Bos
Jefferson
Next
Army Of Lovers
The Connells
Romeo
Breeders
Post Malone ft. Swae Lee
Nelson Riddle & his Orchestra
The Shangri-Las
Def Rhymz
High Fidelity
Boy Krazy
Nelson Riddle & His Orchestra
Critical Mass
The Symbol / Prince
Highwaymen
The Riders
Matt Monro
Dave Brubeck Quartet
Mark'Oh
Freddy Quinn
Het Cocktail Trio
Cocktail Trio
Paul Johnson
Johnny Hoes
Mc Sar & The Real Mccoy
Lauryn Hill & Bob Marley
Kenny Ball & His Jazzmen
Hugues Aufray
Baby D
Shubh
Sylvain Poons & Oetze Verschoor
Karol G & Tiesto
Joey Dee & The Starliters
The Blue Diamonds
Staple Singers
Nasty
Windjammer
De Lawineboys
Camisra
Stiltskin
East 17
2 Eivissa
Don Omar & Lucenzo
Gerald & Nelinda Troost
SWV
The Seekers
Raye/070 Shake
Mantronix ft. Wondress
Lynn Collins
Dennis Edwards & Siedah Garrett
Surface
Rudi Carrell
Gene Chandler
Dean Martin
Housemartins
Novo Band
NIA ARCHIVES
Jordy, Sander & Yuki
Snoop Dogg & Justin Timberlake
Rhiannon Giddens
Michelle David & The True Tones
Calvin Harris Ft. Rag 'N' Bone Man
Stacey Ryan
Caroline Polachek
Eric Burdon & War
Confidence Man
Groove Theory
Joost Swinkels
Rudi Carrell
Cee Loo Green
Staple Singers
Guru & Donald Byrd
Ronnie Tober
Somethin' For The People
Bb & Q Band
Gary Pucket & The Union Gap
Lace
De'Lacy
Hughes Aufray
Marvelettes
P.J. Proby
Patti Labelle
Het
Eric B. &  Rakim
Lorne Greene
The Blue Diamonds
Dewolff & Dawn Brothers
Mark Ronson ft. Daniel Merriweather
S-Express
Johnny Bristol
Association
Isley Jasper Isley
Merrymen
Bo Saris
Shuffles
Erykah Badu & The Roots
Blackstreet
Eric Burdon & War
Adèle Bloemendaal, Leen Jongewaard, Piet Romer
Jill Scott
Jean Ferrat
Ub40 & Afrika Bambaataa
Wicked Jazz Sounds Band
Next
Kovacs
Albin Lee Meldau/Jack Savoretti
Az Yet
The Avener
Cymande
Parliament
Hervé Vilard
Cyrkle
Al Hudson
Mary Mary
Matt Monro
Otis Redding & Carla Thomas
Twice As Much
Joe
Xzibit
Roger Miller
Clarence 'Frogman' Henry
The Bar Kays
Ohio Players
Keith Sweat ft. Athena Cage
Jackson Sisters
DJ Kool
Duane Eddy
Funkadelic
Eliana Pittman
Betty Everett
Allen Toussaint
Jay-Z
Foundations
Michelle David & The True Tones
Bombers
Surfaris
Leela James
Paul Revere & The Raiders
Julie Driscoll, Brian Auger & The Trinity
The Source
Young Disciples
A Tribe Called Quest
Miles Davis
Aaron Neville
The Staple Singers
Vogue
Lorren
D-Train
Maxwell
Ashanti
Impressions
Kinga Ban en Liesbeth Smit, solo. Koor & Band Opwekking
Saco
Joke Buis
Georges Moustaki
Georges Moustaki
Conny Stuart
Harry Belafonte
Martine Bijl
Johan Kaart & Tabe Bas
Sam Sparro
Joel Corry/Raye/David Guetta
Dorus = Tom Manders
Gotye
Michel Teló
Enrico Macias
Ice Mc
Andre Hazes & Paul De Leeuw
2 Boys
Pm Dawn
M
Toy-Box
The Braids
Rod Stewart, Bryan Adams & Sting
Kenny Rogers & The First Edition
Playahitti
Psy
Re-Play
The Bc 52'S
Curtis Lee
Gary Barlow
Percy Faith
The Fouryo's
The Peddlers
Percy Faith
Scaffold
Buzzy Bus
U 96
Tommy James and the Shondells
Jay-Z
Gusto
Animals & Eric Burdon
A Teens
Leo Den Hop
Nicoletta
