Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Flower Pot Men,A Walk In The Sky,2024-02-10T23:59:36,2024-02-11T00:02:46,False,5
Talking Heads,Road To Nowhere,2024-02-11T00:01:18,2024-02-11T00:05:19,False,Veronica
Ed Sheeran,American Town,2024-02-11T00:01:53,2024-02-11T00:04:53,False,Sky
James Brown,Sex Machine,2024-02-11T00:02:13,2024-02-11T00:05:04,False,2
Donovan,Colours,2024-02-11T00:02:17,2024-02-11T00:05:01,False,5
Commodores,Sail On,2024-02-11T00:04:58,2024-02-11T00:08:57,False,5
Counting Crows & Blof,Holiday In Spain,2024-02-11T00:05:11,2024-02-11T00:08:11,False,Sky
Armand Van Helden,You Don't Know Me,2024-02-11T00:05:51,2024-02-11T00:09:50,False,Veronica
Yvonne Elliman,Love pains,2024-02-11T00:04:59,2024-02-11T00:09:19,True,2
Prince & The New Power Generation,Willing And Able,2024-02-11T00:09:20,2024-02-11T00:14:19,False,2
Black,Wonderful Life,2024-02-11T00:09:01,2024-02-11T00:13:48,False,5
Master Kg Ft. Nomcebo Zikode,Jerusalema,2024-02-11T00:08:54,2024-02-11T00:11:54,False,Sky
Ed Sheeran,Shape Of You,2024-02-11T00:10:39,2024-02-11T00:14:29,False,Veronica
Mr. Mister,Broken Wings,2024-02-11T00:12:07,2024-02-11T00:15:07,False,Sky
Venice,Sorry,2024-02-11T00:13:42,2024-02-11T00:17:12,False,5
Sweet,Fox On The Run,2024-02-11T00:15:57,2024-02-11T00:19:19,False,Veronica
Blu Cantrell,Hit 'Em Up Style,2024-02-11T00:14:32,2024-02-11T00:18:47,False,2
Post Malone,Enough Is Enough,2024-02-11T00:16:35,2024-02-11T00:19:35,False,Sky
Eagles,Hotel California,2024-02-11T00:17:07,2024-02-11T00:23:36,False,5
Neneh Cherry,Buddy X,2024-02-11T00:18:33,2024-02-11T00:21:35,True,2
Seal,Kiss From A Rose,2024-02-11T00:19:22,2024-02-11T00:22:22,False,Sky
U2,Elevation,2024-02-11T00:20:29,2024-02-11T00:24:03,False,Veronica
Coolio,Fantastic Voyage,2024-02-11T00:21:36,2024-02-11T00:25:38,False,2
Celine Dion,Falling Into You,2024-02-11T00:23:28,2024-02-11T00:27:45,True,5
Sia,Never Give Up,2024-02-11T00:24:05,2024-02-11T00:27:05,True,Sky
Blof,Wat Zou Je Doen,2024-02-11T00:25:31,2024-02-11T00:29:52,False,Veronica
Sade,The Sweetest Taboo,2024-02-11T00:25:33,2024-02-11T00:29:57,True,2
Anne Marie Ft. Shania Twain,Unhealthy (Acoustic),2024-02-11T00:27:41,2024-02-11T00:30:41,True,Sky
Michael McDonald,I Keep Forgettin',2024-02-11T00:27:42,2024-02-11T00:31:23,False,5
Michael Jackson,Way You Make Me Feel,2024-02-11T00:30:34,2024-02-11T00:34:59,False,Veronica
Ryan Shaw,Do The 45,2024-02-11T00:29:45,2024-02-11T00:32:14,False,2
Bruno Mars,Just The Way You Are,2024-02-11T00:30:09,2024-02-11T00:33:09,False,Sky
Colin Blunstone,Say You Don't Mind,2024-02-11T00:31:26,2024-02-11T00:34:42,False,5
Katie Koss,Hopeless,2024-02-11T00:32:17,2024-02-11T00:35:24,False,2
Kygo Ft. Dean Lewis,Lost Without You,2024-02-11T00:33:50,2024-02-11T00:36:50,False,Sky
Dennis van Aarssen ft. Jeff Franzel,Waiting For Tonight,2024-02-11T00:34:36,2024-02-11T00:37:44,False,5
Rock Steady Crew,(Hey You) The Rock Steady Crew,2024-02-11T00:35:18,2024-02-11T00:39:01,False,2
Gavin James,Nervous (The Ooh Song),2024-02-11T00:37:08,2024-02-11T00:40:08,False,Sky
Manfred Mann,Pretty Flamingo,2024-02-11T00:37:35,2024-02-11T00:40:07,False,5
Young Gun Silver Fox,Kingston Boogie,2024-02-11T00:39:00,2024-02-11T00:42:59,False,2
Robert Long,Thorbeckeplein,2024-02-11T00:40:09,2024-02-11T00:43:44,False,5
Nothing But Thieves,Overcome,2024-02-11T00:40:25,2024-02-11T00:43:25,False,Sky
Belinda Carlisle,Heaven Is A Place On Earth,2024-02-11T00:43:25,2024-02-11T00:46:25,True,Sky
Gavin Degraw,I Don't Want To Be,2024-02-11T00:43:42,2024-02-11T00:47:18,False,Veronica
Mary J. Blige,Real Love,2024-02-11T00:42:55,2024-02-11T00:47:22,True,2
I've Got The Bullets,In The Middle Of The Night,2024-02-11T00:43:42,2024-02-11T00:47:36,False,5
Black Eyed Peas,Where Is The Love,2024-02-11T00:47:18,2024-02-11T00:50:18,False,Sky
Jimmy Nail,Ain't No Doubt,2024-02-11T00:48:45,2024-02-11T00:52:39,False,Veronica
Gwen McCrae,Keep The Fire Burning,2024-02-11T00:47:24,2024-02-11T00:50:53,False,2
Neil Sedaka,Calendar girl,2024-02-11T00:47:42,2024-02-11T00:50:20,False,5
Elton John,Sacrifice,2024-02-11T00:50:15,2024-02-11T00:55:21,False,5
Racoon,Nickel For Goodbye,2024-02-11T00:51:07,2024-02-11T00:54:07,False,Sky
Michael Kiwanuka,Solid Ground,2024-02-11T00:50:45,2024-02-11T00:54:35,False,2
Vanity Six,Nasty Girl,2024-02-11T00:53:18,2024-02-11T00:58:31,False,Veronica
En Vogue,Hold On,2024-02-11T00:54:43,2024-02-11T00:59:47,True,2
Stephan Sulke,Lotte,2024-02-11T00:55:15,2024-02-11T00:58:12,False,5
Shawn Mendes,When You're Gone,2024-02-11T00:54:51,2024-02-11T00:57:51,False,Sky
Zen,Hair,2024-02-11T00:58:12,2024-02-11T01:00:18,False,5
James Blunt,1973,2024-02-11T00:57:48,2024-02-11T01:00:48,False,Sky
Supertramp,School,2024-02-11T00:59:51,2024-02-11T01:05:24,False,Veronica
Jackie Wilson,Reet Petite,2024-02-11T00:59:30,2024-02-11T01:02:13,False,2
Genesis,Invisible Touch,2024-02-11T01:02:16,2024-02-11T01:05:16,False,10
Tone Loc,Wild Thing,2024-02-11T01:02:34,2024-02-11T01:05:49,False,2
Ben Howard,Keep Your Head Up,2024-02-11T01:02:36,2024-02-11T01:06:26,False,3
Supremes,Love Is Here And Now You're Gone,2024-02-11T01:02:37,2024-02-11T01:05:23,True,5
Kriss Kross Amsterdam & Sera & Conor Maynard,Stay (Never Leave),2024-02-11T01:04:00,2024-02-11T01:07:00,False,Sky
Dido,Thank You,2024-02-11T01:05:28,2024-02-11T01:08:28,True,10
Van Halen,Why Can't This Be Love,2024-02-11T01:05:54,2024-02-11T01:09:29,False,Veronica
ABC,All Of My Heart,2024-02-11T01:05:18,2024-02-11T01:10:08,False,5
Ben L'Oncle Soul,Soulman,2024-02-11T01:05:46,2024-02-11T01:09:28,False,2
"Lost Frequencies, Bastille",Head Down,2024-02-11T01:06:30,2024-02-11T01:09:21,False,3
Charlie Puth,See You Again,2024-02-11T01:06:32,2024-02-11T01:09:32,False,Sky
Douwe Bob,Nothing To Lose,2024-02-11T01:10:10,2024-02-11T01:13:10,False,Sky
The Beatles,All You Need Is Love,2024-02-11T01:08:51,2024-02-11T01:11:51,False,10
David Gray,Babylon,2024-02-11T01:10:13,2024-02-11T01:13:40,False,Veronica
Giorgio Moroder,From Here To Eternity,2024-02-11T01:09:23,2024-02-11T01:13:10,False,2
The Black Keys,Beautiful People (Stay High),2024-02-11T01:09:37,2024-02-11T01:12:24,False,3
Rob De Nijs,Malle Babbe,2024-02-11T01:10:08,2024-02-11T01:14:22,False,5
Billy Joel,The River Of Dreams,2024-02-11T01:12:11,2024-02-11T01:15:11,False,10
Jungle,Keep Moving,2024-02-11T01:12:30,2024-02-11T01:15:31,False,3
Anastacia,I'm Outta Love,2024-02-11T01:13:08,2024-02-11T01:16:08,True,Sky
Dire Straits,Sultans Of Swing,2024-02-11T01:14:30,2024-02-11T01:20:18,False,Veronica
Dionne Warwick,All The Love In The World,2024-02-11T01:13:10,2024-02-11T01:16:36,True,2
Alain Clark,The Sun,2024-02-11T01:14:19,2024-02-11T01:17:43,False,5
Irene Cara,Flashdance,2024-02-11T01:16:38,2024-02-11T01:19:38,True,Sky
Lewis Capaldi,Someone You Loved,2024-02-11T01:15:42,2024-02-11T01:18:42,False,10
Beyonc�,Be With You,2024-02-11T01:16:32,2024-02-11T01:20:52,False,2
Junior Senior,Move Your Feet,2024-02-11T01:16:13,2024-02-11T01:19:10,False,3
Ike & Tina Turner,Nutbush City Limits,2024-02-11T01:17:48,2024-02-11T01:20:45,False,5
Police,Don't Stand So Close To Me,2024-02-11T01:18:44,2024-02-11T01:21:44,False,10
Nothing But Thieves,Welcome To The DCC,2024-02-11T01:20:18,2024-02-11T01:23:30,False,Veronica
Harry Styles,As It Was,2024-02-11T01:19:08,2024-02-11T01:21:55,False,3
Pink,All Out Of Fight,2024-02-11T01:20:18,2024-02-11T01:23:18,True,Sky
Jamie Cullum,I'm All Over It,2024-02-11T01:20:54,2024-02-11T01:24:10,False,2
Valensia,Gaia,2024-02-11T01:20:36,2024-02-11T01:26:06,False,5
Lionel Richie,Do It To Me,2024-02-11T01:22:11,2024-02-11T01:25:11,False,10
Froukje,Kwijt,2024-02-11T01:21:52,2024-02-11T01:24:41,True,3
Di-Rect,Through The Looking Glass,2024-02-11T01:23:50,2024-02-11T01:26:50,False,Sky
Bizarre Inc & Angie Brown,I'm Gonna Get You,2024-02-11T01:24:20,2024-02-11T01:27:38,False,Veronica
Hall & Oates,I Can't Go For That (No Can Do),2024-02-11T01:24:11,2024-02-11T01:27:56,False,2
Arctic Monkeys,Arabella,2024-02-11T01:25:23,2024-02-11T01:28:48,False,3
Eurythmics,Love Is A Stranger,2024-02-11T01:25:59,2024-02-11T01:29:43,False,5
Imany,Don't Be So Shy (Filatov & Karas Remix),2024-02-11T01:26:44,2024-02-11T01:29:44,True,10
Meghan Trainor,Lips Are Moving,2024-02-11T01:27:36,2024-02-11T01:30:36,False,Sky
Coldplay,Speed Of Sound,2024-02-11T01:28:53,2024-02-11T01:33:40,False,Veronica
Bruno Mars ft. Cardi B,Finesse,2024-02-11T01:27:48,2024-02-11T01:31:25,False,2
Paul Young,Love Of The Common People,2024-02-11T01:29:59,2024-02-11T01:32:59,False,10
Onerepublic,Run,2024-02-11T01:28:48,2024-02-11T01:31:37,False,3
Lou Christie,SHE SOLD ME MAGIC,2024-02-11T01:29:47,2024-02-11T01:31:51,False,5
Marc Cohen,Walking In Memphis,2024-02-11T01:30:40,2024-02-11T01:33:40,False,Sky
Nits,The Tree,2024-02-11T01:31:48,2024-02-11T01:35:42,False,5
The Tibbs,Ain't It Funny,2024-02-11T01:31:30,2024-02-11T01:34:48,False,2
Glass Animals,Heat Waves (Radio Edit),2024-02-11T01:32:29,2024-02-11T01:35:54,False,3
Bon Jovi,It's My LIfe,2024-02-11T01:33:22,2024-02-11T01:36:22,False,10
Doors,Love Her Madly,2024-02-11T01:34:26,2024-02-11T01:37:43,False,Veronica
Luke Combs,Fast Car,2024-02-11T01:34:54,2024-02-11T01:37:54,False,Sky
Gibson Brothers,Que Sera Mi Vida,2024-02-11T01:34:41,2024-02-11T01:38:34,False,2
Frank Sinatra,My kind of town,2024-02-11T01:35:36,2024-02-11T01:38:43,False,5
Hot Chocolate,You Sexy Thing,2024-02-11T01:37:09,2024-02-11T01:40:09,False,10
Chef'special,Speed Of Light,2024-02-11T01:36:04,2024-02-11T01:39:10,False,3
Purple Disco Machine & Sophie And The Giants,Hypnotized,2024-02-11T01:38:23,2024-02-11T01:41:23,False,Sky
Racoon,Nickel For Goodbye,2024-02-11T01:38:43,2024-02-11T01:42:32,False,Veronica
Aretha Franklin,Don't Play That Song,2024-02-11T01:38:27,2024-02-11T01:41:26,True,2
Donna Summer,MacArthur Park,2024-02-11T01:38:45,2024-02-11T01:42:40,True,5
Chef' Special,In Your Arms,2024-02-11T01:41:07,2024-02-11T01:44:07,False,10
Robin Thicke,Magic,2024-02-11T01:41:24,2024-02-11T01:44:57,False,2
Keane,Nothing In My Way,2024-02-11T01:40:49,2024-02-11T01:44:48,False,3
