Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Bon Jovi,It's My Life (accoustic),2024-02-10T00:00:11,2024-02-10T00:03:11,False,Sky
Toto,Rosanna,2024-02-10T00:01:40,2024-02-10T00:04:40,False,10
Boudewijn De Groot,Welterusten Meneer De President,2024-02-10T00:02:18,2024-02-10T00:04:50,False,5
Editors,Ocean of Night,2024-02-10T00:03:07,2024-02-10T00:06:28,False,3
Luke Combs,Fast Car,2024-02-10T00:03:51,2024-02-10T00:06:51,False,Sky
Dire Straits,Private Investigations,2024-02-10T00:04:47,2024-02-10T00:10:41,False,5
Teddy Swims,The Door,2024-02-10T00:04:45,2024-02-10T00:07:45,False,Q
Mark Ronson Ft Bruno Mars,Uptown Funk,2024-02-10T00:05:36,2024-02-10T00:08:36,False,10
Nielson,IJskoud,2024-02-10T00:07:23,2024-02-10T00:10:23,False,Sky
Zerb Ft. Sofiya Nzau,Mwaki,2024-02-10T00:06:24,2024-02-10T00:09:52,False,3
Haddaway,What Is Love,2024-02-10T00:08:21,2024-02-10T00:11:21,False,Q
Celine Dion,Pour Que Tu M'aimes Encore,2024-02-10T00:09:34,2024-02-10T00:12:34,True,10
The Four Seasons,Who Loves You,2024-02-10T00:10:36,2024-02-10T00:14:51,False,5
Ub 40,I Can't Help Falling In Love,2024-02-10T00:10:52,2024-02-10T00:13:52,False,Sky
Wies Ft. Noor,Venus,2024-02-10T00:12:39,2024-02-10T00:15:27,False,3
Pink,All Out Of Fight,2024-02-10T00:14:06,2024-02-10T00:17:06,True,Sky
Frankie Valli,Grease,2024-02-10T00:13:40,2024-02-10T00:16:40,False,10
Son Mieux,Tonight,2024-02-10T00:14:43,2024-02-10T00:19:14,False,5
Chef'Special,Speed Of Light,2024-02-10T00:14:38,2024-02-10T00:17:38,False,Q
Fontaines D.C.,Jackie Down The Line,2024-02-10T00:15:23,2024-02-10T00:19:23,False,3
Amy Winehouse,You Know I'm No Good,2024-02-10T00:16:50,2024-02-10T00:19:50,True,10
Suzan & Freek,Goud,2024-02-10T00:17:43,2024-02-10T00:20:43,False,Q
