Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Daniel Powter,Bad Day,2024-10-26T04:55:20,2024-10-26T04:58:20,False,Sky,Nonstop Music Morning Show
The Cars,Drive,2024-10-26T04:55:04,2024-10-26T04:58:04,False,10,Het Weekend van 10 Non-Stop
Maroon 5,Sunday Morning,2024-10-26T05:00:00,2024-10-26T05:04:00,False,Veronica,Oh Wat Een Nacht
Dire Straits,Money For Nothing,2024-10-26T04:55:54,2024-10-26T05:00:02,False,2,Top 2000 Dossier
Dermot Kennedy,POWER OVER ME,2024-10-26T04:57:36,2024-10-26T05:00:36,False,538,53N8 Non-Stop
Carly Rae Jepsen,Call Me Maybe,2024-10-26T05:05:08,2024-10-26T05:08:08,True,Q,Qmusic
Alesso Ft. Nate Smith,I Like It,2024-10-26T05:06:35,2024-10-26T05:09:06,onbekend,3,Sebastiaan Ockhuysen
Raydio,Jack & Jill,2024-10-26T05:58:30,2024-10-26T06:03:03,False,5,Wekker-Wakker-Weekend
Black Eyed Peas,I Gotta Feeling,2024-10-26T06:51:36,2024-10-26T06:54:36,False,Sky,Nonstop Music Morning Show
Dr Alban,It's My Life,2024-10-26T06:50:27,2024-10-26T06:53:27,False,10,Het Weekend van 10 Non-Stop
Snow Patrol,CHASING CARS,2024-10-26T06:51:37,2024-10-26T06:54:37,False,538,Julia van Reyendam
Omc,How Bizarre,2024-10-26T07:04:51,2024-10-26T07:08:35,False,Veronica,Ferry Oomen
Level 42,Hot Water,2024-10-26T07:06:24,2024-10-26T07:10:02,False,2,Vroeg Pieken
The Weeknd,Dancing In The Flames,2024-10-26T07:10:23,2024-10-26T07:14:02,False,3,Ivo van Breukelen
Lady Gaga,Disease,2024-10-26T07:12:35,2024-10-26T07:15:35,True,Q,Jorien Renkema
Boney M,Brown Girl In The Ring,2024-10-26T08:02:29,2024-10-26T08:06:30,False,5,Wekker-Wakker-Weekend
Mr. Probz,WAVES,2024-10-26T08:50:56,2024-10-26T08:53:56,False,538,Julia van Reyendam
Michael Jackson,Billie Jean,2024-10-26T08:51:16,2024-10-26T08:54:16,False,Sky,Nonstop Music Morning Show
Kungs Vs Cookin' On 3 Burners,This Girl,2024-10-26T08:48:20,2024-10-26T08:51:20,False,10,Albert-Jan Sluis
Prince,Raspberry Beret,2024-10-26T09:08:54,2024-10-26T09:12:25,False,Veronica,Ferry Oomen
Rembrandts,I'll Be There For You,2024-10-26T09:10:54,2024-10-26T09:14:02,False,2,Vroeg Pieken
Coldplay,Feelslikeimfallinginlove,2024-10-26T09:14:42,2024-10-26T09:17:42,False,Q,Vincent Pronk
Froukje/S10,Ik Haat Hem Voor Jou,2024-10-26T09:17:57,2024-10-26T09:20:39,onbekend,3,Ivo van Breukelen
Orleans,Dance With Me,2024-10-26T10:05:24,2024-10-26T10:08:22,False,5,FM Op 5
Abba,Chiquitita,2024-10-26T10:50:03,2024-10-26T10:53:03,onbekend,10,Wouter Kooiman
Myles Smith,WAIT FOR YOU,2024-10-26T10:49:41,2024-10-26T10:52:41,onbekend,538,Het Beste van De 538 Ochtendshow
Dasha,Didn`t I,2024-10-26T10:51:04,2024-10-26T10:54:04,onbekend,Sky,Nonstop Weekend
Green Day,Basket Case,2024-10-26T11:12:58,2024-10-26T11:16:01,False,Veronica,Verschuurens Goud van Oud
Sabrina Carpenter,Taste,2024-10-26T11:15:42,2024-10-26T11:18:17,onbekend,2,Rinkeldekinkel
Lasgo,Something,2024-10-26T11:18:06,2024-10-26T11:21:06,False,Q,Vincent Pronk
Celeste,Stop This Flame,2024-10-26T11:19:15,2024-10-26T11:22:44,True,3,Rámon Verkoeijen
Madonna,Material Girl,2024-10-26T12:06:13,2024-10-26T12:10:13,True,5,Angela
Bløf & Geike Arnaert,ZOUTELANDE,2024-10-26T12:51:22,2024-10-26T12:54:22,False,538,Jordi Warners
Mary J. Blige & U2,One,2024-10-26T12:52:29,2024-10-26T12:55:29,True,10,Jan-Paul Grootentraast
The Weeknd,Blinding Lights,2024-10-26T12:49:13,2024-10-26T12:52:13,False,Sky,Nonstop Weekend
Shanice,I Love Your Smile,2024-10-26T13:17:01,2024-10-26T13:20:47,True,Veronica,WeekendRick
Son Mieux,Multicolor,2024-10-26T13:19:26,2024-10-26T13:22:26,False,Q,Tom & Bram
Arctic Monkeys,505,2024-10-26T13:24:03,2024-10-26T13:28:16,False,3,Mark en Mai
The 5th Dimension,Aquarius / Let The Sunshine In,2024-10-26T14:07:32,2024-10-26T14:12:17,False,5,Magical Mystery Tour
Jamiroquai,Virtual Insanity,2024-10-26T14:11:26,2024-10-26T14:15:15,False,2,Evelien
Teddy Swims,The Door,2024-10-26T14:49:12,2024-10-26T14:52:12,False,Sky,Weekend Hits
"Disturbed, Cyril",The Sound of Silence - CYRIL Remix,2024-10-26T14:53:14,2024-10-26T14:56:14,onbekend,538,Jordi Warners
Krezip,Sweet Goodbyes,2024-10-26T14:52:44,2024-10-26T14:55:44,False,10,Jan-Paul Grootentraast
Warren Zevon,Werewolves Of London,2024-10-26T15:21:09,2024-10-26T15:24:32,onbekend,Veronica,WeekendRick
One Direction,Little Things,2024-10-26T15:29:26,2024-10-26T15:33:02,False,3,Mark en Mai
Kygo & Imagine Dragons,Stars Will Align,2024-10-26T15:31:01,2024-10-26T15:34:01,False,Q,Top 40
Fleetwood Mac,Dreams,2024-10-26T16:13:09,2024-10-26T16:17:22,False,5,Theater van het Sentiment
The Kooks,She Moves In Her Own Way,2024-10-26T16:21:47,2024-10-26T16:24:36,False,2,Muziekcafé
Armin Van Buuren & Chef Special,Larger Than Life,2024-10-26T16:49:12,2024-10-26T16:52:12,onbekend,Sky,Feel Good Afternoon
Billie Eilish,BIRDS OF A FEATHER,2024-10-26T16:48:58,2024-10-26T16:51:58,True,538,Top 50
Nick Kamen,I Promised Myself,2024-10-26T16:49:49,2024-10-26T16:52:49,False,10,Dennis Verheugd
Shawn Mendes,Stitches,2024-10-26T17:25:14,2024-10-26T17:28:39,False,Veronica,Niek van der Bruggen
Alex Warren,Carry You Home,2024-10-26T17:32:59,2024-10-26T17:35:59,onbekend,Q,Top 40
DAFT PUNK,Veridis Quo (edit),2024-10-26T17:33:05,2024-10-26T17:35:53,onbekend,3,De Verlanglijst
Oden van Salomo,Zo is mijn God,2024-10-26T18:16:47,2024-10-26T18:21:00,onbekend,5,De Muzikale Fruitmand
Bobby Brown,My Prerogative,2024-10-26T18:25:57,2024-10-26T18:29:30,False,2,Soul Night met Corné
Dvbbs & Borgeous,TSUNAMI,2024-10-26T18:50:25,2024-10-26T18:53:25,False,538,Hotline
"Lady Gaga, Bruno Mars",Die With A Smile,2024-10-26T18:51:25,2024-10-26T18:54:25,onbekend,Sky,Feel Good Afternoon
Cranberries,Ode To My Family,2024-10-26T18:50:52,2024-10-26T18:53:52,False,10,Jules van Hest
Mike & The Mechanics,All I Need Is A Miracle,2024-10-26T19:29:17,2024-10-26T19:32:57,False,Veronica,The 70s & 80s Files
Post Malone & Morgan Wallen,I Had Some Help,2024-10-26T19:34:24,2024-10-26T19:37:24,onbekend,Q,Joey van der Velden
Glass Animals,Youth,2024-10-26T19:34:46,2024-10-26T19:38:36,False,3,Vera on Track
Spandau Ballet,Gold,2024-10-26T20:19:17,2024-10-26T20:23:03,False,5,Volgspot
Martin Boer,Soul Night Mix 2024-35 (12 oktober 2024),2024-10-26T20:30:01,2024-10-26T20:39:34,onbekend,2,Soul Night met Corné
Marshmello & Kane Brown,Miles On It,2024-10-26T20:50:21,2024-10-26T20:53:21,onbekend,Sky,Feel Good Evening
Kim Wilde,Kids In America,2024-10-26T20:51:40,2024-10-26T20:54:40,True,10,Jules van Hest
U2,Mysterious Ways,2024-10-26T21:33:38,2024-10-26T21:37:40,False,Veronica,Thijs Meeuwsen
Bicep,Cazenove,2024-10-26T21:35:51,2024-10-26T21:40:13,False,3,Vera on Track
Joost Swinkels,Worldwide Club 20,2024-10-26T22:03:13,2024-10-26T22:06:13,False,Q,Worldwide Club 20
Ton van Duinhoven als Feyenoord-suppoost Crooswijk,Nou Jaap Swart eindelijk opsodemietert...,2024-10-26T22:21:30,2024-10-26T22:29:12,onbekend,5,Volgspot
Tower Of Power,Souled Out,2024-10-26T22:41:43,2024-10-26T22:45:31,False,2,Soul Night met Shay
Gavin James,The Book Of Love,2024-10-26T22:49:52,2024-10-26T22:52:52,False,Sky,Lovesongs
10Cc,Dreadlock Holiday,2024-10-26T22:52:23,2024-10-26T22:55:23,onbekend,10,Top 4000 Classics
Linkin Park,In The End,2024-10-26T23:38:08,2024-10-26T23:41:44,False,Veronica,Thijs Meeuwsen
The Beat Mix,Charli - Wantigga-Objekt,2024-10-26T23:36:05,2024-10-26T23:44:43,onbekend,3,The Beat
Solomon Burke,Don't Give Up On Me,2024-10-27T00:45:19,2024-10-27T00:49:03,False,2,Soul Night Dossier
