Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Elvis Presley,Can't Help Falling In Love,2024-02-03T00:02:15,2024-02-03T00:05:16,False,5
Lucie Silvas,What You're Made Of,2024-02-03T00:02:40,2024-02-03T00:05:40,True,Sky
Billy Joel,Uptown Girl,2024-02-03T00:02:48,2024-02-03T00:05:48,False,10
Froukje,Kwijt,2024-02-03T00:03:10,2024-02-03T00:05:59,True,3
Noah Kahan,Stick Season,2024-02-03T00:04:49,2024-02-03T00:07:49,False,Q
Laura Branigan,Self Control,2024-02-03T00:05:11,2024-02-03T00:09:21,True,5
Post Malone,Chemical,2024-02-03T00:06:25,2024-02-03T00:09:25,False,Sky
Bruno Mars,Grenade,2024-02-03T00:05:53,2024-02-03T00:08:53,False,10
Chibi Ichigo / Sophie Straat,Energie,2024-02-03T00:05:55,2024-02-03T00:09:56,False,3
Cyndi Lauper,Girls Just Want To Have Fun,2024-02-03T00:07:43,2024-02-03T00:10:43,True,Q
Meau,Dit Heb Jij Gedaan,2024-02-03T00:09:22,2024-02-03T00:12:22,True,Sky
The Scene,Iedereen Is Van De Wereld,2024-02-03T00:09:32,2024-02-03T00:12:32,False,10
Paul Simon,Still Crazy After All These Years,2024-02-03T00:09:21,2024-02-03T00:12:46,False,5
Alain Clark,The Sun,2024-02-03T00:12:38,2024-02-03T00:16:02,False,5
Teddy Swims,The Door,2024-02-03T00:12:22,2024-02-03T00:15:22,False,Q
Janet Jackson,Together Again,2024-02-03T00:12:59,2024-02-03T00:15:59,True,Sky
Earth Wind & Fire,Boogie Wonderland,2024-02-03T00:13:26,2024-02-03T00:16:26,False,10
Alesso & Katy Perry,When I'm Gone,2024-02-03T00:15:55,2024-02-03T00:18:55,False,Q
URBAN DANCE SQUAD,HAPPY GO FUCKED UP,2024-02-03T00:16:13,2024-02-03T00:20:07,False,3
Frans Halsema,Kees,2024-02-03T00:16:04,2024-02-03T00:19:57,False,5
Son Mieux,Tonight,2024-02-03T00:16:59,2024-02-03T00:19:59,False,Sky
Amy Macdonald,This Is The Life,2024-02-03T00:17:06,2024-02-03T00:20:06,True,10
Antoon,Blindelings,2024-02-03T00:20:23,2024-02-03T00:23:23,False,Q
Owen Paul,My Favourite Waste Of Time,2024-02-03T00:20:10,2024-02-03T00:23:10,False,10
Simply Red,Stars,2024-02-03T00:19:52,2024-02-03T00:23:59,False,5
George Ezra,Green Green Grass,2024-02-03T00:21:34,2024-02-03T00:24:34,False,Sky
Queen,The Show Must Go On,2024-02-03T00:23:28,2024-02-03T00:26:28,False,10
Kane,Can You Handle Me,2024-02-03T00:24:20,2024-02-03T00:27:20,False,Q
Peter Gabriel & Kate Bush,Don't Give Up,2024-02-03T00:23:54,2024-02-03T00:29:49,False,5
Amy Winehouse,You Know I'm No Good,2024-02-03T00:24:21,2024-02-03T00:27:21,True,Sky
The Trammps,Shout,2024-02-03T00:27:29,2024-02-03T00:30:29,False,10
ELLIOTT SMITH,BETWEEN THE BARS,2024-02-03T00:27:10,2024-02-03T00:29:29,False,3
Heart,Alone,2024-02-03T00:28:32,2024-02-03T00:31:32,True,Sky
Loreen,Euphoria,2024-02-03T00:29:19,2024-02-03T00:32:19,True,Q
Alex Harvey,To Make My Life Beautiful,2024-02-03T00:29:46,2024-02-03T00:33:07,False,5
Sia,Chandelier,2024-02-03T00:31:00,2024-02-03T00:34:00,True,10
Yade Lauren,Feelings For You,2024-02-03T00:29:30,2024-02-03T00:32:21,False,3
Anne-Marie & Shania Twain,Unhealthy,2024-02-03T00:32:16,2024-02-03T00:35:16,True,Q
Shawn Mendes,Treat You Better,2024-02-03T00:32:13,2024-02-03T00:35:13,False,Sky
Tim Dawn,A Maze,2024-02-03T00:33:05,2024-02-03T00:36:47,False,5
Tom Grennan,Don't Break The Heart,2024-02-03T00:34:57,2024-02-03T00:37:57,False,Q
Wet Wet Wet,Angel Eyes,2024-02-03T00:34:25,2024-02-03T00:37:25,False,10
Ezra Glatt,Moving Light,2024-02-03T00:34:26,2024-02-03T00:35:58,False,3
Anne Marie Ft. Shania Twain,Unhealthy,2024-02-03T00:35:25,2024-02-03T00:38:25,True,Sky
The Beach Boys,Then I Kissed Her,2024-02-03T00:36:41,2024-02-03T00:38:51,False,5
Theo Nijland,Loop De Regen In,2024-02-03T00:37:47,2024-02-03T00:40:53,False,3
Kelly Clarkson,Behind These Hazel Eyes,2024-02-03T00:37:52,2024-02-03T00:40:52,True,Sky
Black Eyed Peas,I Gotta Feeling,2024-02-03T00:38:47,2024-02-03T00:41:47,False,10
Jim Croce,Time In A Bottle,2024-02-03T00:38:53,2024-02-03T00:41:18,False,5
David Guetta & Kim Petras,When We Were Young (The Logical Song),2024-02-03T00:39:43,2024-02-03T00:42:43,False,Q
Ed Sheeran,Overpass Graffiti,2024-02-03T00:41:09,2024-02-03T00:44:09,False,Sky
Julia Sabaté,DALIA,2024-02-03T00:40:40,2024-02-03T00:44:12,False,3
Ciska Peters,De Zwarte Kat,2024-02-03T00:41:14,2024-02-03T00:44:21,False,5
Bob Marley & The Wailers,Stir It Up,2024-02-03T00:43:00,2024-02-03T00:46:00,False,10
Robbie Williams,Rock Dj,2024-02-03T00:43:52,2024-02-03T00:46:52,False,Q
Bee Gees,New York Mining Disaster 1941,2024-02-03T00:44:36,2024-02-03T00:46:43,False,5
Lewis Capaldi,Strangers,2024-02-03T00:45:07,2024-02-03T00:48:07,False,Sky
Bobby Brown,Two Can Play That Game,2024-02-03T00:46:34,2024-02-03T00:49:34,False,10
Wende,Laat Mij Het Zijn,2024-02-03T00:46:58,2024-02-03T00:49:56,True,3
Dennis van Aarssen,Can't Leave Her Alone,2024-02-03T00:46:40,2024-02-03T00:50:47,False,5
Chef'Special,Speed Of Light,2024-02-03T00:47:55,2024-02-03T00:50:55,False,Q
A-Ha,Take On Me,2024-02-03T00:48:41,2024-02-03T00:51:41,False,Sky
Linkin Park,FAINT,2024-02-03T00:49:52,2024-02-03T00:52:34,False,3
Madonna,Who's That Girl,2024-02-03T00:50:02,2024-02-03T00:53:02,True,10
Lynyrd Skynyrd,Sweet Home Alabama,2024-02-03T00:50:46,2024-02-03T00:55:28,False,5
Kriss Kross Amsterdam & Sera & Conor Maynard,Stay (Never Leave),2024-02-03T00:52:16,2024-02-03T00:55:16,False,Sky
Di-Rect,Through The Looking Glass,2024-02-03T00:54:05,2024-02-03T00:57:05,False,10
Niall Horan,This Town,2024-02-03T00:54:49,2024-02-03T00:57:49,False,Sky
Tim Hardin,Reason To Believe,2024-02-03T00:55:22,2024-02-03T00:57:19,False,5
Coolio & Lv,Gangsta's Paradise,2024-02-03T00:56:01,2024-02-03T00:59:01,False,Q
AFROJACK,BANGDUCK (RADIO EDIT),2024-02-03T00:58:20,2024-02-03T01:00:53,False,3
Willeke Alberti,Het Oude Huis,2024-02-03T00:57:15,2024-02-03T01:02:01,False,5
Wham,I'm Your Man,2024-02-03T00:59:47,2024-02-03T01:02:47,False,10
Ronde,Break My Heart,2024-02-03T01:01:42,2024-02-03T01:04:42,True,Sky
