Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Mr Probz,Nothing Really Matters,2024-02-06T00:01:17,2024-02-06T00:04:17,False,Sky
The Rolling Stones,Little Red Rooster,2024-02-06T00:02:31,2024-02-06T00:05:34,False,5
Marco Schuitmaker,ENGELBEWAARDER,2024-02-06T00:02:28,2024-02-06T00:05:28,False,538
Post Malone,Chemical,2024-02-06T00:02:06,2024-02-06T00:05:06,False,Q
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),2024-02-06T00:02:48,2024-02-06T00:05:48,True,10
Aretha Franklin,(You Make Me Feel Like A) Natural Woman,2024-02-06T00:02:32,2024-02-06T00:05:14,True,2
Muse,Supermassive Black Hole,2024-02-06T00:02:58,2024-02-06T00:06:27,False,3
Kris Kross Amsterdam & Sera & Conor Maynard,Stay (Never Leave),2024-02-06T00:05:02,2024-02-06T00:08:02,False,Q
Noah Kahan,Stick Season,2024-02-06T00:04:57,2024-02-06T00:07:57,False,Sky
Lynyrd Skynyrd,Free Bird,2024-02-06T00:05:09,2024-02-06T00:14:27,False,2
Gilbert O'Sullivan,Alone Again (Naturally),2024-02-06T00:05:32,2024-02-06T00:09:06,False,5
Dimitri Vegas & Like Mike X David Guetta X Afro Bros & Akon,SHE KNOWS,2024-02-06T00:05:51,2024-02-06T00:08:51,False,538
Claude,Écoutez-moi,2024-02-06T00:06:25,2024-02-06T00:09:05,False,3
Coldplay,Talk,2024-02-06T00:07:32,2024-02-06T00:10:32,False,10
Pink,ALL OUT OF FIGHT,2024-02-06T00:08:09,2024-02-06T00:11:09,True,538
Charlie Puth,One Call Away,2024-02-06T00:08:00,2024-02-06T00:11:00,False,Sky
Billy Ocean,European Queen,2024-02-06T00:09:17,2024-02-06T00:12:48,False,5
Het Goede Doel,Vriendschap,2024-02-06T00:09:30,2024-02-06T00:12:30,False,Q
Christina Aguilera,Genie In A Bottle,2024-02-06T00:11:10,2024-02-06T00:14:10,True,Sky
Fontella Bass,Rescue Me,2024-02-06T00:11:51,2024-02-06T00:14:51,False,10
"Maryn Charlie, Melle",Coming Of Age,2024-02-06T00:10:43,2024-02-06T00:13:28,False,3
Lenny Kravitz,FLY AWAY,2024-02-06T00:12:11,2024-02-06T00:15:11,False,538
Tim Akkerman,Hear Me Out,2024-02-06T00:12:44,2024-02-06T00:16:29,False,5
Tiësto & Fast Boy,All My Life,2024-02-06T00:13:33,2024-02-06T00:16:33,False,Q
Boudewijn de Groot,Avond,2024-02-06T00:14:12,2024-02-06T00:18:21,False,2
Teddy Swims,Lose Control,2024-02-06T00:13:28,2024-02-06T00:16:55,False,3
Son Mieux,Tonight,2024-02-06T00:14:47,2024-02-06T00:17:47,False,Sky
Ace Of Base,The Sign,2024-02-06T00:14:40,2024-02-06T00:17:40,False,10
Flemming & Zoe Tauran & Ronnie Flex,ALLES OP GEVOEL,2024-02-06T00:15:23,2024-02-06T00:18:23,False,538
Glen Campbell,By The Time I Get To Phoenix,2024-02-06T00:16:28,2024-02-06T00:19:11,False,5
The Kid Laroi & Justin Bieber,Stay,2024-02-06T00:15:53,2024-02-06T00:18:53,False,Q
Riton & Nightcrawlers Ft. Mufasa & Hypeman,FRIDAY,2024-02-06T00:18:06,2024-02-06T00:21:06,False,538
Niall Horan,Heaven,2024-02-06T00:17:48,2024-02-06T00:20:48,False,10
Madonna,Vogue,2024-02-06T00:18:19,2024-02-06T00:22:37,True,2
Jan Smit,Vrienden Voor Het Leven,2024-02-06T00:19:06,2024-02-06T00:21:58,False,5
Benson Boone,Beautiful Things,2024-02-06T00:18:54,2024-02-06T00:21:54,False,Q
Harry Styles,As It Was,2024-02-06T00:19:12,2024-02-06T00:22:12,False,Sky
Brothertiiger,High Tide,2024-02-06T00:19:41,2024-02-06T00:26:05,False,3
Tracey Ullman,Breakaway,2024-02-06T00:20:48,2024-02-06T00:23:48,True,10
Pitbull & Ne-Yo & Afrojack & Nayer,Give Me Everything,2024-02-06T00:22:04,2024-02-06T00:25:04,False,Q
Lady Gaga,Alejandro,2024-02-06T00:21:55,2024-02-06T00:24:55,True,Sky
The Pretenders,Brass In Pocket,2024-02-06T00:21:55,2024-02-06T00:25:00,False,5
Di-Rect,MY BLOOD,2024-02-06T00:23:00,2024-02-06T00:26:00,False,538
Billy Joel,Scenes From An Italian Restaurant,2024-02-06T00:22:36,2024-02-06T00:30:12,False,2
Duran Duran,Ordinary World,2024-02-06T00:23:22,2024-02-06T00:26:22,False,10
Manhattans,Kiss And Say Goodbye,2024-02-06T00:25:04,2024-02-06T00:28:35,False,5
Toto,Stop Loving You,2024-02-06T00:25:50,2024-02-06T00:28:50,False,Sky
Kygo Ft. Dnce,DANCING FEET,2024-02-06T00:26:33,2024-02-06T00:29:33,False,538
