Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
George Ezra,Anyone For You,2024-02-16T00:00:09,2024-02-16T00:03:09,False,Sky
Tears For Fears,Everybody Wants To Rule The World,2024-02-16T00:02:02,2024-02-16T00:05:02,False,10
Boudewijn De Groot,Waterdrager,2024-02-16T00:02:20,2024-02-16T00:05:29,False,5
Cheryl Cole,Fight For This Love,2024-02-16T00:03:09,2024-02-16T00:06:09,True,Sky
Van Morrison,Brown Eyed Girl,2024-02-16T00:02:19,2024-02-16T00:05:24,False,2
Phoenix,Lisztomania,2024-02-16T00:02:48,2024-02-16T00:06:06,False,3
Noah Kahan,STICK SEASON,2024-02-16T00:03:11,2024-02-16T00:06:11,False,538
Twenty One Pilots,Stressed Out,2024-02-16T00:04:37,2024-02-16T00:07:37,False,Q
Dire Straits,Romeo And Juliet (Albumversie),2024-02-16T00:05:15,2024-02-16T00:11:19,False,2
Neil Diamond,Girl You'll Be A Woman Soon,2024-02-16T00:05:23,2024-02-16T00:08:18,False,5
Dua Lipa,DANCE THE NIGHT,2024-02-16T00:06:02,2024-02-16T00:09:02,True,538
Maria Mena,All This Time (Pick-Me-Up Song),2024-02-16T00:06:06,2024-02-16T00:09:06,False,10
Benson Boone,Beautiful Things,2024-02-16T00:06:03,2024-02-16T00:09:06,False,3
Anne Marie Ft. Shania Twain,Unhealthy (Acoustic),2024-02-16T00:06:48,2024-02-16T00:09:48,True,Sky
Patti Labelle & Michael McDonald,On My Own,2024-02-16T00:08:26,2024-02-16T00:13:07,False,5
David Guetta & Kim Petras,When We Were Young (The Logical Song),2024-02-16T00:08:01,2024-02-16T00:11:01,False,Q
Meredith Brooks,BITCH,2024-02-16T00:09:14,2024-02-16T00:12:14,True,538
Duncan Laurence,Arcade,2024-02-16T00:09:11,2024-02-16T00:12:11,False,Sky
Barry White,Never Gonna Give You Up,2024-02-16T00:09:15,2024-02-16T00:12:15,False,10
Lee Towers,You'll Never Walk Alone,2024-02-16T00:11:07,2024-02-16T00:14:15,False,2
Ub 40,Sing Our Own Song,2024-02-16T00:12:14,2024-02-16T00:15:14,False,Sky
Beatles,Now And Then,2024-02-16T00:12:55,2024-02-16T00:16:58,False,5
Kygo & Ava Max,WHATEVER,2024-02-16T00:13:17,2024-02-16T00:16:17,False,538
Leann Rimes,How Do I Live,2024-02-16T00:13:14,2024-02-16T00:16:14,False,10
Shaggy & Rayvon,Angel,2024-02-16T00:14:15,2024-02-16T00:17:15,False,Q
Bon Jovi,You Give Love A Bad Name,2024-02-16T00:14:19,2024-02-16T00:18:03,False,2
Justin Timberlake,CAN'T STOP THE FEELING,2024-02-16T00:16:05,2024-02-16T00:19:05,False,538
Racoon,Nickel For Goodbye,2024-02-16T00:15:58,2024-02-16T00:18:58,False,Sky
Bobby Vinton,Sealed With A Kiss,2024-02-16T00:16:58,2024-02-16T00:19:45,False,5
Onerepublic,Runaway,2024-02-16T00:17:21,2024-02-16T00:20:21,False,10
Son Mieux,Tonight,2024-02-16T00:17:47,2024-02-16T00:20:47,False,Q
Herman van Veen,Hilversum 3,2024-02-16T00:17:56,2024-02-16T00:21:51,False,2
Blof,Dichterbij Dan Ooit,2024-02-16T00:19:42,2024-02-16T00:24:02,False,5
Miley Cyrus,Midnight,2024-02-16T00:19:41,2024-02-16T00:22:41,True,Sky
Split Enz,Message To My Girl,2024-02-16T00:19:55,2024-02-16T00:22:55,False,10
Dotan,LOUDER,2024-02-16T00:20:22,2024-02-16T00:23:22,False,538
Noah Kahan,Stick Season,2024-02-16T00:20:29,2024-02-16T00:23:28,False,3
2Pac,Changes,2024-02-16T00:22:01,2024-02-16T00:25:01,False,Q
Within Temptation,MEMORIES,2024-02-16T00:21:48,2024-02-16T00:25:14,False,2
Topic & A7S,KERNKRAFT 400 (A BETTER DAY),2024-02-16T00:23:42,2024-02-16T00:26:42,False,538
Backstreet Boys,Quit Playing Games,2024-02-16T00:23:17,2024-02-16T00:26:17,False,Sky
George Michael,Freedom '90,2024-02-16T00:23:35,2024-02-16T00:26:35,False,10
Willem,S.O.S.,2024-02-16T00:23:23,2024-02-16T00:26:19,False,3
Billy Joel,She's Always A Woman,2024-02-16T00:25:09,2024-02-16T00:28:29,False,2
The Beautiful South,Song For Whoever,2024-02-16T00:24:01,2024-02-16T00:28:04,False,5
Jungle,Back On 74,2024-02-16T00:26:23,2024-02-16T00:29:52,False,3
Dean Lewis,TRUST ME MATE,2024-02-16T00:26:20,2024-02-16T00:29:20,False,538
Dean Lewis,Trust Me Mate,2024-02-16T00:27:13,2024-02-16T00:30:13,False,Sky
Di-Rect,My Blood,2024-02-16T00:27:54,2024-02-16T00:30:54,False,Q
Maroon 5,Misery,2024-02-16T00:28:13,2024-02-16T00:31:13,False,10
John Denver,Thank God I'm a Country Boy,2024-02-16T00:28:31,2024-02-16T00:31:49,False,2
Lou Rawls,Lady Love,2024-02-16T00:28:12,2024-02-16T00:31:50,False,5
Oscar And The Wolf,Angel Face,2024-02-16T00:30:21,2024-02-16T00:33:49,False,3
Phil Collins & Philip Bailey,EASY LOVER,2024-02-16T00:29:12,2024-02-16T00:32:12,False,538
Maroon 5,This Love,2024-02-16T00:30:15,2024-02-16T00:33:15,False,Sky
Alok & Ava Max,Car Keys,2024-02-16T00:31:30,2024-02-16T00:34:30,False,Q
Donna Summer,This Time I Know It's For Real,2024-02-16T00:31:42,2024-02-16T00:34:42,True,10
Temple Of The Dog,Hunger Strike,2024-02-16T00:31:47,2024-02-16T00:35:50,False,2
Dennis van Aarssen ft. Jeff Franzel,Waiting For Tonight,2024-02-16T00:31:45,2024-02-16T00:34:53,False,5
New Radicals,YOU GET WHAT YOU GIVE,2024-02-16T00:33:15,2024-02-16T00:36:15,False,538
Chef'Special,Speed Of Light,2024-02-16T00:33:26,2024-02-16T00:36:26,False,Sky
Paramore,Misery Business,2024-02-16T00:33:48,2024-02-16T00:37:07,False,3
Dusty Springfield,You Don't Have To Say You Love Me,2024-02-16T00:34:43,2024-02-16T00:37:29,True,5
Flemming & Zoe Tauran & Ronnie Flex,Alles Op Gevoel,2024-02-16T00:35:18,2024-02-16T00:38:18,False,Q
Sugababes,Push The Button,2024-02-16T00:34:59,2024-02-16T00:37:59,True,10
Madness,Our House,2024-02-16T00:35:43,2024-02-16T00:39:04,False,2
Ed Sheeran,Shivers,2024-02-16T00:36:29,2024-02-16T00:39:29,False,Sky
David Guetta & Kim Petras,WHEN WE WERE YOUNG (THE LOGICAL SONG),2024-02-16T00:37:18,2024-02-16T00:40:18,False,538
girl in red,Too Much,2024-02-16T00:38:04,2024-02-16T00:41:05,False,3
John Denver,Calypso,2024-02-16T00:37:33,2024-02-16T00:41:06,False,5
5 Seconds Of Summer,Youngblood,2024-02-16T00:38:06,2024-02-16T00:41:06,False,Q
Queen,Don't Stop Me Now,2024-02-16T00:38:33,2024-02-16T00:41:33,False,10
Nina Hagen,Unbeschreiblich Weiblich,2024-02-16T00:38:59,2024-02-16T00:42:28,False,2
Blof Ft Geike Arnaert,Zoutelande,2024-02-16T00:39:53,2024-02-16T00:42:53,False,Sky
Chef'Special,MIRACLES,2024-02-16T00:39:36,2024-02-16T00:42:36,False,538
Stromae,L'enfer,2024-02-16T00:41:04,2024-02-16T00:44:13,False,3
Toon Hermans,Cafe Biljart,2024-02-16T00:41:05,2024-02-16T00:44:44,False,5
Mark Ronson Ft. Miley Cyrus,Nothing Breaks Like A Heart,2024-02-16T00:42:02,2024-02-16T00:45:02,False,10
Golden Earring,Hold Me Now,2024-02-16T00:42:31,2024-02-16T00:46:10,False,2
"Marshmello, Pink & Sting",DREAMING,2024-02-16T00:42:23,2024-02-16T00:45:23,False,538
Luke Combs,Fast Car,2024-02-16T00:43:26,2024-02-16T00:46:26,False,Sky
Christina Aguilera,Genie In A Bottle,2024-02-16T00:45:36,2024-02-16T00:48:36,True,10
The Bleachers,Tiny Moves,2024-02-16T00:44:11,2024-02-16T00:47:59,False,3
The Hollies,Bus Stop,2024-02-16T00:44:52,2024-02-16T00:47:44,False,5
Mark Ambor,GOOD TO BE,2024-02-16T00:45:49,2024-02-16T00:48:49,False,538
