Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Noah Kahan,Stick Season,2024-10-28T04:58:17,2024-10-28T05:01:17,False,Sky,Nonstop Music Morning Show
Cher,Strong Enough,2024-10-28T05:54:14,2024-10-28T05:57:14,True,10,Ochtendshow
Little Steven,Bitter Fruit,2024-10-28T06:00:00,2024-10-28T06:04:00,False,Veronica,Niek van der Bruggen
Sia Ft. Kendrick Lamar,THE GREATEST,2024-10-28T05:57:57,2024-10-28T06:00:57,True,538,De 538 Ochtendshow
Nonstop,Non-stop R5,2024-10-28T05:02:00,2024-10-28T15:02:00,onbekend,5,Goeiedag Haandrikman
Pink Ft Nate Ruess,Just Give Me a Reason,2024-10-28T07:00:21,2024-10-28T07:03:21,True,Sky,Nonstop Music Morning Show
Incognito,Always There,2024-10-28T07:51:35,2024-10-28T07:54:35,False,10,Ochtendshow
Lou Bega,MAMBO NO. 5 (A LITTLE BIT OF),2024-10-28T07:51:12,2024-10-28T07:54:12,False,538,538 Top 1000
Bangles,Walk Like An Egyptian,2024-10-28T08:05:03,2024-10-28T08:08:24,True,Veronica,Niek van der Bruggen
Post Malone,Enough Is Enough,2024-10-28T09:01:53,2024-10-28T09:04:53,False,Sky,Top 5 Over 9
Genesis,Land Of Confusion,2024-10-28T09:49:25,2024-10-28T09:52:25,False,10,Ochtendshow
Maroon 5,THIS LOVE,2024-10-28T09:48:41,2024-10-28T09:51:41,False,538,538 Top 1000
Bruce Springsteen,Glory Days,2024-10-28T10:08:36,2024-10-28T10:12:50,False,Veronica,Goud van Oud
Adele,Skyfall,2024-10-28T11:02:36,2024-10-28T11:05:36,True,Sky,Nonstop @Work
Christina Aguilera,GENIE IN A BOTTLE,2024-10-28T11:49:10,2024-10-28T11:52:10,True,538,538 Top 1000
Het Goede Doel,Vriendschap,2024-10-28T11:49:38,2024-10-28T11:52:38,False,10,Martijn Kolkman
Two Brothers On The Fourth Floor,Dreams,2024-10-28T12:14:10,2024-10-28T12:18:33,onbekend,Veronica,Sander Hoogendoorn
Pink,All Out Of Fight,2024-10-28T13:03:14,2024-10-28T13:06:14,True,Sky,Non Stop
Guus Meeuwis,GEEF MIJ JE ANGST,2024-10-28T13:50:07,2024-10-28T13:53:07,False,538,538 Top 1000
Vitesse,Rosalyn,2024-10-28T13:52:41,2024-10-28T13:55:41,False,10,Robert Feller
Jam,A Town Called Malice,2024-10-28T14:19:45,2024-10-28T14:22:37,False,Veronica,De Bonanza
Dua Lipa,Houdini,2024-10-28T15:06:13,2024-10-28T15:09:13,True,Sky,Non Stop
Justin Timberlake,ROCK YOUR BODY,2024-10-28T15:49:05,2024-10-28T15:52:05,False,538,538 Top 1000
Pharrell Williams,Happy,2024-10-28T15:51:48,2024-10-28T15:54:48,False,10,Edwin Diergaarde
Peter Fox,Haus Am See,2024-10-28T16:23:17,2024-10-28T16:26:52,False,Veronica,Sander Hoogendoorn
Lady Gaga & Bruno Mars,Die With A Smile,2024-10-28T17:08:29,2024-10-28T17:11:29,onbekend,Sky,Feel Good Afternoon
Dua Lipa,WE'RE GOOD,2024-10-28T17:50:42,2024-10-28T17:53:42,True,538,538 Top 1000
T'Pau,China In Your Hand,2024-10-28T17:51:59,2024-10-28T17:54:59,False,10,Gijs Op 10
Clarence Clemons & Jackson Browne,You're A Friend Of Mine,2024-10-28T18:27:02,2024-10-28T18:31:19,False,Veronica,Sander Hoogendoorn
Phil Collins & Philip Bailey,Easy Lover,2024-10-28T19:11:09,2024-10-28T19:14:09,False,Sky,Feel Good Evening
Nickelback,HOW YOU REMIND ME,2024-10-28T19:53:05,2024-10-28T19:56:05,False,538,Julia van Reyendam
Van Halen,Jump,2024-10-28T19:50:25,2024-10-28T19:53:25,False,10,Albert-Jan Sluis
