Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Danny Vera,DNA,2024-01-31T20:44:17,2024-01-31T20:47:29,False,5
The Wanted,GLAD YOU CAME,2024-01-31T20:43:04,2024-01-31T20:46:04,False,538
Genesis,Invisible Touch,2024-01-31T20:42:02,2024-01-31T20:45:02,False,Sky
Bros,When Will I Be Famous,2024-01-31T20:43:54,2024-01-31T20:46:54,False,10
Eric Clapton,I Shot The Sheriff,2024-01-31T20:44:57,2024-01-31T20:48:25,False,Veronica
James Arthur & Anne-Marie,Rewrite The Stars,2024-01-31T20:45:15,2024-01-31T20:48:15,False,Sky
Hiigo,Tankstation,2024-01-31T20:45:11,2024-01-31T20:48:31,False,2
Chef'Special,SPEED OF LIGHT,2024-01-31T20:46:20,2024-01-31T20:49:20,False,538
Tiësto & Fast Boy,All My Life,2024-01-31T20:46:23,2024-01-31T20:49:23,False,Q
Dua Lipa,Houdini,2024-01-31T20:48:55,2024-01-31T20:51:55,True,Sky
Terence Trent D'Arby,Wishing Well,2024-01-31T20:48:02,2024-01-31T20:51:02,False,10
Sheryl Crow,Everyday Is A Winding Road,2024-01-31T20:49:14,2024-01-31T20:53:29,True,Veronica
Madonna,Material Girl,2024-01-31T20:48:39,2024-01-31T20:52:39,True,2
Son Mieux,Tonight,2024-01-31T20:48:23,2024-01-31T20:52:54,False,3
P!Nk,Sober,2024-01-31T20:48:52,2024-01-31T20:51:52,True,Q
Julie Covington,Don't Cry For Me Argentina,2024-01-31T20:50:02,2024-01-31T20:55:25,False,5
Lucas & Steve X Skinny Days,WHEN I WAKE UP,2024-01-31T20:51:55,2024-01-31T20:54:55,False,538
Dire Straits,Money For Nothing,2024-01-31T20:53:47,2024-01-31T20:57:51,False,Veronica
Tears For Fears,Everybody Wants To Rule The World,2024-01-31T20:54:42,2024-01-31T20:58:53,False,2
Fluitsma & Van Tijn,15 Miljoen Mensen,2024-01-31T20:55:40,2024-01-31T20:59:29,False,5
Queen,You're My Best Friend,2024-01-31T20:59:05,2024-01-31T21:01:55,False,Veronica
