Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Jason Mraz,I Won't Give Up,2024-02-16T23:59:57,2024-02-17T00:02:57,False,Sky
Madonna,Like A Virgin,2024-02-17T00:03:27,2024-02-17T00:06:27,True,10
Radiohead,National Anthem,2024-02-17T00:02:30,2024-02-17T00:08:15,False,3
Marvin Gaye,I Heard It Through The Grapevine,2024-02-17T00:02:18,2024-02-17T00:05:31,False,5
Loreen,Is It Love,2024-02-17T00:03:58,2024-02-17T00:06:58,True,Sky
Teddy Swims,The Door,2024-02-17T00:05:16,2024-02-17T00:08:16,False,Q
Elton John,Don't Let The Sun Go Down On Me,2024-02-17T00:05:26,2024-02-17T00:11:03,False,5
Gavin James,The Book Of Love,2024-02-17T00:06:14,2024-02-17T00:09:14,False,Sky
Alicia Keys,Girl On Fire,2024-02-17T00:06:30,2024-02-17T00:09:30,True,10
Raye,Worth It.,2024-02-17T00:08:14,2024-02-17T00:11:52,False,3
Eros Ramazzotti & Tina Turner,Cose Della Vita,2024-02-17T00:08:57,2024-02-17T00:11:57,False,Q
Deep Blue Something,Breakfast At Tiffany's,2024-02-17T00:09:04,2024-02-17T00:12:04,False,Sky
Backstreet Boys,I Want It That Way,2024-02-17T00:10:12,2024-02-17T00:13:12,False,10
Queen,Radio Ga Ga,2024-02-17T00:11:10,2024-02-17T00:14:53,False,5
Taylor Swift,Cruel Summer,2024-02-17T00:13:12,2024-02-17T00:16:12,True,Sky
Supertramp,Give A Little Bit,2024-02-17T00:13:55,2024-02-17T00:16:55,False,10
Mark Knopfler,Ahead Of The Game,2024-02-17T00:14:53,2024-02-17T00:18:43,False,5
Acda & De Munnik,Morgen Wordt Fantastisch,2024-02-17T00:16:13,2024-02-17T00:19:13,False,Sky
Tiësto & Fast Boy,All My Life,2024-02-17T00:18:12,2024-02-17T00:21:12,False,Q
Nelly Furtado,Powerless,2024-02-17T00:17:57,2024-02-17T00:20:57,True,10
Commodores,Still,2024-02-17T00:18:32,2024-02-17T00:22:17,False,5
Enrique Iglesias,Do You Know,2024-02-17T00:18:49,2024-02-17T00:21:49,False,Sky
The Beach Boys,Good Vibrations,2024-02-17T00:19:27,2024-02-17T00:23:01,False,3
Harry Styles,As It Was,2024-02-17T00:20:38,2024-02-17T00:23:38,False,Q
John Hiatt,Have A Little Faith In Me,2024-02-17T00:22:24,2024-02-17T00:25:24,False,Sky
Milli Vanilli,Girl I'm Gonna Miss You,2024-02-17T00:21:48,2024-02-17T00:24:48,False,10
Celine Dion,It's All Coming Back To Me,2024-02-17T00:22:08,2024-02-17T00:27:36,True,5
Hannah Mae,Waterdicht,2024-02-17T00:26:47,2024-02-17T00:29:47,True,Q
Master Kg Ft. Nomcebo Zikode,Jerusalema,2024-02-17T00:26:24,2024-02-17T00:29:24,False,Sky
Jennifer Paige,Crush,2024-02-17T00:26:26,2024-02-17T00:29:26,True,10
Mezerg,Welcome Theremin,2024-02-17T00:26:23,2024-02-17T00:29:28,False,3
Robert Cray Band,Right Next Door (Because Of Me),2024-02-17T00:27:31,2024-02-17T00:31:29,False,5
Douwe Bob,This World Is Our Home,2024-02-17T00:29:30,2024-02-17T00:32:30,False,Sky
Kelly Clarkson,Since U Been Gone,2024-02-17T00:29:41,2024-02-17T00:32:41,True,Q
The Emotions,Best Of My Love,2024-02-17T00:29:37,2024-02-17T00:32:37,False,10
Led Zeppelin,Whole Lotta Love (Album Versie),2024-02-17T00:31:50,2024-02-17T00:37:24,False,3
Chris Rea,Fool If You Think It's Over,2024-02-17T00:31:34,2024-02-17T00:35:05,False,5
Purple Disco Machine & Kungs,Substitution,2024-02-17T00:32:47,2024-02-17T00:35:47,False,Q
Rihanna Ft Mikky Ekko,Stay,2024-02-17T00:32:25,2024-02-17T00:35:25,True,Sky
Train,Drive By,2024-02-17T00:33:20,2024-02-17T00:36:20,False,10
Albin Lee Meldau,When You're Here,2024-02-17T00:34:56,2024-02-17T00:37:56,False,5
Taylor Swift,Cruel Summer,2024-02-17T00:35:43,2024-02-17T00:38:43,True,Q
Chef`Special,Miracles,2024-02-17T00:36:23,2024-02-17T00:39:23,False,Sky
Toontje Lager,Zoveel Te Doen,2024-02-17T00:36:28,2024-02-17T00:39:28,False,10
Kendrick Lamar,Swimming Pools (Drank),2024-02-17T00:37:13,2024-02-17T00:41:20,False,3
Frank Sinatra,Strangers In The Night,2024-02-17T00:37:52,2024-02-17T00:40:27,False,5
Avicii & Sandro Cavazza,Without You,2024-02-17T00:38:41,2024-02-17T00:41:41,False,Q
Ofenbach Ft. Norma Jean Martine,Overdrive,2024-02-17T00:39:21,2024-02-17T00:42:21,False,Sky
Eagles,Desperado,2024-02-17T00:40:27,2024-02-17T00:44:00,False,5
Robbie Williams,Rock DJ,2024-02-17T00:41:04,2024-02-17T00:44:04,False,10
