Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Linkin Park,The Emptiness Machine,2024-10-23T14:15:47,2024-10-23T14:18:57,False,3,Mart Meijer
Rasmus,In The Shadows,2024-10-23T14:19:44,2024-10-23T14:23:50,False,Veronica,De Bonanza
Steve Miller Band,The Joker,2024-10-23T14:19:39,2024-10-23T14:23:14,False,2,Paul
Darts,Come Back My Love,2024-10-23T15:07:06,2024-10-23T15:09:38,False,5,Open Huis
Whitney Houston,I Wanna Dance With Somebody,2024-10-23T15:47:47,2024-10-23T15:50:47,True,Sky,Non Stop
Pilot,Magic,2024-10-23T15:51:34,2024-10-23T15:54:34,False,10,Edwin Diergaarde
Britney Spears,TOXIC,2024-10-23T15:52:04,2024-10-23T15:55:04,True,538,Mark Labrand
Claude,La Pression,2024-10-23T16:17:02,2024-10-23T16:20:02,False,Q,Domien Verschuuren
New Radicals,You Get What What You Give,2024-10-23T16:19:29,2024-10-23T16:24:01,False,3,Barend & Benner
Coldplay,All My Love,2024-10-23T16:21:15,2024-10-23T16:24:59,False,2,De Wild in de Middag
Bryan Adams,Run To You,2024-10-23T16:25:33,2024-10-23T16:29:26,False,Veronica,Wout & Frank
Circus Custers,Monica,2024-10-23T17:09:28,2024-10-23T17:13:06,False,5,BertOp5
Cyndi Lauper,True Colours,2024-10-23T17:49:35,2024-10-23T17:52:35,True,Sky,Feel Good Afternoon
Stevie Wonder,Isn't She Lovely,2024-10-23T17:51:35,2024-10-23T17:54:35,False,10,Gijs Op 10
Lost Frequencies & Tom Odell,BLACK FRIDAY (PRETTY LIKE THE SUN),2024-10-23T17:52:53,2024-10-23T17:55:53,onbekend,538,De 538 Middagshow
Alessia Cara,Scars To Your Beautiful,2024-10-23T18:21:37,2024-10-23T18:24:37,True,Q,Domien Verschuuren
The Black Eyed Peas,Don't Lie,2024-10-23T18:23:42,2024-10-23T18:27:20,False,2,Het Oor Wil Ook Wat
Sting,Englishman In New York,2024-10-23T18:26:57,2024-10-23T18:31:21,False,3,Barend & Benner
Narada Michael Walden & Patti Austin,Gimme Gimme Gimme,2024-10-23T18:29:36,2024-10-23T18:33:35,False,Veronica,Wout & Frank
Little Miss Cornshucks,Keep your hand on your heart,2024-10-23T19:13:27,2024-10-23T19:16:13,onbekend,5,De Avondstart
The Rembrandts,I'll Be There For You,2024-10-23T19:51:02,2024-10-23T19:54:02,False,Sky,Feel Good Evening
Total Touch,Somebody Else's Lover,2024-10-23T19:51:15,2024-10-23T19:54:15,True,10,Edwin Ouwehand
Davina Michelle,I WONT LET GO,2024-10-23T19:49:07,2024-10-23T19:52:07,True,538,Martijn La Grouw
Ed Sheeran,Shape of You,2024-10-23T20:25:22,2024-10-23T20:29:12,False,2,Hallo Met Daniël
Dua Lipa,Illusion,2024-10-23T20:30:20,2024-10-23T20:33:20,True,Q,Joost Swinkels
Daft Punk,DA FUNK,2024-10-23T20:29:59,2024-10-23T20:33:32,False,3,Mark van der Molen
Eagle Eye Cherry,Save Tonight,2024-10-23T20:33:40,2024-10-23T20:37:39,False,Veronica,Martijn Muijs
Kinks,Sunny Afternoon,2024-10-23T21:17:40,2024-10-23T21:21:11,False,5,De Avond Van 5
Di-Rect,WASTELANDS,2024-10-23T21:51:04,2024-10-23T21:54:04,False,538,Bas & Dylan
Alex Warren,Before You Leave Me,2024-10-23T21:52:14,2024-10-23T21:55:14,onbekend,Sky,Feel Good Evening
Frankie Valli,Grease,2024-10-23T21:50:26,2024-10-23T21:53:26,False,10,Laat Verkerk
Golden Earring,Going To The Run,2024-10-23T22:30:11,2024-10-23T22:34:08,False,2,Dees Moet Je Horen
The Weeknd,Dancing In The Flames,2024-10-23T22:32:19,2024-10-23T22:35:58,False,3,VoorAan
Sabrina Carpenter,Espresso,2024-10-23T22:35:04,2024-10-23T22:38:04,onbekend,Q,Jorien Renkema
Nelly Furtado,Say It Right,2024-10-23T22:37:43,2024-10-23T22:41:17,True,Veronica,Frank Tot Laat
Jason Mraz,"Hello, You Beautiful Thing",2024-10-23T23:20:59,2024-10-23T23:24:28,False,5,- 06:00 Muzieknacht
Claude,LA PRESSION,2024-10-23T23:50:54,2024-10-23T23:53:54,False,538,Bas & Dylan
Katrina & The Waves,Love Shine A Light,2024-10-23T23:51:50,2024-10-23T23:54:50,onbekend,10,Laat Verkerk
Ronan Keating,When You Say Nothing At All,2024-10-23T23:49:56,2024-10-23T23:52:56,False,Sky,Lovesongs
