Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Jay-Z Feat. Linkin Park,NUMB / ENCORE,2024-10-23T05:56:20,2024-10-23T05:59:20,False,538,De 538 Ochtendshow
Sophie Ellis-Bextor,Murder On The Dancefloor,2024-10-23T05:57:10,2024-10-23T06:00:10,True,Q,Mattie & Marieke
Cian Ducrot,I`ll Be Waiting,2024-10-23T05:56:21,2024-10-23T05:59:21,False,Sky,Nonstop Music Morning Show
V.O.F. De Kunst,Een Kopje Koffie,2024-10-23T05:54:59,2024-10-23T05:57:59,False,10,Ochtendshow
Poco,Call It Love,2024-10-23T06:00:01,2024-10-23T06:04:17,False,Veronica,Ekdom in de Morgen
Acda & De Munnik,Drie Keer Vallen,2024-10-23T05:57:51,2024-10-23T06:00:29,False,2,Jan-Willem Start Op
Sophie Ellis Bextor,Murder On The Dancefloor,2024-10-23T05:58:06,2024-10-23T06:00:45,True,3,Wijnand In De Ochtend
Jaki Graham,Breaking Away,2024-10-23T05:57:54,2024-10-23T06:00:55,True,5,Goeiedag Haandrikman
Sheryl Crow,All I Wanna Do,2024-10-23T07:49:22,2024-10-23T07:52:22,True,10,Ochtendshow
Sabrina Carpenter,TASTE,2024-10-23T07:52:15,2024-10-23T07:55:15,onbekend,538,De 538 Ochtendshow
Bonnie Tyler,Total Eclipse Of The Heart,2024-10-23T07:48:20,2024-10-23T07:51:20,True,Sky,Nonstop Music Morning Show
Studio,STUDIO R51,2024-10-23T08:00:00,2024-10-23T09:00:00,onbekend,5,Goeiedag Haandrikman
Rondé,Bright Eyes,2024-10-23T08:04:44,2024-10-23T08:07:44,False,Q,Mattie & Marieke
Lady Gaga & Bruno Mars,Die With A Smile,2024-10-23T08:05:50,2024-10-23T08:09:58,onbekend,Veronica,Ekdom in de Morgen
Seal,Crazy,2024-10-23T08:11:14,2024-10-23T08:15:43,False,2,Jan-Willem Start Op
Twenty One Pilots,Stressed Out,2024-10-23T08:09:40,2024-10-23T08:13:00,False,3,Wijnand In De Ochtend
David Guetta & Onerepublic,I Don't Wanna Wait,2024-10-23T09:51:23,2024-10-23T09:54:23,onbekend,Sky,Nonstop @Work
Buggles,Video Killed The Radio Star,2024-10-23T09:52:01,2024-10-23T09:55:01,False,10,Ochtendshow
Fugees,READY OR NOT,2024-10-23T09:51:55,2024-10-23T09:54:55,False,538,De 538 Ochtendshow
Anita Meyer,Why Tell Me Why,2024-10-23T10:07:14,2024-10-23T10:10:14,True,Q,Het Foute Uur
A Ha,Sun Always Shines On TV,2024-10-23T10:10:08,2024-10-23T10:14:48,False,Veronica,Goud van Oud
Tatu,All The Things She Said,2024-10-23T10:11:23,2024-10-23T10:14:49,True,3,Ivo van Breukelen
Level 42,Running In The Family,2024-10-23T10:13:23,2024-10-23T10:17:19,False,2,Aan de Slag
Lovin' Spoonful,Summer In The City,2024-10-23T11:02:37,2024-10-23T11:05:20,False,5,Arbeidsvitaminen
Cyndi Lauper,Time After Time,2024-10-23T11:51:09,2024-10-23T11:54:09,True,Sky,Nonstop @Work
Sia Ft. Kendrick Lamar,THE GREATEST,2024-10-23T11:50:40,2024-10-23T11:53:40,True,538,Greatest Hits
Sugababes,Push The Button,2024-10-23T11:50:00,2024-10-23T11:53:00,True,10,Robert Feller
Ricky L & M:Ck,Born Again,2024-10-23T12:08:47,2024-10-23T12:11:47,onbekend,Q,Menno Barreveld
Sabrina Carpenter,Taste,2024-10-23T12:15:56,2024-10-23T12:18:30,onbekend,Veronica,Sander Hoogendoorn
Green Day,Wake Me up When September Ends,2024-10-23T12:12:01,2024-10-23T12:16:18,False,3,Ivo van Breukelen
Lenny Kravitz,Fly Away,2024-10-23T12:15:16,2024-10-23T12:18:57,False,2,Annemiekes A-Lunch
Cliff Richard,The Only Way Out,2024-10-23T13:02:43,2024-10-23T13:06:02,False,5,Lunch Lekker
Macklemore & Ryan Lewis,THRIFT SHOP,2024-10-23T13:51:43,2024-10-23T13:54:43,False,538,Lindo Duvall
Irene Cara,Fame,2024-10-23T13:49:39,2024-10-23T13:52:39,True,Sky,Non Stop
Douwe Bob,This World Is Our Home,2024-10-23T13:51:28,2024-10-23T13:54:28,False,10,Jeroen Nieuwenhuize
Dean Lewis,Trust Me Mate,2024-10-23T14:11:36,2024-10-23T14:14:36,False,Q,Bas van Nimwegen
