Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Total Touch,Touch Me There,2024-10-21T15:51:58,2024-10-21T15:54:58,True,10,Edwin Diergaarde
Alex Warren,Burning Down,2024-10-21T16:12:55,2024-10-21T16:15:55,onbekend,Q,Domien Verschuuren
Toto,Stop Loving You,2024-10-21T16:10:51,2024-10-21T16:15:20,False,5,BertOp5
Stacy Lattisaw,Jump To The Beat,2024-10-21T16:21:18,2024-10-21T16:24:54,True,Veronica,Wout & Frank
Duran Duran,The Reflex,2024-10-21T16:19:16,2024-10-21T16:23:40,False,2,De Wild in de Middag
Mark Ambor,Belong Together,2024-10-21T17:50:49,2024-10-21T17:53:49,False,Sky,Feel Good Afternoon
Sash!,ECUADOR,2024-10-21T17:49:33,2024-10-21T17:52:33,False,538,De 538 Middagshow
Hanson,Mmmbop,2024-10-21T17:51:18,2024-10-21T17:54:18,False,10,Gijs Op 10
Outsiders,Touch,2024-10-21T18:14:06,2024-10-21T18:17:17,False,5,De Avondstart
Lady Gaga & Bruno Mars,Die With A Smile,2024-10-21T18:14:43,2024-10-21T18:17:43,onbekend,Q,Domien Verschuuren
Al Stewart,Year Of The Cat,2024-10-21T18:19:43,2024-10-21T18:24:19,False,2,Het Oor Wil Ook Wat
Pointer Sisters,He's So Shy,2024-10-21T18:25:29,2024-10-21T18:29:03,True,Veronica,Wout & Frank
Teddy Swims,BAD DREAMS,2024-10-21T19:51:55,2024-10-21T19:54:55,False,538,Martijn La Grouw
Bill Medley & Jennifer Warnes,The Time Of My Life,2024-10-21T19:48:41,2024-10-21T19:51:41,False,Sky,Feel Good Evening
2 Brothers On The 4Th Floor,Dreams,2024-10-21T19:50:18,2024-10-21T19:53:18,False,10,Edwin Ouwehand
Avicii & Aloe Blacc,Wake Me Up,2024-10-21T20:15:17,2024-10-21T20:18:17,False,Q,Joost Swinkels
Fugees,Fu Gee La,2024-10-21T20:26:27,2024-10-21T20:29:59,False,2,Hallo Met Daniël
Coldplay,Viva La Vida,2024-10-21T20:25:07,2024-10-21T20:29:08,False,5,De Avond Van 5
Prince,When Doves Cry,2024-10-21T20:29:58,2024-10-21T20:33:45,False,Veronica,Martijn Muijs
Police,Every Breath You Take,2024-10-21T21:48:32,2024-10-21T21:51:32,False,Sky,Feel Good Evening
Roxette,It Must Have Been Love,2024-10-21T21:49:43,2024-10-21T21:52:43,True,10,Laat Verkerk
Eelke Kleijn,TRANSMISSION (JORIS VOORN REMIX),2024-10-21T21:52:36,2024-10-21T21:55:36,False,538,Bas & Dylan
Red Hot Chili Peppers,Californication,2024-10-21T22:16:57,2024-10-21T22:19:57,False,Q,Lars Boele
Stevie Wonder,Love's in Need of Love Today,2024-10-21T22:23:59,2024-10-21T22:31:05,False,5,De Avond Van 5
Ed Sheeran,Thinking Out Loud,2024-10-21T22:27:38,2024-10-21T22:32:15,False,2,Dees Moet Je Horen
Kooks,Mr Maker,2024-10-21T22:34:23,2024-10-21T22:37:20,False,Veronica,Frank Tot Laat
Aerosmith,I Don't Wanna Miss A Thing,2024-10-21T23:47:38,2024-10-21T23:50:38,False,Sky,Lovesongs
The Police,Message In A Bottle,2024-10-21T23:49:32,2024-10-21T23:52:32,False,10,Laat Verkerk
Swedish House Mafia Ft. Alicia Keys,FINALLY,2024-10-21T23:51:17,2024-10-21T23:54:17,onbekend,538,Bas & Dylan
