Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Abba,S.O.S.,2024-10-21T05:55:09,2024-10-21T05:58:09,onbekend,10,Ochtendshow
Panic At The Disco,High Hopes,2024-10-21T06:00:00,2024-10-21T06:03:09,False,Veronica,Ekdom in de Morgen
Jungle,Back On 74,2024-10-21T05:57:39,2024-10-21T06:01:08,False,3,Wijnand In De Ochtend
Seemon & Marijke,I Saw You,2024-10-21T05:59:46,2024-10-21T06:02:37,True,5,Goeiedag Haandrikman
"Hugel, Topic & Arash Ft. Daecolm",I ADORE YOU,2024-10-21T05:54:01,2024-10-21T05:57:01,onbekend,538,De 538 Ochtendshow
Sera,Head Held High,2024-10-21T05:57:45,2024-10-21T06:00:45,onbekend,Q,Mattie & Marieke
Kensington,Done With It,2024-10-21T05:57:45,2024-10-21T06:00:45,False,Sky,Nonstop Music Morning Show
Editors,An End Has A Start,2024-10-21T06:07:17,2024-10-21T06:11:00,False,2,Jan-Willem Start Op
Martin Solveig Ft. Dragonette,HELLO,2024-10-21T07:50:30,2024-10-21T07:53:30,False,538,De 538 Ochtendshow
Londonbeat,You Bring On The Sun,2024-10-21T07:48:46,2024-10-21T07:51:46,False,10,Ochtendshow
Toto,Stop Loving You,2024-10-21T07:49:10,2024-10-21T07:52:10,False,Sky,Nonstop Music Morning Show
Prince,Raspberry Beret,2024-10-21T08:03:36,2024-10-21T08:07:07,False,Veronica,Ekdom in de Morgen
Normaal,Oerend Hard,2024-10-21T08:02:51,2024-10-21T08:06:36,False,5,Goeiedag Haandrikman
Imagine Dragons,On Top Of The World,2024-10-21T08:03:46,2024-10-21T08:06:46,False,Q,Mattie & Marieke
James Bay,Best Fake Smile,2024-10-21T08:06:25,2024-10-21T08:09:48,False,3,Wijnand In De Ochtend
P!nk,Raise Your Glass,2024-10-21T08:10:44,2024-10-21T08:14:07,onbekend,2,Jan-Willem Start Op
Rick James,Superfreak,2024-10-21T09:48:07,2024-10-21T09:51:07,False,10,Ochtendshow
John Hiatt,Have A Little Faith In Me,2024-10-21T09:50:58,2024-10-21T09:53:58,False,Sky,Nonstop @Work
Daft Punk,ONE MORE TIME,2024-10-21T09:51:36,2024-10-21T09:54:36,False,538,De 538 Ochtendshow
Abba,Gimme! Gimme! Gimme! (A Man After Midnight),2024-10-21T10:05:33,2024-10-21T10:08:33,onbekend,Q,Het Foute Uur
Belinda Carlisle,Heaven Is A Place On Earth,2024-10-21T10:07:24,2024-10-21T10:11:11,True,Veronica,Goud van Oud
The Kinks,Dead End Street,2024-10-21T10:06:48,2024-10-21T10:10:10,False,5,Arbeidsvitaminen
Chef'special,Fly Like Me,2024-10-21T10:09:11,2024-10-21T10:12:08,onbekend,3,Ivo van Breukelen
Dua Lipa,Don't Start Now,2024-10-21T10:12:43,2024-10-21T10:15:41,True,2,Aan de Slag
Rob De Nijs,Banger Hart,2024-10-21T11:51:16,2024-10-21T11:54:16,onbekend,10,Robert Feller
Simple Minds,ALIVE AND KICKING,2024-10-21T11:50:42,2024-10-21T11:53:42,False,538,Greatest Hits
Aretha Franklin,Think,2024-10-21T11:48:28,2024-10-21T11:51:28,True,Sky,Nonstop @Work
Pitbull & Ne-Yo & Afrojack & Nayer,Give Me Everything,2024-10-21T12:06:14,2024-10-21T12:09:14,False,Q,Menno Barreveld
Lloyd Price,Personality,2024-10-21T12:07:51,2024-10-21T12:10:25,onbekend,5,Lunch Lekker
Hooters,Satellite,2024-10-21T12:11:13,2024-10-21T12:15:28,onbekend,Veronica,Sander Hoogendoorn
Gigi Perez,Sailor Song,2024-10-21T12:14:09,2024-10-21T12:17:38,onbekend,3,Ivo van Breukelen
Stealers Wheel,Stuck In The Middle With You,2024-10-21T12:16:44,2024-10-21T12:20:06,False,2,Annemiekes A-Lunch
Bangles,Eternal Flame,2024-10-21T13:49:31,2024-10-21T13:52:31,True,Sky,Non Stop
Marshmello X Kane Brown,MILES ON IT,2024-10-21T13:51:06,2024-10-21T13:54:06,onbekend,538,Lindo Duvall
Michael Zager Band,Let's All Chant,2024-10-21T13:52:46,2024-10-21T13:55:46,False,10,Jeroen Nieuwenhuize
Clouseau,Anne,2024-10-21T14:09:58,2024-10-21T14:12:41,False,5,Open Huis
Phil Collins,I Wish It Would Rain Down,2024-10-21T14:09:29,2024-10-21T14:12:29,False,Q,Bas van Nimwegen
Talking Heads,Lady Don't Mind,2024-10-21T14:17:16,2024-10-21T14:21:12,False,Veronica,De Bonanza
Bon Jovi,It's My Life,2024-10-21T14:17:45,2024-10-21T14:21:28,False,3,Mart Meijer
Kim Wilde,Chequered Love,2024-10-21T14:19:07,2024-10-21T14:22:28,True,2,Paul
Kygo Ft Conrad,Firestone,2024-10-21T15:51:10,2024-10-21T15:54:10,onbekend,Sky,Non Stop
Pitbull,I KNOW YOU WANT ME,2024-10-21T15:51:21,2024-10-21T15:54:21,False,538,Mark Labrand
