Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Bruno Mars,When I Was Your Man,2024-02-23T23:59:51,2024-02-24T00:02:51,False,Sky
Eagles,One Of These Nights,2024-02-24T00:02:21,2024-02-24T00:07:11,False,5
Toto,Stop Loving You,2024-02-24T00:03:09,2024-02-24T00:06:09,False,10
Ed Sheeran,American Town,2024-02-24T00:03:21,2024-02-24T00:06:21,False,Sky
Basement Jaxx,RENDEZ-VU,2024-02-24T00:04:32,2024-02-24T00:08:13,False,3
Wamdue Project,King Of My Castle,2024-02-24T00:05:07,2024-02-24T00:08:07,False,Q
Lost Frequencies Ft. Janieck Devy,Reality,2024-02-24T00:06:38,2024-02-24T00:09:38,False,Sky
Bruno Mars,Marry You,2024-02-24T00:07:29,2024-02-24T00:10:29,False,10
Cliff Richard,I Love You,2024-02-24T00:06:55,2024-02-24T00:08:56,False,5
Dua Lipa,Training Season,2024-02-24T00:08:05,2024-02-24T00:11:34,True,3
Phil Collins,Against All Odds (Take a Look at Me Now),2024-02-24T00:09:07,2024-02-24T00:12:31,False,5
Davina Michelle,Heartbeat,2024-02-24T00:08:46,2024-02-24T00:11:46,True,Q
Celine Dion,My Heart Will Go On,2024-02-24T00:09:17,2024-02-24T00:12:17,True,Sky
Cher,Love And Understanding,2024-02-24T00:11:18,2024-02-24T00:14:18,True,10
Nourished By Time,Hand On Me,2024-02-24T00:13:09,2024-02-24T00:16:44,False,3
Billy Joel,Turn The Lights Back On,2024-02-24T00:12:25,2024-02-24T00:16:23,False,5
Douwe Bob,This World Is Our Home,2024-02-24T00:13:52,2024-02-24T00:16:52,False,Sky
Nothing But Thieves,Oh No :: He Said What?,2024-02-24T00:14:13,2024-02-24T00:17:13,False,Q
Player,Baby Come Back,2024-02-24T00:15:04,2024-02-24T00:18:04,False,10
Fontaines Dc,A Hero's Death,2024-02-24T00:16:52,2024-02-24T00:20:29,False,3
Elton John & Kiki Dee,Don't Go Breaking My Heart,2024-02-24T00:16:24,2024-02-24T00:20:54,False,5
Ofenbach & Ella Henderson,Hurricane,2024-02-24T00:17:48,2024-02-24T00:20:48,False,Q
Niall Horan,Heaven,2024-02-24T00:16:47,2024-02-24T00:19:47,False,Sky
Mika,Grace Kelly,2024-02-24T00:19:07,2024-02-24T00:22:07,False,10
James Blunt,Stay The Night,2024-02-24T00:19:49,2024-02-24T00:22:49,False,Sky
Paul de Leeuw & André Hazes,Droomland,2024-02-24T00:20:46,2024-02-24T00:24:13,False,5
Noah Kahan,Stick Season,2024-02-24T00:21:10,2024-02-24T00:24:10,False,Q
Roxy Music,Virginia Plain,2024-02-24T00:21:05,2024-02-24T00:24:00,False,3
Terence Trent D'Arby,Dance Little Sister,2024-02-24T00:22:06,2024-02-24T00:25:06,False,10
Jessie J & B.O.B,Price Tag,2024-02-24T00:24:23,2024-02-24T00:27:23,True,Q
Starship,Nothing's Gonna Stop Us Now,2024-02-24T00:23:22,2024-02-24T00:26:22,False,Sky
Bruce Springsteen,Tougher Than The Rest,2024-02-24T00:24:09,2024-02-24T00:28:38,False,5
Joe Cocker,You Are So Beautiful,2024-02-24T00:26:04,2024-02-24T00:29:04,False,10
Hannah Mae,Waterdicht,2024-02-24T00:28:02,2024-02-24T00:31:02,True,Q
The Weeknd,Blinding Lights,2024-02-24T00:27:38,2024-02-24T00:30:38,False,Sky
Queen,Love Of My Life,2024-02-24T00:28:42,2024-02-24T00:32:21,False,5
Sister Sledge,Thinking of You,2024-02-24T00:28:40,2024-02-24T00:31:40,True,10
Dean Lewis,Trust Me Mate,2024-02-24T00:30:55,2024-02-24T00:33:55,False,Sky
Dennis van Aarssen ft. Jeff Franzel,Waiting For Tonight,2024-02-24T00:32:11,2024-02-24T00:35:19,False,5
Tate Mcrae,Greedy,2024-02-24T00:31:53,2024-02-24T00:34:53,False,Q
One Republic,All The Right Moves,2024-02-24T00:33:47,2024-02-24T00:36:47,False,Sky
Alvaro Soler,Sofia,2024-02-24T00:33:00,2024-02-24T00:36:00,False,10
Tom Grennan,Don't Break The Heart,2024-02-24T00:34:10,2024-02-24T00:37:10,False,Q
