Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Hannah Mae & Maksim,Ik Wil Dat Je Liegt,2024-10-24T21:49:15,2024-10-24T21:52:15,onbekend,Sky,Feel Good Evening
3 Doors Down,KRYPTONITE,2024-10-24T21:52:41,2024-10-24T21:55:41,False,538,Bas & Dylan
Robbie Williams,Let Me Entertain You,2024-10-24T21:50:48,2024-10-24T21:53:48,False,10,Laat Verkerk
Di Rect,90's Kid,2024-10-24T22:39:50,2024-10-24T22:43:07,False,Veronica,Frank Tot Laat
Sophie Ellis Bextor,Murder On The Dancefloor,2024-10-24T22:38:20,2024-10-24T22:42:09,True,2,Dees Moet Je Horen
George Michael,You Have Been Loved,2024-10-24T22:43:07,2024-10-24T22:48:34,False,5,De Avond Van 5
Cyril & Disturbed,Sound Of Silence,2024-10-24T22:47:32,2024-10-24T22:50:32,onbekend,Q,Lars Boele
Jax Jones ft. Raye,You Don't Know Me,2024-10-24T22:52:26,2024-10-24T22:55:57,False,3,VoorAan
Feargal Sharkey,A Good Heart,2024-10-24T23:48:00,2024-10-24T23:51:00,False,Sky,Lovesongs
Edsilia Rombley,Hemel En Aarde,2024-10-24T23:51:29,2024-10-24T23:54:29,True,10,Laat Verkerk
Di-Rect,MY BLOOD,2024-10-24T23:51:27,2024-10-24T23:54:27,False,538,Bas & Dylan
