Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Robin Thicke & Pharrell & T.I.,Blurred Lines,2024-10-24T06:00:00,2024-10-24T06:04:21,False,Veronica,Ekdom in de Morgen
The Hooters,SATELLITE,2024-10-24T05:55:33,2024-10-24T05:58:33,onbekend,538,De 538 Ochtendshow
Ed Sheeran,Shape Of You,2024-10-24T05:55:47,2024-10-24T05:58:47,False,Sky,Nonstop Music Morning Show
Tasmin Archer,Sleeping Satellite,2024-10-24T05:53:58,2024-10-24T05:56:58,True,10,Ochtendshow
Andrew Gold,How Can This Be Love,2024-10-24T06:03:23,2024-10-24T06:07:24,False,5,Goeiedag Haandrikman
Rita Ora,Anywhere,2024-10-24T06:03:09,2024-10-24T06:06:09,True,Q,Mattie & Marieke
Queen,Hammer to Fall,2024-10-24T06:12:56,2024-10-24T06:16:31,False,3,Wijnand In De Ochtend
Gloria Gaynor,Never Can Say Goodbye,2024-10-24T06:15:52,2024-10-24T06:18:52,True,2,Jan-Willem Start Op
Pink,What About Us,2024-10-24T07:51:16,2024-10-24T07:54:16,True,10,Ochtendshow
Di-Rect,WASTELANDS,2024-10-24T07:43:43,2024-10-24T07:46:43,False,538,De 538 Ochtendshow
Pink,Raise Your Glass,2024-10-24T07:48:44,2024-10-24T07:51:44,True,Sky,Nonstop Music Morning Show
Son Mieux,Free For Another Day,2024-10-24T08:05:21,2024-10-24T08:08:03,False,Veronica,Ekdom in de Morgen
Curtis Mayfield,Move On Up,2024-10-24T08:08:31,2024-10-24T08:12:18,False,5,Goeiedag Haandrikman
Clean Bandit & Anne-Marie,Cry Baby,2024-10-24T08:11:35,2024-10-24T08:14:35,onbekend,Q,Mattie & Marieke
Calvin Harris,Feel So Close,2024-10-24T08:15:02,2024-10-24T08:18:29,False,3,Wijnand In De Ochtend
Ronde,Taking My Love Back,2024-10-24T08:19:08,2024-10-24T08:21:27,False,2,Jan-Willem Start Op
C & C Music Factory,GONNA MAKE YOU SWEAT (EVERYBODY DANCE NOW),2024-10-24T09:44:05,2024-10-24T09:47:05,False,538,De 538 Ochtendshow
Douwe Bob,I Believe,2024-10-24T09:47:58,2024-10-24T09:50:58,False,Sky,Nonstop @Work
Nolan Sisters,I'm In The Mood For Dancing,2024-10-24T09:50:05,2024-10-24T09:53:05,True,10,Ochtendshow
Madonna,Borderline,2024-10-24T10:09:25,2024-10-24T10:13:20,True,Veronica,Goud van Oud
Mike & The Mechanics,The Living Years,2024-10-24T10:09:43,2024-10-24T10:15:15,False,5,Arbeidsvitaminen
Spice Girls,Stop,2024-10-24T10:18:36,2024-10-24T10:21:36,True,Q,Het Foute Uur
Fontaines D.C.,In The Modern World,2024-10-24T10:19:02,2024-10-24T10:22:59,False,3,Ivo van Breukelen
Scene,Blauw,2024-10-24T10:19:49,2024-10-24T10:24:23,False,2,Aan de Slag
Rihanna,DIAMONDS,2024-10-24T11:46:06,2024-10-24T11:49:06,True,538,Greatest Hits
Adele,Set Fire To The Rain,2024-10-24T11:50:04,2024-10-24T11:53:04,True,Sky,Nonstop @Work
Hans De Booij,Annabel,2024-10-24T11:53:04,2024-10-24T11:56:04,False,10,Robert Feller
Goede Doel,Nooduitgang,2024-10-24T12:13:29,2024-10-24T12:18:11,False,Veronica,Sander Hoogendoorn
André van Duin,Ik Was Amper 16,2024-10-24T12:21:32,2024-10-24T12:24:50,False,5,Lunch Lekker
Kygo & Imagine Dragons,Stars Will Align,2024-10-24T12:20:28,2024-10-24T12:23:28,False,Q,Menno Barreveld
Claude,La Pression,2024-10-24T12:22:43,2024-10-24T12:25:23,False,3,Ivo van Breukelen
The Shadows,Apache,2024-10-24T12:24:43,2024-10-24T12:27:35,False,2,Annemiekes A-Lunch
Alex Warren,CARRY YOU HOME,2024-10-24T13:48:26,2024-10-24T13:51:26,onbekend,538,Lindo Duvall
Pink,Trustfall,2024-10-24T13:49:03,2024-10-24T13:52:03,True,Sky,Non Stop
Bill Withers,Lovely Day,2024-10-24T13:50:55,2024-10-24T13:53:55,False,10,Jeroen Nieuwenhuize
Fools Garden,Lemon Tree,2024-10-24T14:19:33,2024-10-24T14:22:42,False,Veronica,De Bonanza
Onerepublic,Runaway,2024-10-24T14:22:00,2024-10-24T14:25:00,onbekend,Q,Bas van Nimwegen
Cirque Du Soleil,Alegria,2024-10-24T14:24:46,2024-10-24T14:29:14,False,5,Open Huis
Creedence Clearwater Revival,Down On The Corner,2024-10-24T14:26:53,2024-10-24T14:29:37,False,2,Paul
Michael Jackson,Don't Stop 'til You Get Enough,2024-10-24T14:27:08,2024-10-24T14:31:08,False,3,Mart Meijer
Martin Garrix Ft. Carolina Liar,SMILE,2024-10-24T15:51:59,2024-10-24T15:54:59,onbekend,538,Mark Labrand
Pink Ft Nate Ruess,Just Give Me a Reason,2024-10-24T15:47:58,2024-10-24T15:50:58,True,Sky,Non Stop
The Brothers Johnson,Stomp,2024-10-24T15:51:13,2024-10-24T15:54:13,False,10,Edwin Diergaarde
Santana,She's Not There,2024-10-24T16:23:36,2024-10-24T16:26:49,False,Veronica,Wout & Frank
Nickelback,How You Remind Me,2024-10-24T16:27:56,2024-10-24T16:31:52,False,2,De Wild in de Middag
Tina Turner,We Don't Need Another Hero,2024-10-24T16:31:35,2024-10-24T16:35:52,True,5,BertOp5
Shaboozey,A Bar Song (Tipsy),2024-10-24T16:37:39,2024-10-24T16:40:39,onbekend,Q,Domien Verschuuren
Smash Mouth,All Star,2024-10-24T16:37:19,2024-10-24T16:40:33,False,3,Barend & Benner
James Blunt,1973,2024-10-24T17:49:14,2024-10-24T17:52:14,False,Sky,Feel Good Afternoon
Taylor Swift,ANTI-HERO,2024-10-24T17:51:38,2024-10-24T17:54:38,True,538,De 538 Middagshow
Belinda Carlisle,Heaven Is A Place On Earth,2024-10-24T17:54:22,2024-10-24T17:57:22,True,10,Gijs Op 10
Babys,Piece Of The Action,2024-10-24T18:27:40,2024-10-24T18:32:07,False,Veronica,Wout & Frank
Kim Wilde,Kids in America,2024-10-24T18:34:08,2024-10-24T18:37:33,True,2,Het Oor Wil Ook Wat
Tim McGraw,Indian Outlaw,2024-10-24T18:35:47,2024-10-24T18:38:45,onbekend,5,De Avondstart
Jennifer Lopez,Let's Get Loud,2024-10-24T18:40:55,2024-10-24T18:43:55,True,Q,Domien Verschuuren
Faske,Nergens Heen,2024-10-24T18:44:28,2024-10-24T18:47:23,onbekend,3,Barend & Benner
Kriss Kross Amsterdam & Sera & Conor Maynard,Stay (Never Leave),2024-10-24T19:49:53,2024-10-24T19:52:53,False,Sky,Feel Good Evening
Kris Kross Amsterdam & Inna,QUEEN OF MY CASTLE,2024-10-24T19:51:08,2024-10-24T19:54:08,onbekend,538,Martijn La Grouw
Meja,All 'Bout The Money,2024-10-24T19:51:55,2024-10-24T19:54:55,True,10,Edwin Ouwehand
Rod Stewart,Young Turks,2024-10-24T20:33:44,2024-10-24T20:38:14,False,Veronica,Martijn Muijs
Grace Jones,I've Seen That Face Before,2024-10-24T20:34:55,2024-10-24T20:39:24,True,2,Hallo Met Daniël
Steely Dan,Reeling In The Years,2024-10-24T20:40:40,2024-10-24T20:45:03,False,5,De Avond Van 5
Shawn Mendes,Why Why Why,2024-10-24T20:42:26,2024-10-24T20:45:26,False,Q,Joost Swinkels
Dua Lipa,These Walls,2024-10-24T20:48:14,2024-10-24T20:51:51,True,3,Mark van der Molen
