Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Maxine Nightingale,Right Back Where We Started From,2024-02-14T23:58:09,2024-02-15T00:01:26,False,5
Post Malone,Enough Is Enough,2024-02-15T00:00:36,2024-02-15T00:03:36,False,Sky
Lionel Richie,Dancing On The Ceiling,2024-02-14T23:59:49,2024-02-15T00:02:49,False,10
Taylor Swift,CRUEL SUMMER,2024-02-15T00:01:01,2024-02-15T00:04:01,True,538
Dave Davies,Susannah's Still Alive,2024-02-15T00:02:19,2024-02-15T00:04:41,False,5
Talk Talk,Such A Shame,2024-02-15T00:02:13,2024-02-15T00:06:39,False,2
Editors,Papillon,2024-02-15T00:03:00,2024-02-15T00:06:49,False,3
Lost Frequencies & Elley Duhe & X Ambassadors,Back To You,2024-02-15T00:03:24,2024-02-15T00:06:24,False,Q
Sia,Cheap Thrills,2024-02-15T00:03:21,2024-02-15T00:06:21,True,Sky
Ellie Goulding,Love Me Like You Do,2024-02-15T00:04:05,2024-02-15T00:07:05,True,10
Ofenbach,OVERDRIVE,2024-02-15T00:03:52,2024-02-15T00:06:52,False,538
ABBA,Eagle,2024-02-15T00:04:37,2024-02-15T00:09:03,False,5
Loreen,Is It Love,2024-02-15T00:05:55,2024-02-15T00:08:55,True,Q
Shania Twain,Man I Feel Like A Woman,2024-02-15T00:06:25,2024-02-15T00:10:21,True,2
Foreigner,COLD AS ICE,2024-02-15T00:06:52,2024-02-15T00:09:52,False,538
Douwe Bob,Nothing To Lose,2024-02-15T00:06:52,2024-02-15T00:09:52,False,Sky
Zerb Ft. Sofiya Nzau,Mwaki,2024-02-15T00:06:46,2024-02-15T00:10:14,False,3
John Travolta & Olivia Newton John,Summer Nights,2024-02-15T00:07:59,2024-02-15T00:10:59,False,10
Grace Jones,I've Seen That Face Before,2024-02-15T00:09:07,2024-02-15T00:13:36,True,5
Vieze Jack,Captain Jack,2024-02-15T00:10:00,2024-02-15T00:13:00,False,Q
Bruno Mars,When I Was Your Man,2024-02-15T00:09:48,2024-02-15T00:12:48,False,Sky
Claude,ECOUTEZ-MOI,2024-02-15T00:10:13,2024-02-15T00:13:13,False,538
Elvis Presley,Burning Love,2024-02-15T00:10:23,2024-02-15T00:13:10,False,2
"Maryn Charlie, Melle",Coming Of Age,2024-02-15T00:10:55,2024-02-15T00:13:40,False,3
Rod Stewart & Tina Turner,It Takes Two,2024-02-15T00:11:42,2024-02-15T00:14:42,False,10
Coldplay,HIGHER POWER,2024-02-15T00:12:46,2024-02-15T00:15:46,False,538
Nick Schilder,Realize,2024-02-15T00:13:07,2024-02-15T00:16:07,False,Q
Patrick Swayze,She's Like The Wind,2024-02-15T00:13:22,2024-02-15T00:16:22,False,Sky
Barry White,"You're The First, The Last, My Everything",2024-02-15T00:13:14,2024-02-15T00:16:39,False,2
Venice,Sorry,2024-02-15T00:13:31,2024-02-15T00:17:01,False,5
Taylor Swift,Cruel Summer,2024-02-15T00:13:50,2024-02-15T00:16:45,True,3
Gnarls Barkley,Crazy,2024-02-15T00:15:41,2024-02-15T00:18:41,False,10
Lewis Capaldi,STRANGERS,2024-02-15T00:16:43,2024-02-15T00:19:43,False,538
Walk The Moon,Shut Up And Dance,2024-02-15T00:16:02,2024-02-15T00:19:02,False,Q
Lost Frequenties,Back to you,2024-02-15T00:16:58,2024-02-15T00:19:58,False,Sky
Fleetwood Mac,Sara (Albumversie),2024-02-15T00:16:30,2024-02-15T00:23:00,False,2
Neil Young,Heart Of Gold,2024-02-15T00:16:55,2024-02-15T00:20:05,False,5
Spargo,You And Me,2024-02-15T00:18:39,2024-02-15T00:21:39,False,10
Simply Red,Home,2024-02-15T00:19:56,2024-02-15T00:23:12,False,5
"Alok, The Chainsmokers & Mae Stephens",JUNGLE,2024-02-15T00:20:11,2024-02-15T00:23:11,False,538
Roxy Dekker,Satisfyer,2024-02-15T00:20:35,2024-02-15T00:23:35,True,Q
Nothing But Thieves,Overcome,2024-02-15T00:19:36,2024-02-15T00:22:36,False,Sky
Lewis Capaldi,Hold Me While You Wait,2024-02-15T00:20:39,2024-02-15T00:24:00,False,3
Emeli Sande,Next To Me,2024-02-15T00:22:55,2024-02-15T00:25:55,True,Sky
Ilse Delange,I'm Not So Tough,2024-02-15T00:22:55,2024-02-15T00:25:55,False,10
Prodigy,Out Of Space (Albumversie),2024-02-15T00:22:58,2024-02-15T00:27:57,False,2
Randy Crawford,Rainy Night In Georgia,2024-02-15T00:23:05,2024-02-15T00:27:25,False,5
Onerepublic,SUNSHINE,2024-02-15T00:23:22,2024-02-15T00:26:22,False,538
Bruno Mars,The Lazy Song,2024-02-15T00:22:47,2024-02-15T00:25:47,False,Q
The Last Dinner Party,Sinner,2024-02-15T00:24:04,2024-02-15T00:27:00,False,3
Mark Ronson Ft. Amy Winehouse,VALERIE,2024-02-15T00:25:58,2024-02-15T00:28:58,False,538
Sting,Fields Of Gold,2024-02-15T00:26:09,2024-02-15T00:29:09,False,Sky
Adriano Celentano,Prisencolinen Sinainciusol,2024-02-15T00:27:33,2024-02-15T00:31:22,False,5
Teddy Swims,Lose Control,2024-02-15T00:26:54,2024-02-15T00:29:54,False,Q
Toto,Hold The Line,2024-02-15T00:27:07,2024-02-15T00:30:07,False,10
Purple Disco Machine,Beat Of Your Heart,2024-02-15T00:27:04,2024-02-15T00:30:32,False,3
Eagles,One Of These Nights,2024-02-15T00:27:54,2024-02-15T00:32:44,False,2
The K.L.F.,LAST TRAIN TO TRANSCENTRAL (EDIT),2024-02-15T00:29:58,2024-02-15T00:32:58,False,538
Noah Kahan,Stick Season,2024-02-15T00:29:47,2024-02-15T00:32:47,False,Sky
Jonas Blue & Jack & Jack,Rise,2024-02-15T00:30:15,2024-02-15T00:33:15,False,Q
Shawn Mendes,There's Nothing Holdin' Me Back,2024-02-15T00:31:09,2024-02-15T00:34:09,False,10
Foo Fighters,Wheels,2024-02-15T00:30:33,2024-02-15T00:35:06,False,3
Stephanie Struijk,Straks,2024-02-15T00:31:12,2024-02-15T00:33:28,True,5
Mika,Grace Kelly,2024-02-15T00:32:31,2024-02-15T00:35:36,False,2
Beach Boys,Do It Again,2024-02-15T00:33:20,2024-02-15T00:35:42,False,5
Davina Michelle,Skyward,2024-02-15T00:32:49,2024-02-15T00:35:49,True,Sky
El Debarge,Who's Johnny,2024-02-15T00:34:27,2024-02-15T00:37:27,False,10
Johnny Cash,I Walk The Line,2024-02-15T00:35:33,2024-02-15T00:38:17,False,2
