Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Don Francisco,Too small a price (laatste 3 minuten!),2024-10-19T18:23:05,2024-10-19T18:26:07,onbekend,5,De Muzikale Fruitmand
Snoop Dogg & Pharell & Charlie Wilson,Beautiful,2024-10-19T18:27:26,2024-10-19T18:31:29,onbekend,2,Soul Night met Corné
Armin Van Buuren & Chef Special,Larger Than Life,2024-10-19T18:51:11,2024-10-19T18:54:11,onbekend,Sky,Feel Good Afternoon
M People,Moving On Up,2024-10-19T18:51:29,2024-10-19T18:54:29,False,10,Jules van Hest
"Felix Jaehn, Ray Dalton",Call It Love,2024-10-19T18:51:37,2024-10-19T18:54:37,onbekend,538,Global Dance Chart
Carista,It Could Be Forever [Single],2024-10-19T19:27:53,2024-10-19T19:33:22,onbekend,3,3FM x ADE
Bruce Springsteen,Born To Run,2024-10-19T19:30:29,2024-10-19T19:34:58,False,Veronica,The 70s & 80s Files
Usher,Yeah,2024-10-19T19:40:43,2024-10-19T19:43:43,False,Q,Joey van der Velden
Pepijn de Wit,And in the end,2024-10-19T20:27:13,2024-10-19T20:29:29,onbekend,5,Volgspot
Amii Stewart,Knock On Wood,2024-10-19T20:29:59,2024-10-19T20:33:39,True,2,Soul Night met Corné
Marshmello & Kane Brown,Miles On It,2024-10-19T20:50:27,2024-10-19T20:53:27,onbekend,Sky,Feel Good Evening
The Bangles,Manic Monday,2024-10-19T20:51:12,2024-10-19T20:54:12,True,10,Jules van Hest
Solo Moderna,Planeta De Roca,2024-10-19T21:31:48,2024-10-19T21:35:16,onbekend,3,3FM x ADE
Ronde,Undecided,2024-10-19T21:36:51,2024-10-19T21:39:31,False,Veronica,Thijs Meeuwsen
Joost Swinkels,Worldwide Club 20,2024-10-19T22:03:04,2024-10-19T22:06:04,False,Q,Worldwide Club 20
Stevie Wonder,Can We Fix Our Nation's Broken Heart,2024-10-19T22:29:02,2024-10-19T22:33:37,False,5,Volgspot
Otis Redding,Love man,2024-10-19T22:33:14,2024-10-19T22:35:33,False,2,Soul Night met Shay
"Disturbed, Cyril",The Sound of Silence - CYRIL Remix,2024-10-19T22:34:30,2024-10-19T22:37:30,onbekend,538,Dance Department
Elton John & Britney Spears,Hold Me Closer,2024-10-19T22:51:18,2024-10-19T22:54:18,False,Sky,Lovesongs
Madonna,Vogue,2024-10-19T22:50:51,2024-10-19T22:53:51,True,10,Top 4000 Classics
Alanis Morissette,You Oughta Know,2024-10-19T23:41:15,2024-10-19T23:45:22,True,Veronica,Thijs Meeuwsen
