Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
The Jacksons,Can You Feel it,2024-02-23T00:01:37,2024-02-23T00:04:37,False,10
Creedence Clearwater Revival,Lodi,2024-02-23T00:02:21,2024-02-23T00:05:31,False,5
Lewis Capaldi,Wish You The Best,2024-02-23T00:03:01,2024-02-23T00:06:01,False,Sky
Green Day,Good Riddance (Time Of Your Life),2024-02-23T00:02:14,2024-02-23T00:04:41,False,2
Calvin Harris & Ellie Goulding,MIRACLE,2024-02-23T00:02:45,2024-02-23T00:05:45,False,538
Sigma,Nobody To Love,2024-02-23T00:03:49,2024-02-23T00:06:58,False,3
Gerard Joling,Twee Motten,2024-02-23T00:04:26,2024-02-23T00:07:26,False,Q
Amy Winehouse,Back To Black,2024-02-23T00:05:33,2024-02-23T00:08:33,True,10
The Mamas & The Papas,California Dreamin',2024-02-23T00:04:41,2024-02-23T00:07:23,False,2
Jim Reeves,I Love You Because,2024-02-23T00:05:23,2024-02-23T00:08:08,False,5
Noah Kahan,STICK SEASON,2024-02-23T00:05:35,2024-02-23T00:08:35,False,538
Lost Frequencies & Bastille,Head Down,2024-02-23T00:06:49,2024-02-23T00:09:49,False,Q
Lene Marlin,Sitting Down Here,2024-02-23T00:06:26,2024-02-23T00:09:26,True,Sky
Counting Crows,Accidentally In Love,2024-02-23T00:07:18,2024-02-23T00:10:24,False,2
BEYONCE,TEXAS HOLD 'EM,2024-02-23T00:06:42,2024-02-23T00:10:38,False,3
Dubliners,Whiskey In The Jar,2024-02-23T00:08:05,2024-02-23T00:11:03,False,5
Whitney Houston,I WANNA DANCE WITH SOMEBODY,2024-02-23T00:08:51,2024-02-23T00:11:51,True,538
Racoon,Nickel For Goodbye,2024-02-23T00:09:55,2024-02-23T00:12:55,False,Sky
Stealers Wheel,Stuck In The Middle With You,2024-02-23T00:09:31,2024-02-23T00:12:31,False,10
Zayn & Sia,Dusk Till Dawn,2024-02-23T00:09:46,2024-02-23T00:12:46,False,Q
The Doors,People Are Strange,2024-02-23T00:11:14,2024-02-23T00:13:26,False,5
Queen,Who Wants To Live Forever,2024-02-23T00:10:21,2024-02-23T00:15:35,False,2
Flemming & Zoe Tauran & Ronnie Flex,ALLES OP GEVOEL,2024-02-23T00:12:36,2024-02-23T00:15:36,False,538
Dj Snake Ft Justin Bieber,Let Me Love You,2024-02-23T00:13:38,2024-02-23T00:16:38,False,Sky
Rem,Losing My Religion,2024-02-23T00:12:55,2024-02-23T00:15:55,False,10
Tom Jones,Green Green Grass Of Home,2024-02-23T00:13:22,2024-02-23T00:16:25,False,5
Coldplay,FIX YOU,2024-02-23T00:15:36,2024-02-23T00:18:36,False,538
Nothing But Thieves,Oh No :: He Said What?,2024-02-23T00:15:39,2024-02-23T00:18:39,False,Q
Communards,Don't Leave Me This Way,2024-02-23T00:15:28,2024-02-23T00:20:01,False,2
Feargal Sharkey,A Good Heart,2024-02-23T00:17:00,2024-02-23T00:20:00,False,Sky
Pink,Walk Me Home,2024-02-23T00:17:20,2024-02-23T00:20:20,True,10
Etta James,At Last,2024-02-23T00:16:25,2024-02-23T00:19:25,True,5
Manfred Mann,My Name Is Jack,2024-02-23T00:19:21,2024-02-23T00:22:10,False,5
Alok & Bebe Rexha,DEEP IN YOUR LOVE,2024-02-23T00:19:07,2024-02-23T00:22:07,False,538
Robbie Williams,Angels,2024-02-23T00:19:24,2024-02-23T00:22:24,False,Q
Tracey Ullman,Breakaway,2024-02-23T00:20:02,2024-02-23T00:23:02,True,10
Florence + The Machine,Dog Days Are Over,2024-02-23T00:19:55,2024-02-23T00:24:03,True,2
Teddy Swims,Lose Control,2024-02-23T00:21:24,2024-02-23T00:24:24,False,Sky
Sandy Coast,Capital Punishment,2024-02-23T00:22:04,2024-02-23T00:27:26,False,5
Harry Styles,AS IT WAS,2024-02-23T00:21:57,2024-02-23T00:24:57,False,538
George Michael & Mary J. Blige,As,2024-02-23T00:22:44,2024-02-23T00:25:44,False,10
P!nk,TRUSTFALL,2024-02-23T00:23:16,2024-02-23T00:27:09,True,3
Flemming & Zoë Tauran & Ronnie Flex,Alles Op Gevoel,2024-02-23T00:24:25,2024-02-23T00:27:25,False,Q
Johnny Cash,A Boy Named Sue,2024-02-23T00:23:58,2024-02-23T00:27:43,False,2
Pink,ALL OUT OF FIGHT,2024-02-23T00:24:30,2024-02-23T00:27:30,True,538
Shawn Mendes Ft Camila Cabello,Senorita,2024-02-23T00:25:00,2024-02-23T00:28:00,False,Sky
Armin Van Buuren Feat Trevor Guthrie,This Is What It Feels Like,2024-02-23T00:27:15,2024-02-23T00:30:15,False,10
Benson Boone,Beautiful Things,2024-02-23T00:26:59,2024-02-23T00:30:02,False,3
The Animals,It's My Life,2024-02-23T00:27:35,2024-02-23T00:30:39,False,5
Robert Miles,CHILDREN,2024-02-23T00:27:53,2024-02-23T00:30:53,False,538
P!Nk,Never Gonna Not Dance Again,2024-02-23T00:27:12,2024-02-23T00:30:12,False,Q
The Kinks,Waterloo Sunset,2024-02-23T00:27:44,2024-02-23T00:31:02,False,2
Janet Jackson,Together Again,2024-02-23T00:28:15,2024-02-23T00:31:15,True,Sky
Tina Turner,Typical Male,2024-02-23T00:30:44,2024-02-23T00:33:44,True,10
Taylor Swift,Cowboy Like Me,2024-02-23T00:30:56,2024-02-23T00:35:27,True,2
Joost Ft. Jack Parow,Fryslan Bop,2024-02-23T00:30:01,2024-02-23T00:32:26,False,3
Rob Hoeke Rhythm,Margio,2024-02-23T00:30:37,2024-02-23T00:33:26,False,5
Fool'S Garden,LEMON TREE,2024-02-23T00:31:27,2024-02-23T00:34:27,False,538
Post Malone,Enough Is Enough,2024-02-23T00:32:20,2024-02-23T00:35:20,False,Sky
Lesley Gore,You Don't Own Me,2024-02-23T00:33:25,2024-02-23T00:35:54,False,5
Georgia,Too Much Too Little,2024-02-23T00:34:04,2024-02-23T00:36:44,False,3
Claude,ECOUTEZ-MOI,2024-02-23T00:34:33,2024-02-23T00:37:33,False,538
David Guetta & Kim Petras,When We Were Young (The Logical Song),2024-02-23T00:34:16,2024-02-23T00:37:16,False,Q
Michael Buble,Haven't Met You Yet,2024-02-23T00:35:10,2024-02-23T00:38:10,False,Sky
Shakira Feat. Wyclef Jean,Hips Don't Lie,2024-02-23T00:35:00,2024-02-23T00:38:00,False,10
Johnny Cash,San Quentin,2024-02-23T00:35:48,2024-02-23T00:38:15,False,5
Foo Fighters,The Pretender,2024-02-23T00:35:22,2024-02-23T00:39:49,False,2
Wulf,Mind Made Up,2024-02-23T00:36:50,2024-02-23T00:39:50,False,Q
Lemon Pipers,Rice Is Nice,2024-02-23T00:38:14,2024-02-23T00:40:23,False,5
No Doubt,JUST A GIRL,2024-02-23T00:38:17,2024-02-23T00:41:17,False,538
Abba,Dancing Queen,2024-02-23T00:38:43,2024-02-23T00:41:43,False,10
Davina Michelle,17,2024-02-23T00:39:07,2024-02-23T00:42:07,True,Sky
Elvis Presley,Always On My Mind,2024-02-23T00:39:47,2024-02-23T00:43:26,False,2
Van Morrison,Brown Eyed Girl,2024-02-23T00:40:30,2024-02-23T00:43:35,False,5
Armin Van Buuren & Goodboys,FOREVER (STAY LIKE THIS),2024-02-23T00:41:27,2024-02-23T00:44:27,False,538
Dermot Kennedy,Better Days,2024-02-23T00:41:48,2024-02-23T00:44:48,False,Sky
George Ezra,Budapest,2024-02-23T00:42:14,2024-02-23T00:45:14,False,10
Teddy Swims,Lose Control,2024-02-23T00:42:52,2024-02-23T00:45:52,False,Q
One Direction,Story Of My Life,2024-02-23T00:43:18,2024-02-23T00:46:55,False,2
Vampire Weekend,Capricorn,2024-02-23T00:43:43,2024-02-23T00:47:52,False,3
Glen Campbell,Wichita Lineman,2024-02-23T00:43:27,2024-02-23T00:46:29,False,5
Dua Lipa,HOUDINI,2024-02-23T00:43:52,2024-02-23T00:46:52,True,538
