Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Gino Vannelli,Wild Horses,2024-02-03T23:59:23,2024-02-04T00:03:55,False,5
Guns N' Roses,Sweet Child O' Mine,2024-02-04T00:02:02,2024-02-04T00:07:55,False,Veronica
Tom Van Der Weerd,Maximum Weekend Mix,2024-02-04T00:02:42,2024-02-04T00:05:42,False,Q
Stevie Wonder,I Wish,2024-02-04T00:02:24,2024-02-04T00:06:35,False,2
Godley & Creme,A Little Piece of Heaven,2024-02-04T00:02:23,2024-02-04T00:06:06,False,5
Taylor Swift,Cruel Summer,2024-02-04T00:03:53,2024-02-04T00:06:53,True,Sky
Demis Roussos,Forever And Ever,2024-02-04T00:06:04,2024-02-04T00:09:41,False,5
Anouk,Michel,2024-02-04T00:06:50,2024-02-04T00:09:50,True,Sky
Genesis,I Can't Dance,2024-02-04T00:08:20,2024-02-04T00:12:19,False,Veronica
Jamiroquai,Seven Days In Sunny June,2024-02-04T00:06:35,2024-02-04T00:10:36,False,2
Wallace Collection,Daydream,2024-02-04T00:09:49,2024-02-04T00:14:03,False,5
Purple Disco Machine & Sophie And The Giants,Hypnotized,2024-02-04T00:10:53,2024-02-04T00:13:53,False,Sky
Tony Scott en Ben Liebrand,Move To The Bigband,2024-02-04T00:10:27,2024-02-04T00:14:28,False,2
Sera,Head Held High,2024-02-04T00:13:08,2024-02-04T00:16:23,True,Veronica
Michael Jackson,You Are Not Alone,2024-02-04T00:14:05,2024-02-04T00:17:05,False,Sky
Paul de Leeuw & Simon Keizer,Het Komt Wel Goed,2024-02-04T00:13:54,2024-02-04T00:17:49,False,5
Jimmy Bo Horne,Dance Across The Floor,2024-02-04T00:16:24,2024-02-04T00:19:11,False,Veronica
Supremes,You Keep Me Hangin' On,2024-02-04T00:14:40,2024-02-04T00:17:18,False,2
George Michael,Older,2024-02-04T00:17:21,2024-02-04T00:22:55,False,2
Dire Straits,Sultans Of Swing,2024-02-04T00:17:47,2024-02-04T00:23:35,False,5
Racoon,Nickel For Goodbye,2024-02-04T00:18:32,2024-02-04T00:21:32,False,Sky
Blof,Hier,2024-02-04T00:19:12,2024-02-04T00:23:19,False,Veronica
Enrique Iglesias,Bailamos,2024-02-04T00:22:19,2024-02-04T00:25:19,False,Sky
Queen,I Want To Break Free,2024-02-04T00:24:44,2024-02-04T00:29:01,False,Veronica
Tower Of Power,Souled Out,2024-02-04T00:22:53,2024-02-04T00:26:41,False,2
