Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Booker T & The MG's,Time Is Tight,2024-02-17T23:59:17,2024-02-18T00:02:30,False,5
Tom Van Der Weerd,Maximum Weekend Mix,2024-02-18T00:02:40,2024-02-18T00:05:40,False,Q
Dean Lewis,How Do I Say Goodbye,2024-02-18T00:01:57,2024-02-18T00:04:57,False,Sky
U2,Desire,2024-02-18T00:03:12,2024-02-18T00:06:10,False,Veronica
Donna Summer,MacArthur Park,2024-02-18T00:02:20,2024-02-18T00:06:15,True,2
The Four Tops,Standing In The Shadows Of Love,2024-02-18T00:02:25,2024-02-18T00:05:01,False,5
Simon & Garfunkel,Scarborough Fair,2024-02-18T00:04:57,2024-02-18T00:08:10,False,5
Beyonce,Halo,2024-02-18T00:04:34,2024-02-18T00:07:34,True,Sky
Depeche Mode,Enjoy The Silence,2024-02-18T00:08:00,2024-02-18T00:12:13,False,Veronica
Nina Simone,I put a spell on you,2024-02-18T00:08:02,2024-02-18T00:10:37,True,5
James Bay,Hold Back The River,2024-02-18T00:08:16,2024-02-18T00:11:16,False,Sky
Average White Band,Let's Go Round Again,2024-02-18T00:06:16,2024-02-18T00:10:25,False,2
Anthony Hamilton,Best Of Me,2024-02-18T00:10:13,2024-02-18T00:13:59,False,2
Shawn Elliott,Shame And Scandal In The Family,2024-02-18T00:10:46,2024-02-18T00:13:26,False,5
John Mayer,Perfectly Lonely,2024-02-18T00:12:33,2024-02-18T00:16:59,False,Veronica
Billy Joel,Piano Man,2024-02-18T00:12:16,2024-02-18T00:15:16,False,Sky
Johnny Cash,Folsom Prison Blues (Live),2024-02-18T00:13:22,2024-02-18T00:16:05,False,5
Martha & The Vandellas,Dancing In The Street,2024-02-18T00:14:11,2024-02-18T00:16:51,True,2
The Mamas & The Papas,Words Of Love,2024-02-18T00:16:14,2024-02-18T00:18:31,False,5
Sade,Smooth Operator,2024-02-18T00:17:23,2024-02-18T00:21:40,True,Veronica
Adina Howard,Freak Like Me,2024-02-18T00:16:38,2024-02-18T00:20:43,True,2
Pink,All Out Of Fight,2024-02-18T00:17:48,2024-02-18T00:20:48,True,Sky
Marvelettes,Please Mr Postman,2024-02-18T00:18:15,2024-02-18T00:20:42,False,5
The Righteous Brothers,Unchained Melody,2024-02-18T00:20:42,2024-02-18T00:24:19,False,5
Natalie Imbruglia,Torn,2024-02-18T00:21:19,2024-02-18T00:24:19,True,Sky
Kings Of Leon,Use Somebody,2024-02-18T00:21:56,2024-02-18T00:25:46,False,Veronica
Chris Brown,With You,2024-02-18T00:20:39,2024-02-18T00:24:50,False,2
Deniece Williams,Let's Hear It For The Boy,2024-02-18T00:24:53,2024-02-18T00:29:11,True,2
Jay & The Americans,Come A Little Bit Closer,2024-02-18T00:24:24,2024-02-18T00:27:09,False,5
Kygo  Ft Conrad,Firestone,2024-02-18T00:25:11,2024-02-18T00:28:11,False,Sky
Anouk,Sacrifice,2024-02-18T00:26:44,2024-02-18T00:30:42,True,Veronica
Ramses Shaffy,De Een Wil De Ander,2024-02-18T00:27:08,2024-02-18T00:30:11,False,5
Ronde,Break My Heart,2024-02-18T00:28:31,2024-02-18T00:31:31,True,Sky
Frank Sinatra,L.A. is my lady,2024-02-18T00:28:59,2024-02-18T00:32:10,False,2
Procol Harum,A Whiter Shade Of Pale,2024-02-18T00:30:13,2024-02-18T00:34:10,False,5
Waterboys,Whole Of The Moon,2024-02-18T00:31:32,2024-02-18T00:35:55,False,Veronica
Birdy,Skinny Love,2024-02-18T00:31:45,2024-02-18T00:34:45,True,Sky
Pete Philly & Perquiste ft. Naaz,Mayhem,2024-02-18T00:32:07,2024-02-18T00:35:30,False,2
Stevie Wonder,For Once In My Life,2024-02-18T00:34:09,2024-02-18T00:36:58,False,5
The Kid Laroi & Justin Bieber,Stay,2024-02-18T00:35:07,2024-02-18T00:38:07,False,Sky
Teddy Swims,Lose Control,2024-02-18T00:36:19,2024-02-18T00:39:48,False,Veronica
Pasadenas,Tribute (Right On),2024-02-18T00:35:28,2024-02-18T00:39:49,False,2
P.J. Proby,Somewhere,2024-02-18T00:36:51,2024-02-18T00:40:08,False,5
Banners,Someone To You,2024-02-18T00:37:23,2024-02-18T00:40:23,False,Sky
Maria Mena,You're The Only One,2024-02-18T00:41:22,2024-02-18T00:44:04,False,Veronica
Patti Labelle,Release,2024-02-18T00:39:40,2024-02-18T00:43:33,False,2
Glen Campbell,Galveston,2024-02-18T00:40:19,2024-02-18T00:42:56,False,5
Son Mieux,Tonight,2024-02-18T00:40:59,2024-02-18T00:43:59,False,Sky
Fortunes,Caroline,2024-02-18T00:42:53,2024-02-18T00:44:51,False,5
Manic Street Preachers,Motorcycle Emptiness,2024-02-18T00:44:09,2024-02-18T00:49:24,False,Veronica
Shakatak,Easier Said Than Done,2024-02-18T00:43:27,2024-02-18T00:47:14,False,2
Het,Kejje Nagaan,2024-02-18T00:44:48,2024-02-18T00:48:20,False,5
Belinda Carlisle,Heaven Is A Place On Earth,2024-02-18T00:45:28,2024-02-18T00:48:28,True,Sky
Cameo,Word Up,2024-02-18T00:47:08,2024-02-18T00:51:20,False,2
Françoise Hardy,Tous Les Garcons Et Les Filles,2024-02-18T00:48:23,2024-02-18T00:51:30,False,5
Pharrell Williams,Happy,2024-02-18T00:49:22,2024-02-18T00:52:22,False,Sky
Frank Boeijen Groep,Doe Iets,2024-02-18T00:50:28,2024-02-18T00:54:56,False,Veronica
Nona,It's Alright,2024-02-18T00:51:25,2024-02-18T00:55:12,True,2
Armand,Blommenkinders,2024-02-18T00:51:29,2024-02-18T00:54:51,False,5
Ed Sheeran,American Town,2024-02-18T00:51:54,2024-02-18T00:54:54,False,Sky
Ac Dc,Highway To Hell,2024-02-18T00:55:30,2024-02-18T00:58:57,False,Veronica
Eric B. &  Rakim,I Know You Got Soul,2024-02-18T00:55:01,2024-02-18T00:59:01,False,2
Gerry & the Pacemakers,Ferry 'Cross The Mersey,2024-02-18T00:54:47,2024-02-18T00:57:09,False,5
Shawn Mendes,When You're Gone,2024-02-18T00:55:10,2024-02-18T00:58:10,False,Sky
Mary Wells,My Guy,2024-02-18T00:57:21,2024-02-18T01:00:11,False,5
Adele,Rolling In The Deep,2024-02-18T00:58:13,2024-02-18T01:01:13,True,Sky
Kungs Vs Cookin On 3 Burners,This Girl,2024-02-18T01:00:03,2024-02-18T01:03:17,False,Veronica
Love Unlimited,I'm So Glad That I'm A Woman,2024-02-18T00:59:09,2024-02-18T01:03:04,False,2
Lost Frequencies,Lost Radio,2024-02-18T01:00:50,2024-02-18T01:03:50,False,Q
Tears For Fears,Shout,2024-02-18T01:02:37,2024-02-18T01:05:37,False,10
Michael Jackson,Just Good Friends,2024-02-18T01:02:16,2024-02-18T01:06:19,False,2
Elvis Presley,Viva Las Vegas,2024-02-18T01:02:21,2024-02-18T01:04:43,False,5
