Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Miley Cyrus,Flowers,2024-10-27T04:54:44,2024-10-27T04:57:44,True,Sky,Nonstop Music Morning Show
Joe Jackson,Is She Really Goin' Out With Him,2024-10-27T04:53:42,2024-10-27T04:56:42,False,10,Het Weekend van 10 Non-Stop
Knack,My Sharona,2024-10-27T05:00:00,2024-10-27T05:04:01,False,Veronica,Oh Wat Een Nacht
Claude,LA PRESSION,2024-10-27T04:57:44,2024-10-27T05:00:44,False,538,53N8 Non-Stop
Coldplay,A Sky Full of Stars,2024-10-27T06:53:43,2024-10-27T06:56:43,False,Sky,Nonstop Music Morning Show
Ultimate Kaos,Casanova,2024-10-27T06:54:59,2024-10-27T06:57:59,False,10,Het Weekend van 10 Non-Stop
"Hugel, Topic & Arash Ft. Daecolm",I ADORE YOU,2024-10-27T07:00:39,2024-10-27T07:03:39,onbekend,538,Julia van Reyendam
Kim Wilde,Kids In America,2024-10-27T07:05:46,2024-10-27T07:09:09,True,Veronica,Ferry Oomen
Bill Medley & Jennifer Warnes,The Time Of My Life,2024-10-27T08:50:01,2024-10-27T08:53:01,False,Sky,Nonstop Music Morning Show
Bryan Adams,Somebody,2024-10-27T08:49:48,2024-10-27T08:52:48,False,10,Albert-Jan Sluis
Alok & Gryffin Ft. Julia Church,NEVER LETTING GO,2024-10-27T08:56:06,2024-10-27T08:59:06,onbekend,538,Het Beste Van Evers & Co
Counting Crows & Vanessa Carlton,Big Yellow Taxi,2024-10-27T09:09:31,2024-10-27T09:13:15,False,Veronica,Ferry Oomen
Michael Jackson,The Way You Make Me Feel,2024-10-27T10:48:15,2024-10-27T10:51:15,False,Sky,Non Stop
Jennifer Lopez,Waiting For Tonight,2024-10-27T10:50:49,2024-10-27T10:53:49,True,10,Wouter Kooiman
Sophie Ellis Bextor,MURDER ON THE DANCEFLOOR,2024-10-27T10:50:42,2024-10-27T10:53:42,True,538,Het Beste Van Evers & Co
Robbie Robertson,Somewhere Down The Crazy River,2024-10-27T11:13:16,2024-10-27T11:18:09,False,Veronica,Verschuurens Goud van Oud
Taylor Swift,Anti-Hero,2024-10-27T12:49:45,2024-10-27T12:52:45,True,Sky,Non Stop
Karol G,SI ANTES TE HUBIERA CONOCIDO,2024-10-27T12:51:15,2024-10-27T12:54:15,True,538,Jordi Warners
Suzan & Freek,Als Het Avond Is,2024-10-27T12:50:47,2024-10-27T12:53:47,True,10,Jan-Paul Grootentraast
Keane,Everybody's Changing,2024-10-27T13:19:01,2024-10-27T13:22:36,False,Veronica,WeekendRick
Myles Smith,Stargazing,2024-10-27T14:51:15,2024-10-27T14:54:15,onbekend,Sky,Weekend Hits
Moloko,Sing It Back,2024-10-27T14:49:59,2024-10-27T14:52:59,True,10,Jan-Paul Grootentraast
Sabrina Carpenter,TASTE,2024-10-27T14:52:47,2024-10-27T14:55:47,onbekend,538,Jordi Warners
Tori Amos,Professional Widow,2024-10-27T15:22:50,2024-10-27T15:26:36,True,Veronica,WeekendRick
Richard Marx,Right Here Waiting,2024-10-27T16:51:48,2024-10-27T16:54:48,False,Sky,Feel Good Afternoon
Marco Borsato,Dromen Zijn Bedrog,2024-10-27T16:49:52,2024-10-27T16:52:52,False,10,Dennis Verheugd
Swedish House Mafia Ft. Alicia Keys,FINALLY,2024-10-27T16:52:01,2024-10-27T16:55:01,onbekend,538,Martijn La Grouw
Steve Winwood,Valerie,2024-10-27T17:28:36,2024-10-27T17:32:42,False,Veronica,Niek van der Bruggen
Diesel,Sausolito Summernight,2024-10-27T18:49:42,2024-10-27T18:52:42,False,10,Jules van Hest
Miley Cyrus,MIDNIGHT SKY,2024-10-27T18:51:23,2024-10-27T18:54:23,True,538,Julia van Reyendam
Pointer Sisters,I'm So Excited,2024-10-27T18:48:43,2024-10-27T18:51:43,True,Sky,Feel Good Afternoon
Live,Dolphin's Cry,2024-10-27T19:34:25,2024-10-27T19:38:43,False,Veronica,De Platenzaak
Cutting Crew,I Just Died In Your Arms,2024-10-27T20:50:45,2024-10-27T20:53:45,False,Sky,Feel Good Evening
Gala,Freed From Desire,2024-10-27T20:50:07,2024-10-27T20:53:07,True,10,Jules van Hest
Madcon Ft. Ray Dalton,DON'T WORRY,2024-10-27T20:54:48,2024-10-27T20:57:48,False,538,Julia van Reyendam
Robbie Williams,Rock DJ,2024-10-27T21:40:14,2024-10-27T21:44:31,False,Veronica,Thijs Meeuwsen
Tina Turner,We Don't Need Another Hero (Thunderdome),2024-10-27T22:51:14,2024-10-27T22:54:14,True,Sky,Lovesongs
Barry White,"You're The First, The Last, My Everything",2024-10-27T22:51:36,2024-10-27T22:54:36,False,10,Top 4000 Classics
"Clean Bandit, Anne-Marie & David Guetta",CRY BABY,2024-10-27T22:56:08,2024-10-27T22:59:08,onbekend,538,Floris Molenaar
Madonna,Open Your Heart,2024-10-27T23:45:59,2024-10-27T23:50:11,True,Veronica,Thijs Meeuwsen
