Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Lost Frequencies Ft. Elley Duhe & X Ambassadors,Back To You,2024-02-07T00:01:26,2024-02-07T00:04:26,False,Sky
The Beatles,Yesterday,2024-02-07T00:02:18,2024-02-07T00:04:20,False,2
EMPIRE OF THE SUN,Walking On A Dream,2024-02-07T00:02:30,2024-02-07T00:05:44,False,3
June Lodge & Mohammed,More Than I Can Say,2024-02-07T00:02:18,2024-02-07T00:05:40,False,5
Alok & Ava Max,Car Keys,2024-02-07T00:03:16,2024-02-07T00:06:16,False,Q
Sheppard,Coming Home,2024-02-07T00:03:28,2024-02-07T00:06:28,False,10
Jax Jones & Calum Scott,WHISTLE,2024-02-07T00:04:14,2024-02-07T00:07:14,False,538
Emeli Sande,Clown,2024-02-07T00:04:00,2024-02-07T00:07:00,True,Sky
Elvis Presley,Guitar Man,2024-02-07T00:04:19,2024-02-07T00:06:35,False,2
Ariana Grande,"yes, and?",2024-02-07T00:05:33,2024-02-07T00:09:04,True,3
Cliff Richard,The Day I Met Marie,2024-02-07T00:05:31,2024-02-07T00:07:45,False,5
Loreen,Is It Love,2024-02-07T00:05:41,2024-02-07T00:08:41,True,Q
Alanis Morissette,Thank U,2024-02-07T00:07:02,2024-02-07T00:10:02,True,10
Prince,The Cross,2024-02-07T00:06:36,2024-02-07T00:11:22,False,2
Noah Kahan,STICK SEASON,2024-02-07T00:07:08,2024-02-07T00:10:08,False,538
Adele,When We Were Young,2024-02-07T00:07:30,2024-02-07T00:10:30,True,Sky
Andy Williams,(Where Do I Begin) Love Story,2024-02-07T00:08:08,2024-02-07T00:11:20,False,5
Snollebollekes,Links Rechts,2024-02-07T00:09:03,2024-02-07T00:12:03,False,Q
Beatles,Now And Then,2024-02-07T00:11:12,2024-02-07T00:15:15,False,5
Acda & De Munnik,HET REGENT ZONNESTRALEN,2024-02-07T00:10:47,2024-02-07T00:13:47,False,538
Buggles,Video Killed The Radio Star,2024-02-07T00:11:14,2024-02-07T00:14:14,False,10
Tracy Chapman,Talkin' Bout A Revolution,2024-02-07T00:11:29,2024-02-07T00:14:06,True,2
Nick Schilder,Realize,2024-02-07T00:11:43,2024-02-07T00:14:43,False,Q
Eric Carmen,Hungry Eyes,2024-02-07T00:12:10,2024-02-07T00:15:10,False,Sky
Owl City,Fireflies,2024-02-07T00:14:18,2024-02-07T00:17:18,False,10
Bankzitters,Stapelgek,2024-02-07T00:14:06,2024-02-07T00:17:01,False,2
Tiesto & Fast Boy,ALL MY LIFE,2024-02-07T00:14:35,2024-02-07T00:17:35,False,538
Jaap Reesema & Pommelien Thijs,Nu Wij Niet Meer Praten,2024-02-07T00:14:37,2024-02-07T00:17:37,False,Q
John Denver,Annie's Song,2024-02-07T00:15:15,2024-02-07T00:18:16,False,5
Luke Combs,Fast Car,2024-02-07T00:15:58,2024-02-07T00:18:58,False,Sky
The Black Keys,Beautiful People (Stay High),2024-02-07T00:15:58,2024-02-07T00:18:45,False,3
Chris Rea,Josephine,2024-02-07T00:17:59,2024-02-07T00:20:59,False,10
Steve Harley & Cockney Rebel,Make Me Smile (Come Up And See Me),2024-02-07T00:16:57,2024-02-07T00:20:55,False,2
Racoon,Hee Joh Jip,2024-02-07T00:18:07,2024-02-07T00:21:07,False,5
