Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
DI-RECT,Times Are Changing,2024-10-20T11:15:52,2024-10-20T11:19:18,onbekend,3,Rámon Verkoeijen
Rosa Linn,SNAP,2024-10-20T12:52:27,2024-10-20T12:55:27,True,Sky,Non Stop
Blondie,Heart Of Glass,2024-10-20T12:52:55,2024-10-20T12:55:55,False,10,Jan-Paul Grootentraast
Janis Ian,At Seventeen,2024-10-20T13:10:56,2024-10-20T13:14:52,True,5,Adres Onbekend
Toto,AFRICA,2024-10-20T13:13:17,2024-10-20T13:16:17,False,538,Jordi Warners
Faithless,We Come 1,2024-10-20T13:18:02,2024-10-20T13:21:46,False,Veronica,WeekendRick
Peter Fox,Haus Am See,2024-10-20T13:19:23,2024-10-20T13:23:01,False,2,Het Platenpaleis
Kensington,Sorry,2024-10-20T13:17:24,2024-10-20T13:21:08,False,3,Mark en Mai
David Guetta & Sam Martin,Dangerous,2024-10-20T13:19:16,2024-10-20T13:22:16,False,Q,Tom & Bram
Chef`Special,Miracles,2024-10-20T14:51:20,2024-10-20T14:54:20,False,Sky,Weekend Hits
Tim Finn,Fraction Too Much Friction,2024-10-20T14:51:38,2024-10-20T14:54:38,False,10,Jan-Paul Grootentraast
Beatles,Lucy In The Sky With Diamonds,2024-10-20T15:16:44,2024-10-20T15:20:12,False,5,Magical Mystery Tour
Des'Ree,LIFE,2024-10-20T15:14:33,2024-10-20T15:17:33,onbekend,538,Martijn La Grouw
Alanis Morissette,Ironic,2024-10-20T15:22:05,2024-10-20T15:25:51,True,Veronica,WeekendRick
Squeeze,Tempted,2024-10-20T15:23:41,2024-10-20T15:27:39,False,2,Evelien
Robbie Williams,Something Beautiful,2024-10-20T15:26:10,2024-10-20T15:30:57,False,3,Mark en Mai
Nothing But Thieves,Overcome,2024-10-20T15:30:17,2024-10-20T15:33:17,False,Q,Vincent Pronk
Coldplay,Viva La Vida,2024-10-20T16:52:02,2024-10-20T16:55:02,False,Sky,Feel Good Afternoon
Davina Michelle,Duurt Te Lang,2024-10-20T16:51:50,2024-10-20T16:54:50,True,10,Dennis Verheugd
The Verve,BITTER SWEET SYMPHONY,2024-10-20T17:15:58,2024-10-20T17:18:58,False,538,Martijn La Grouw
Specials,Stereotype,2024-10-20T17:22:21,2024-10-20T17:26:14,False,5,Theater van het Sentiment
Scissor Sisters,I Don't Feel Like Dancin',2024-10-20T17:26:09,2024-10-20T17:30:17,False,Veronica,Niek van der Bruggen
Maggie Rogers,In The Living Room,2024-10-20T17:26:07,2024-10-20T17:30:35,True,2,Martine In De Middag
Gorillaz,Clint Eastwood,2024-10-20T17:32:38,2024-10-20T17:36:21,False,3,Yoeri Leeflang
Myles Smith,Wait For You,2024-10-20T17:33:51,2024-10-20T17:36:51,onbekend,Q,Vincent Pronk
Supertramp,The Logical Song,2024-10-20T18:49:45,2024-10-20T18:52:45,False,10,Jules van Hest
Myles Smith,Wait For You,2024-10-20T18:49:33,2024-10-20T18:52:33,onbekend,Sky,Feel Good Afternoon
Douwe Bob,I BELIEVE,2024-10-20T19:14:58,2024-10-20T19:17:58,False,538,Julia van Reyendam
Credosingers Rotterdam olv Jan Stolk,Wat de toekomst brengen moge,2024-10-20T19:25:16,2024-10-20T19:30:25,onbekend,5,De Muzikale Fruitmand
Cher,Believe,2024-10-20T19:32:12,2024-10-20T19:36:10,True,Veronica,De Platenzaak
Inspiral Carpets,This Is How It Feels To Be Lonely,2024-10-20T19:31:33,2024-10-20T19:34:42,onbekend,2,Blokhuis
Beyonce & Jay-Z,Crazy In Love,2024-10-20T19:35:36,2024-10-20T19:38:36,True,Q,Joey van der Velden
Gigi Perez,Sailor Song,2024-10-20T19:36:27,2024-10-20T19:39:56,onbekend,3,Vera on Track
Train,50 Ways To Say Goodbye,2024-10-20T20:49:47,2024-10-20T20:52:47,False,Sky,Feel Good Evening
Tom Jones,It's Not Unusual,2024-10-20T20:52:27,2024-10-20T20:55:27,False,10,Jules van Hest
Swedish House Mafia Ft. Alicia Keys,FINALLY,2024-10-20T21:18:15,2024-10-20T21:21:15,onbekend,538,Floris Molenaar
ABBA,Hole in your soul,2024-10-20T21:32:03,2024-10-20T21:35:44,True,2,De Albumshow
Sheryl Crow,All I Wanna Do,2024-10-20T21:36:16,2024-10-20T21:40:47,True,Veronica,Thijs Meeuwsen
Beyoncé,Texas Hold 'Em ,2024-10-20T21:38:46,2024-10-20T21:41:46,True,Q,Cain Slobbe
Luwten,Go Honey (Live @ Maassilo),2024-10-20T21:39:08,2024-10-20T21:42:34,onbekend,3,Vera on Track
Ilse DeLange,Stranger I Once Knew,2024-10-20T21:39:02,2024-10-20T21:42:25,True,5,Volgspot
Ub 40,Sing Our Own Song,2024-10-20T22:50:27,2024-10-20T22:53:27,False,Sky,Lovesongs
Simply Red,Money's Too Tight To Mention,2024-10-20T22:50:19,2024-10-20T22:53:19,False,10,Top 4000 Classics
Teddy Swims,BAD DREAMS,2024-10-20T23:19:54,2024-10-20T23:22:54,False,538,Floris Molenaar
Bryan Adams & Melanie C,When You're Gone,2024-10-20T23:40:47,2024-10-20T23:43:47,False,Q,Cain Slobbe
Madonna,Into The Groove,2024-10-20T23:42:20,2024-10-20T23:47:02,True,Veronica,Thijs Meeuwsen
Bnnyhunna,Calm Waters,2024-10-20T23:37:43,2024-10-20T23:42:38,onbekend,3,Wat Anders
Anita Meyer,The one that you love,2024-10-20T23:41:21,2024-10-20T23:44:52,True,5,- 06:00 Muzieknacht
