Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Shawn Mendes,There's Nothing Holdin' Me Back,2024-10-20T04:57:32,2024-10-20T05:00:32,False,Sky,Nonstop Music Morning Show
Mr. Big,To Be With You,2024-10-20T04:56:42,2024-10-20T04:59:42,False,10,Het Weekend van 10 Non-Stop
Supertramp,Logical Song,2024-10-20T05:00:00,2024-10-20T05:03:45,False,Veronica,Oh Wat Een Nacht
Whistle,Just Buggin',2024-10-20T04:57:10,2024-10-20T05:00:40,False,2,Soul Night Dossier
Maroon 5 & Christina Aguilera,Moves Like Jagger,2024-10-20T04:57:53,2024-10-20T05:01:15,False,3,Sebastiaan Ockhuysen
Teddy Swims,THE DOOR,2024-10-20T05:03:31,2024-10-20T05:06:31,False,538,53N8 Non-Stop
Tate Mcrae,Greedy,2024-10-20T05:03:20,2024-10-20T05:06:20,True,Q,Qmusic
Studio,STUDIO R51 (na CPR-nieuws),2024-10-20T06:02:09,2024-10-20T07:02:09,onbekend,5,Groot Nieuws
Snow Patrol,Shut Your Eyes,2024-10-20T06:49:44,2024-10-20T06:52:44,False,10,Silvan Stoet
Dua Lipa,Houdini,2024-10-20T06:52:14,2024-10-20T06:55:14,True,Sky,Nonstop Music Morning Show
Shapeshifters,Lola's Theme,2024-10-20T07:04:21,2024-10-20T07:07:48,False,Veronica,Ferry Oomen
Red Box,For America,2024-10-20T07:05:33,2024-10-20T07:09:16,False,2,Vroeg Pieken
Passenger,Let Her Go,2024-10-20T07:05:29,2024-10-20T07:09:37,False,3,Mart Meijer
Noah Kahan,STICK SEASON,2024-10-20T07:04:26,2024-10-20T07:07:26,False,538,Julia van Reyendam
Charles & Eddie,Would I Lie To You,2024-10-20T07:07:05,2024-10-20T07:10:05,False,Q,Jorien Renkema
The Bangles,Eternal Flame,2024-10-20T08:51:57,2024-10-20T08:54:57,True,10,Silvan Stoet
Adele,Chasing Pavements,2024-10-20T08:51:11,2024-10-20T08:54:11,True,Sky,Nonstop Music Morning Show
Julie London,Misty,2024-10-20T09:03:55,2024-10-20T09:07:06,onbekend,5,De Sandwich
Janet Jackson,What Have You Done For Me Lately,2024-10-20T09:08:09,2024-10-20T09:11:41,True,Veronica,Ferry Oomen
Post Malone Ft. Morgan Wallen,I HAD SOME HELP,2024-10-20T09:08:45,2024-10-20T09:11:45,onbekend,538,Het Beste Van Evers & Co
Fontaines D.C.,In The Modern World,2024-10-20T09:10:17,2024-10-20T09:14:47,False,3,Mart Meijer
Robert Van Hemert,"Zoet, Zout, Zuur",2024-10-20T09:12:03,2024-10-20T09:15:03,False,Q,Vincent Pronk
The Weeknd,Dancing In The Flames,2024-10-20T09:11:39,2024-10-20T09:15:24,False,2,Vroeg Pieken
Adele,Someone Like You,2024-10-20T10:47:43,2024-10-20T10:50:43,True,Sky,Non Stop
Cyril,Stumblin' In,2024-10-20T10:50:57,2024-10-20T10:53:57,False,10,Robert Feller
Harry Chapin,Sunday morning sunshine,2024-10-20T11:04:01,2024-10-20T11:07:45,False,5,De Sandwich
Queen,I Want To Break Free,2024-10-20T11:12:13,2024-10-20T11:16:30,False,Veronica,Verschuurens Goud van Oud
Ellie Goulding,BURN,2024-10-20T11:12:11,2024-10-20T11:15:11,True,538,Het Beste Van Evers & Co
Lady Gaga & Bruno Mars,Die With A Smile,2024-10-20T11:14:01,2024-10-20T11:18:08,onbekend,2,Rinkeldekinkel
Ofenbach & Norma Jean Martine,Overdrive,2024-10-20T11:13:51,2024-10-20T11:16:51,False,Q,Vincent Pronk
