Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
OneRepublic,Sunshine,2024-10-22T06:00:00,2024-10-22T06:02:43,False,Veronica,Ekdom in de Morgen
Phats & Small,TURN AROUND,2024-10-22T05:55:31,2024-10-22T05:58:31,True,538,De 538 Ochtendshow
Bastille,Things We Lost,2024-10-22T05:57:02,2024-10-22T06:00:02,False,Sky,Nonstop Music Morning Show
Bruno Mars,Marry You,2024-10-22T05:55:18,2024-10-22T05:58:18,False,10,Ochtendshow
The Kinks,Autumn Almanac,2024-10-22T06:03:28,2024-10-22T06:06:37,False,5,Goeiedag Haandrikman
Dua Lipa,Be The One,2024-10-22T06:03:47,2024-10-22T06:06:47,True,Q,Mattie & Marieke
Skee Lo,I Wish,2024-10-22T06:06:35,2024-10-22T06:10:42,False,2,Jan-Willem Start Op
Kris Kross Amsterdam & Sera & Conor Maynard,STAY (NEVER LEAVE),2024-10-22T07:52:49,2024-10-22T07:55:49,False,538,De 538 Ochtendshow
Stevie Wonder,Superstition,2024-10-22T07:49:39,2024-10-22T07:52:39,False,10,Ochtendshow
Kygo Ft Selena Gomez,It Ain't Me,2024-10-22T07:49:03,2024-10-22T07:52:03,False,Sky,Nonstop Music Morning Show
Bill Withers,Lovely Day,2024-10-22T08:03:42,2024-10-22T08:07:08,False,Veronica,Ekdom in de Morgen
Gladys Knight & The Pips,Midnight Train To Georgia,2024-10-22T08:06:43,2024-10-22T08:10:39,True,5,Goeiedag Haandrikman
Christina Aguilera & Missy Elliott,Car Wash,2024-10-22T08:14:29,2024-10-22T08:17:29,onbekend,Q,Mattie & Marieke
Lady Gaga & Bruno Mars,Die With A Smile,2024-10-22T08:19:57,2024-10-22T08:24:12,onbekend,2,Jan-Willem Start Op
Jason Mraz,I'm Yours,2024-10-22T09:47:54,2024-10-22T09:50:54,False,Sky,Nonstop @Work
George Mccrae,Rock Your Baby,2024-10-22T09:48:29,2024-10-22T09:51:29,False,10,Ochtendshow
Di-Rect,OMG IT'S HAPPENING,2024-10-22T09:51:07,2024-10-22T09:54:07,False,538,De 538 Ochtendshow
Joe Cocker,Unchain My Heart,2024-10-22T10:08:10,2024-10-22T10:12:33,False,Veronica,Goud van Oud
Alan Parsons Project,The Turn Of A Friendly Card,2024-10-22T10:10:10,2024-10-22T10:12:41,False,5,Arbeidsvitaminen
Ronan Keating,If Tomorrow Never Comes,2024-10-22T10:18:47,2024-10-22T10:21:47,False,Q,Het Foute Uur
Faithless,We Come 1,2024-10-22T10:28:15,2024-10-22T10:31:58,False,2,Aan de Slag
Emeli Sande,Read All About It Part III,2024-10-22T11:48:51,2024-10-22T11:51:51,True,Sky,Nonstop @Work
Spin Doctors,Two Princess,2024-10-22T11:48:55,2024-10-22T11:51:55,False,10,Jan-Paul Grootentraast
Eiffel 65,BLUE (DA BA DEE),2024-10-22T11:49:36,2024-10-22T11:52:36,False,538,Greatest Hits
Imagine Dragons,Believer,2024-10-22T12:12:36,2024-10-22T12:15:58,False,Veronica,Sander Hoogendoorn
Simplisties Verbond,Zoek Jezelf,2024-10-22T12:17:03,2024-10-22T12:20:27,False,5,Lunch Lekker
Kris Kross Amsterdam & Antoon & Zoë Tauran,Vleugels,2024-10-22T12:21:45,2024-10-22T12:24:45,onbekend,Q,Menno Barreveld
Skik,Hoe Kan Dat Nou,2024-10-22T12:33:04,2024-10-22T12:37:07,False,2,Annemiekes A-Lunch
Lasgo,SOMETHING,2024-10-22T13:51:13,2024-10-22T13:54:13,False,538,Lindo Duvall
Rita Ora,Let You Love Me,2024-10-22T13:48:34,2024-10-22T13:51:34,True,Sky,Non Stop
Mel & Kim,Showing Out (Get Fresh At The Weekend),2024-10-22T13:50:31,2024-10-22T13:53:31,False,10,Jeroen Nieuwenhuize
Donna Summer,I Feel Love,2024-10-22T14:17:03,2024-10-22T14:20:49,True,Veronica,De Bonanza
Het Goede Doel,Luxemburg,2024-10-22T14:20:48,2024-10-22T14:26:02,False,5,Open Huis
Nathan Dawe & Joel Corry & Ella Henderson,0800 Heaven,2024-10-22T14:32:47,2024-10-22T14:35:47,False,Q,Bas van Nimwegen
Kate Bush,Running Up That Hill,2024-10-22T14:35:56,2024-10-22T14:40:46,True,2,Paul
Anastacia,I'm Outta Love,2024-10-22T15:47:56,2024-10-22T15:50:56,True,Sky,Non Stop
The Bangles,Walk Like An Egyptian,2024-10-22T15:49:51,2024-10-22T15:52:51,True,10,Edwin Diergaarde
DI-RECT,Times Are Changing,2024-10-22T15:50:54,2024-10-22T15:54:20,onbekend,3,Mart Meijer
Purple Disco Machine & The Magician,ALL MY LIFE,2024-10-22T15:49:25,2024-10-22T15:52:25,onbekend,538,Mark Labrand
Herman Brood & His Wild Romance,Never Be Clever,2024-10-22T16:21:13,2024-10-22T16:24:14,False,Veronica,Wout & Frank
Herman's Hermits,I'm into something good,2024-10-22T16:27:02,2024-10-22T16:29:33,False,5,BertOp5
Clean Bandit & Anne-Marie,Cry Baby,2024-10-22T16:35:53,2024-10-22T16:38:53,onbekend,Q,Domien Verschuuren
Martin Garrix ft. Carolina Liar,Smile,2024-10-22T16:47:01,2024-10-22T16:50:14,onbekend,2,De Wild in de Middag
Bruno Mars,Grenade,2024-10-22T17:48:26,2024-10-22T17:51:26,False,Sky,Feel Good Afternoon
Oleta Adams,Window Of Hope,2024-10-22T17:52:05,2024-10-22T17:55:05,True,10,Gijs Op 10
Alphabeat,Fascination,2024-10-22T17:54:19,2024-10-22T17:57:22,False,3,Barend & Benner
Disturbed,THE SOUND OF SILENCE (CYRIL REMIX),2024-10-22T18:08:48,2024-10-22T18:11:48,onbekend,538,De 538 Middagshow
Vanilla Ice,Ice Ice Baby,2024-10-22T18:24:49,2024-10-22T18:29:17,False,Veronica,Wout & Frank
Miriam Makeba,Pata Pata,2024-10-22T18:31:07,2024-10-22T18:34:07,True,5,De Avondstart
Milk Inc,Walk On Water,2024-10-22T18:39:09,2024-10-22T18:42:09,True,Q,Domien Verschuuren
Fleetwood Mac,Dreams,2024-10-22T18:46:48,2024-10-22T18:51:01,False,2,Het Oor Wil Ook Wat
Lady Antebellum,Need You Now,2024-10-22T19:48:58,2024-10-22T19:51:58,False,Sky,Feel Good Evening
Beach Boys,God Only Knows,2024-10-22T19:51:36,2024-10-22T19:54:36,False,10,Edwin Ouwehand
The Black Eyed Peas,Let's Get It Started,2024-10-22T19:54:26,2024-10-22T19:58:10,False,3,Mark van der Molen
Martin Garrix Ft. Carolina Liar,SMILE,2024-10-22T20:09:26,2024-10-22T20:12:26,onbekend,538,Martijn La Grouw
Bow Wow Wow,Do You Wanna Hold Me,2024-10-22T20:30:52,2024-10-22T20:34:02,False,Veronica,Martijn Muijs
Alison Moyet,Love Resurrection,2024-10-22T20:34:14,2024-10-22T20:38:06,True,5,De Avond Van 5
Lauren Spencer-Smith,Fingers Crossed,2024-10-22T20:41:43,2024-10-22T20:44:43,True,Q,Joost Swinkels
Alex Warren,Before You Leave Me,2024-10-22T20:49:51,2024-10-22T20:52:44,onbekend,2,Hallo Met Daniël
Teddy Swims,The Door,2024-10-22T21:50:38,2024-10-22T21:53:38,False,Sky,Feel Good Evening
Fleetwood Mac,Go Your Own Way,2024-10-22T21:50:18,2024-10-22T21:53:18,False,10,Laat Verkerk
Deadmau5,I Remember,2024-10-22T22:05:59,2024-10-22T22:09:18,False,3,VoorAan
Nick Schilder,RUN,2024-10-22T22:13:19,2024-10-22T22:16:19,False,538,Bas & Dylan
Bon Jovi,Bed Of Roses,2024-10-22T22:34:56,2024-10-22T22:39:59,False,Veronica,Frank Tot Laat
Albert Hammond,I'm A Train,2024-10-22T22:36:29,2024-10-22T22:39:44,False,5,De Avond Van 5
Alesso & Nate Smith,I Like It,2024-10-22T22:46:02,2024-10-22T22:49:02,onbekend,Q,Lars Boele
BLØF,Horizon,2024-10-22T22:51:53,2024-10-22T22:55:23,False,2,Dees Moet Je Horen
Katy Perry Featuring Snoop Dog,California Gurls,2024-10-22T23:50:10,2024-10-22T23:53:10,True,10,Laat Verkerk
Charlie Puth Ft Meghan Trainor,Marvin Gaye,2024-10-22T23:51:13,2024-10-22T23:54:13,False,Sky,Lovesongs
