Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Beatles,Ticket To Ride,2024-10-18T06:00:00,2024-10-18T06:03:09,False,Veronica,Ekdom in de Morgen
Pat Benatar,Love Is A Battlefield,2024-10-18T05:56:30,2024-10-18T06:00:40,True,5,Goeiedag Haandrikman - 1000e Uitzending
David Guetta & Alesso Ft. Madison Love,NEVER GOING HOME TONIGHT,2024-10-18T05:55:33,2024-10-18T05:58:33,onbekend,538,De 538 Ochtendshow
Melee,Built To Last,2024-10-18T05:57:51,2024-10-18T06:00:51,False,Sky,Nonstop Music Morning Show
Bob Marley & The Wailers,Three Little Birds,2024-10-18T05:56:05,2024-10-18T05:59:05,False,10,Ochtendshow
Katy Perry,I Kissed A Girl,2024-10-18T06:02:23,2024-10-18T06:05:23,True,Q,Mattie & Marieke
Myles Smith,Stargazing,2024-10-18T06:06:07,2024-10-18T06:08:54,onbekend,3,Wijnand In De Ochtend
King,Love And Pride,2024-10-18T06:07:05,2024-10-18T06:10:26,False,2,Jan-Willem Start Op
Bryan Adams Feat. Melanie C,WHEN YOU'RE GONE,2024-10-18T07:51:57,2024-10-18T07:54:57,False,538,De 538 Ochtendshow
Van Dik Hout,Stil In Mij,2024-10-18T07:51:04,2024-10-18T07:54:04,False,10,Ochtendshow
Shaboozey,A Bar Song (Tipsy),2024-10-18T07:49:23,2024-10-18T07:52:23,onbekend,Sky,Nonstop Music Morning Show
Studio,STUDIO R51,2024-10-18T08:00:00,2024-10-18T09:00:00,onbekend,5,Goeiedag Haandrikman - 1000e Uitzending
John Cougar Mellencamp,R.O.C.K. In The U.S.A,2024-10-18T08:05:05,2024-10-18T08:07:53,False,Veronica,Ekdom in de Morgen
Calvin Harris & Dua Lipa,One Kiss,2024-10-18T08:03:25,2024-10-18T08:06:25,False,Q,Mattie & Marieke
Rihanna,S.O.S.,2024-10-18T08:06:43,2024-10-18T08:10:41,True,3,Wijnand In De Ochtend
Whigfield,Saturday Night,2024-10-18T08:10:45,2024-10-18T08:14:26,True,2,Jan-Willem Start Op
Roxette,Listen To Your Heart,2024-10-18T09:50:45,2024-10-18T09:53:45,True,Sky,Nonstop @Work
Robbie Williams,Angels,2024-10-18T09:50:28,2024-10-18T09:53:28,False,10,Ochtendshow
Martin Garrix Ft. Carolina Liar,SMILE,2024-10-18T09:52:27,2024-10-18T09:55:27,onbekend,538,De 538 Ochtendshow
Bloem,Even Aan Mijn Moeder Vragen,2024-10-18T10:03:39,2024-10-18T10:06:39,False,Q,Het Foute Uur
Peter Schilling,Major Tom,2024-10-18T10:09:08,2024-10-18T10:13:06,False,Veronica,Goud van Oud
Eiffel 65,#118: Blue (Da Ba Dee),2024-10-18T10:09:19,2024-10-18T10:12:57,False,3,Dance Top 133
Daft Punk ft. Pharrell & Nile Rodgers,Get Lucky,2024-10-18T10:12:27,2024-10-18T10:16:34,False,2,Aan de Slag
The Turtles,Happy Together,2024-10-18T11:02:45,2024-10-18T11:05:39,False,5,Arbeidsvitaminen
Alessia Cara,Scars To Your Beautiful,2024-10-18T11:51:10,2024-10-18T11:54:10,True,Sky,Nonstop @Work
Vanessa Paradis,Be My Baby,2024-10-18T11:51:57,2024-10-18T11:54:57,True,10,Robert Feller
Dario G,SUNCHYME,2024-10-18T11:51:28,2024-10-18T11:54:28,False,538,Greatest Hits
Teddy Swims,The Door,2024-10-18T12:06:14,2024-10-18T12:09:14,False,Q,Bas van Nimwegen
Rozalla,#91: Everybody's Free,2024-10-18T12:10:23,2024-10-18T12:13:57,True,3,Dance Top 133
Fine Young Cannibals,She Drives Me Crazy,2024-10-18T12:14:27,2024-10-18T12:18:02,False,Veronica,Sander Hoogendoorn
The Rolling Stones,Jumping Jack Flash,2024-10-18T12:18:08,2024-10-18T12:21:44,False,2,Annemiekes A-Lunch
The Four Tops,Standing In The Shadows Of Love,2024-10-18T13:07:43,2024-10-18T13:10:19,False,5,Lunch Lekker
Kygo & Imagine Dragons,STARS WILL ALIGN,2024-10-18T13:49:08,2024-10-18T13:52:08,False,538,Mark Labrand
Mark Ambor,Good To Be,2024-10-18T13:52:16,2024-10-18T13:55:16,False,Sky,Non Stop
Clean Bandit Ft. Jess Glynne,Rather Be,2024-10-18T13:51:35,2024-10-18T13:54:35,onbekend,10,Jeroen Nieuwenhuize
Kygo & Imagine Dragons,Stars Will Align,2024-10-18T14:10:22,2024-10-18T14:13:22,False,Q,Top 40
Jax Jones ft. Raye,#62: You Don't Know Me,2024-10-18T14:12:47,2024-10-18T14:16:18,False,3,Dance Top 133
Redbone,Come And Get Your Love,2024-10-18T14:18:31,2024-10-18T14:22:05,False,Veronica,Stenders & Ekdom
Florence + The Machine,Ship To Wreck,2024-10-18T14:19:50,2024-10-18T14:23:42,False,2,Evelien
Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life,2024-10-18T15:08:00,2024-10-18T15:12:48,False,5,Magical Mystery Tour
Berlin,TAKE MY BREATH AWAY,2024-10-18T15:51:43,2024-10-18T15:54:43,False,538,Evers & Co
London Beat,I've Been Thinking About You,2024-10-18T15:50:17,2024-10-18T15:53:17,False,10,Dennis Verheugd
Ronde,Break My Heart,2024-10-18T15:51:22,2024-10-18T15:54:22,False,Sky,Non Stop
Roxy Dekker,Industry Plant,2024-10-18T16:12:20,2024-10-18T16:15:20,True,Q,Top 40
Zombie Nation,#35: Kernkraft 400,2024-10-18T16:17:15,2024-10-18T16:20:42,False,3,Dance Top 133
Billie Eilish,Birds Of A Feather,2024-10-18T16:22:34,2024-10-18T16:26:04,True,Veronica,Wout & Frank
Fischer Z,So Long,2024-10-18T16:24:21,2024-10-18T16:27:56,False,2,Keur In De Middag
Buffoons,Arizona,2024-10-18T17:12:51,2024-10-18T17:16:12,False,5,De Weekendborrel
Pink,Just Like A Pill,2024-10-18T17:51:56,2024-10-18T17:54:56,True,10,Gijs Op 10
Anita Meyer,Why Tell Me Why,2024-10-18T17:50:12,2024-10-18T17:53:12,True,Sky,Feel Good Afternoon
"Coldplay, Zerb",feelslikeimfallinginlove - Zerb x Coldplay,2024-10-18T17:41:59,2024-10-18T17:44:59,onbekend,538,Evers & Co
Donnie & Rene Froger,Bon Gepakt,2024-10-18T18:15:04,2024-10-18T18:18:04,onbekend,Q,Het Foute Uur
Malugi / Narciss,Do It For You,2024-10-18T18:24:26,2024-10-18T18:27:05,onbekend,3,Dance Top 133
Shirts,Tell Me Your Plans,2024-10-18T18:26:38,2024-10-18T18:29:41,False,Veronica,PUP 40
Natalie Imbruglia,Torn,2024-10-18T18:27:31,2024-10-18T18:31:35,True,2,Rinkeldekinkel
Four Tops,Reach Out I'll Be There,2024-10-18T19:15:32,2024-10-18T19:18:26,False,5,Top 40 Hitdossier
Karol G,SI ANTES TE HUBIERA CONOCIDO,2024-10-18T19:39:35,2024-10-18T19:42:35,True,538,Bas & Dylan
Bruce Springsteen,I'm On Fire,2024-10-18T19:51:24,2024-10-18T19:54:24,False,Sky,Feel Good Evening
Michael Jackson,Bad,2024-10-18T19:51:46,2024-10-18T19:54:46,False,10,Jules van Hest
Clean Bandit & Anne-Marie,Cry Baby,2024-10-18T20:19:51,2024-10-18T20:22:51,onbekend,Q,Tom & Bram
Queen,Fat Bottomed Girls,2024-10-18T20:30:57,2024-10-18T20:34:16,False,Veronica,PUP 40
Gala,Freed From Desire,2024-10-18T20:29:39,2024-10-18T20:33:08,True,3,3FM x ADE
Rui Da Silva & Cassandra,Touch Me,2024-10-18T20:30:12,2024-10-18T20:33:38,onbekend,2,Het Platenpaleis
Joshua Aaron,Hineh ma tov (ps 133),2024-10-18T21:16:54,2024-10-18T21:20:51,onbekend,5,De Avond Van 5
Afrojack & Wrabel,TEN FEET TALL,2024-10-18T20:51:56,2024-10-18T20:54:56,False,538,Weekendmix
Eagles,Hotel California,2024-10-18T21:47:49,2024-10-18T21:50:49,False,Sky,Feel Good Evening
Stevie Wonder,Superstition,2024-10-18T21:49:51,2024-10-18T21:52:51,False,10,Top 4000 Classics
Cyril & Disturbed,Sound Of Silence,2024-10-18T22:31:05,2024-10-18T22:34:05,onbekend,Q,Joey van der Velden
Nothing But Thieves,Overcome,2024-10-18T22:35:01,2024-10-18T22:38:35,False,Veronica,Jannes Drop
"Marlon Hoffstadt, Blazey",My Mama Dropped Lsd In The 90'S,2024-10-18T23:05:18,2024-10-18T23:08:10,onbekend,3,3FM x ADE
John Mayer,Perfectly Lonely,2024-10-18T23:21:13,2024-10-18T23:25:40,False,5,- 06:00 Muzieknacht
Seal,Kiss From A Rose,2024-10-18T23:47:54,2024-10-18T23:50:54,False,Sky,Lovesongs
Cliff Richard,We Don't Talk Anymore,2024-10-18T23:51:54,2024-10-18T23:54:54,False,10,Top 4000 Classics
Kane Gang,Closest Thing To Heaven,2024-10-19T00:41:27,2024-10-19T00:45:25,False,Veronica,Oh Wat Een Nacht
