Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Alice Cooper,How You Gonna See Me Now,2024-02-08T23:58:17,2024-02-09T00:02:10,False,5
Miley Cyrus,Flowers,2024-02-09T00:00:53,2024-02-09T00:03:53,True,Sky
Katrina & The Waves,Walking On Sunshine,2024-02-09T00:01:32,2024-02-09T00:04:32,False,10
Stevie Wonder,Superstition,2024-02-09T00:02:25,2024-02-09T00:06:51,False,5
Steppenwolf,Born To Be Wild,2024-02-09T00:02:27,2024-02-09T00:05:57,False,2
Racoon,NICKEL FOR GOODBYE,2024-02-09T00:03:03,2024-02-09T00:06:03,False,538
Metro Boomin & The Weeknd & 21 Savage,Creepin',2024-02-09T00:03:19,2024-02-09T00:06:19,False,Q
Passenger,Holes,2024-02-09T00:04:05,2024-02-09T00:07:05,False,Sky
The Temper Trap,Sweet Disposition,2024-02-09T00:03:56,2024-02-09T00:07:46,False,3
Beyonce,Halo,2024-02-09T00:05:19,2024-02-09T00:08:19,True,10
Golden Earring,Another 45 Miles (Naked),2024-02-09T00:05:49,2024-02-09T00:09:31,False,2
Elvis Presley,In The Ghetto,2024-02-09T00:06:48,2024-02-09T00:09:34,False,5
Kris Kross Amsterdam & Sera & Conor Maynard,STAY (NEVER LEAVE),2024-02-09T00:06:42,2024-02-09T00:09:42,False,538
David Guetta & Kim Petras,When We Were Young (The Logical Song),2024-02-09T00:07:00,2024-02-09T00:10:00,False,Q
Post Malone,Chemical,2024-02-09T00:07:30,2024-02-09T00:10:30,False,Sky
Purple Disco Machine,Beat Of Your Heart,2024-02-09T00:07:45,2024-02-09T00:11:06,False,3
The Babys,Isn't It Time,2024-02-09T00:09:05,2024-02-09T00:12:05,False,10
Wet Wet Wet,Angel Eyes,2024-02-09T00:09:44,2024-02-09T00:14:15,False,5
Toto,AFRICA,2024-02-09T00:09:09,2024-02-09T00:12:09,False,538
Ed Sheeran,Galway Girl,2024-02-09T00:09:36,2024-02-09T00:12:22,False,2
Village People,Y.M.C.A.,2024-02-09T00:10:46,2024-02-09T00:13:46,False,Q
Lauren Daigle,You Say,2024-02-09T00:10:28,2024-02-09T00:13:28,True,Sky
Mark Morrison,Return Of The Mack,2024-02-09T00:12:34,2024-02-09T00:15:34,False,10
Cutting Crew,I Just Died In Your Arms Tonight,2024-02-09T00:12:28,2024-02-09T00:17:02,False,2
Tiesto & Fast Boy,ALL MY LIFE,2024-02-09T00:13:35,2024-02-09T00:16:35,False,538
Rod Stewart & Jools Holland,Almost Like Being In Love,2024-02-09T00:14:02,2024-02-09T00:16:41,False,5
Davina Michelle,17,2024-02-09T00:14:28,2024-02-09T00:17:28,True,Q
Bill Medley & Jennifer Warnes,The Time Of My Life,2024-02-09T00:14:53,2024-02-09T00:17:53,False,Sky
Ronde,Hard To Say Goodbye,2024-02-09T00:15:55,2024-02-09T00:18:55,True,10
Neil Young,After The Gold Rush,2024-02-09T00:16:43,2024-02-09T00:20:31,False,5
George Ezra,SHOTGUN,2024-02-09T00:15:54,2024-02-09T00:18:54,False,538
Nicky Jam & Enrique Iglesias,El Perdón,2024-02-09T00:17:09,2024-02-09T00:20:09,False,Q
Ronde,Love Myself,2024-02-09T00:16:55,2024-02-09T00:19:52,True,2
Joe Jackson,Is She Really Goin' Out With Him,2024-02-09T00:19:10,2024-02-09T00:22:10,False,10
Di-Rect,MY BLOOD,2024-02-09T00:19:10,2024-02-09T00:22:10,False,538
Noah Kahan,Stick Season,2024-02-09T00:19:28,2024-02-09T00:22:28,False,Sky
Vangelis,Conquest Of Paradise,2024-02-09T00:19:52,2024-02-09T00:24:37,False,2
Noah Kahan,Stick Season,2024-02-09T00:18:30,2024-02-09T00:21:29,False,3
Anna-Rose Clayton,Did U Notice Me?,2024-02-09T00:21:24,2024-02-09T00:24:02,True,3
Mr. Big,Wild World,2024-02-09T00:20:24,2024-02-09T00:23:50,False,5
Oscar And The Wolf,Angel Face,2024-02-09T00:21:41,2024-02-09T00:24:41,False,Q
"R3Hab, Inna & Sash!",ROCK MY BODY,2024-02-09T00:22:42,2024-02-09T00:25:42,False,538
Kygo Ft Miguel,Remind Me To Forget,2024-02-09T00:22:31,2024-02-09T00:25:31,False,Sky
Whitney Houston,I'm Every Woman,2024-02-09T00:23:29,2024-02-09T00:26:29,True,10
Stephanie Mills,Never Knew Love Like This Before,2024-02-09T00:23:47,2024-02-09T00:27:11,False,5
Herman Brood & His Wild Romance,Saturday Night,2024-02-09T00:24:33,2024-02-09T00:28:14,False,2
Sam Fender,Seventeen Going Under,2024-02-09T00:24:03,2024-02-09T00:27:57,False,3
Alice Deejay,Better Off Alone,2024-02-09T00:25:06,2024-02-09T00:28:06,False,Q
Teddy Swims,THE DOOR,2024-02-09T00:25:10,2024-02-09T00:28:10,False,538
Marc Cohen,Walking In Memphis,2024-02-09T00:26:02,2024-02-09T00:29:02,False,Sky
Train,Drive By,2024-02-09T00:26:56,2024-02-09T00:29:56,False,10
Eric Clapton,Cocaine,2024-02-09T00:27:24,2024-02-09T00:30:58,False,5
Lady Gaga,Bad Romance,2024-02-09T00:28:25,2024-02-09T00:32:24,True,2
Golden Earring,WHEN THE LADY SMILES,2024-02-09T00:28:48,2024-02-09T00:31:48,False,538
The Bleachers,Tiny Moves,2024-02-09T00:29:14,2024-02-09T00:33:02,False,3
Luke Combs,Fast Car,2024-02-09T00:29:24,2024-02-09T00:32:24,False,Q
Teddy Swims,Lose Control,2024-02-09T00:30:15,2024-02-09T00:33:15,False,Sky
Eric Carmen,Hungry Eyes,2024-02-09T00:30:13,2024-02-09T00:33:13,False,10
Creedence Clearwater Revival,Suzie Q (Albumversie),2024-02-09T00:32:15,2024-02-09T00:40:56,False,2
Albin Lee Meldau,When You're Here,2024-02-09T00:30:51,2024-02-09T00:33:51,False,5
Ariana Grande,"yes, and?",2024-02-09T00:32:59,2024-02-09T00:35:55,True,3
The Beach Boys,Good Vibrations,2024-02-09T00:33:47,2024-02-09T00:37:24,False,5
David Guetta & Kim Petras,WHEN WE WERE YOUNG (THE LOGICAL SONG),2024-02-09T00:33:30,2024-02-09T00:36:30,False,538
Nico & Vinz,Am I Wrong,2024-02-09T00:33:51,2024-02-09T00:36:51,False,Q
Anastacia,I'm Outta Love,2024-02-09T00:33:49,2024-02-09T00:36:49,True,Sky
Modjo,Lady (Hear Me Tonight),2024-02-09T00:33:51,2024-02-09T00:36:51,False,10
Cian Ducrot,I'LL BE WAITING,2024-02-09T00:35:55,2024-02-09T00:38:55,False,538
Anita Meyer,The Alternative Way,2024-02-09T00:37:24,2024-02-09T00:41:12,True,5
Ofenbach Ft. Norma Jean Martine,Overdrive,2024-02-09T00:37:18,2024-02-09T00:40:18,False,Sky
America,A Horse With No Name,2024-02-09T00:37:26,2024-02-09T00:40:26,False,10
Purple Disco Machine & Asdis,BEAT OF YOUR HEART,2024-02-09T00:39:40,2024-02-09T00:42:40,False,538
Suzan & Freek & Claude,Vas-y (Ga Maar),2024-02-09T00:39:53,2024-02-09T00:42:53,False,Sky
Nina Simone,My Baby Just Cares For Me,2024-02-09T00:40:53,2024-02-09T00:44:27,True,2
Men At Work,Who Can It Be Now,2024-02-09T00:41:08,2024-02-09T00:44:31,False,5
Katy Perry,Last Friday Night (TGIF),2024-02-09T00:41:14,2024-02-09T00:44:14,True,10
Seal,CRAZY,2024-02-09T00:43:02,2024-02-09T00:46:02,False,538
Imagine Dragons,Whatever It Takes,2024-02-09T00:42:56,2024-02-09T00:45:56,False,Sky
Tiësto & Fast Boy,All My Life,2024-02-09T00:44:39,2024-02-09T00:47:39,False,Q
Cher,Love And Understanding,2024-02-09T00:44:59,2024-02-09T00:47:59,True,10
Chef'Special,Amigo,2024-02-09T00:44:30,2024-02-09T00:47:28,False,2
Robin Gibb,Saved By The Bell,2024-02-09T00:44:39,2024-02-09T00:47:44,False,5
Maneskin,HONEY (ARE U COMING?),2024-02-09T00:45:12,2024-02-09T00:47:57,False,3
Noah Kahan,STICK SEASON,2024-02-09T00:46:11,2024-02-09T00:49:11,False,538
Douwe Bob,This World Is Our Home,2024-02-09T00:46:13,2024-02-09T00:49:13,False,Sky
Bruce Springsteen,Dancing In The Dark,2024-02-09T00:47:07,2024-02-09T00:50:07,False,Q
The Fray,How To Save A Life,2024-02-09T00:47:26,2024-02-09T00:51:49,False,2
Justice Ft. Tame Impala,One Night All Night,2024-02-09T00:48:06,2024-02-09T00:51:08,False,3
Simply Red,For Your Babies,2024-02-09T00:47:37,2024-02-09T00:51:53,False,5
Becky Hill Ft David Guetta,Remember,2024-02-09T00:49:05,2024-02-09T00:52:05,False,Sky
Paula Abdul,Straight Up,2024-02-09T00:48:36,2024-02-09T00:51:36,True,10
Blanks,What You Got (Ayo),2024-02-09T00:51:02,2024-02-09T00:54:11,False,3
Tiesto,TRAFFIC,2024-02-09T00:50:40,2024-02-09T00:53:40,False,538
P!Nk,All Out Of Fight,2024-02-09T00:50:38,2024-02-09T00:53:38,False,Q
