Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Jim Reeves,He'll Have To Go,2024-02-19T23:58:48,2024-02-20T00:01:06,False,5
Wildstylez & Niels Geusebroek,Year Of Summer,2024-02-20T00:01:48,2024-02-20T00:04:48,False,Q
Prince,Kiss,2024-02-20T00:02:32,2024-02-20T00:05:32,False,10
Dire Straits,Brothers In Arms,2024-02-20T00:02:21,2024-02-20T00:07:16,False,2
The Supremes,You Keep Me Hanging On,2024-02-20T00:02:35,2024-02-20T00:05:13,False,5
U2 & Mary J Blige,One,2024-02-20T00:02:54,2024-02-20T00:05:54,False,Sky
Goldband,Ja Ja Nee Nee,2024-02-20T00:02:37,2024-02-20T00:06:17,False,3
Monkees,Daydream Believer,2024-02-20T00:05:09,2024-02-20T00:07:56,False,5
Dimitri Vegas & Like Mike X David Guetta X Afro Bros & Akon,SHE KNOWS,2024-02-20T00:04:38,2024-02-20T00:07:38,False,538
Maan & Goldband,Stiekem,2024-02-20T00:04:33,2024-02-20T00:07:33,True,Q
Racoon,Nickel For Goodbye,2024-02-20T00:06:40,2024-02-20T00:09:40,False,Sky
Keane,Bend And Break,2024-02-20T00:06:09,2024-02-20T00:09:09,False,10
BEYONCE,TEXAS HOLD 'EM,2024-02-20T00:06:16,2024-02-20T00:10:12,False,3
Chef'Special,SPEED OF LIGHT,2024-02-20T00:06:48,2024-02-20T00:09:48,False,538
John Mayer,In The Blood,2024-02-20T00:07:02,2024-02-20T00:11:04,False,2
Skeeter Davis,The End Of The World,2024-02-20T00:07:49,2024-02-20T00:10:24,False,5
David Guetta & Kim Petras,When We Were Young (The Logical Song),2024-02-20T00:07:59,2024-02-20T00:10:59,False,Q
Purple Disco Machine & Sophie And The Giants,Hypnotized,2024-02-20T00:10:23,2024-02-20T00:13:23,False,Sky
Luv',You're The Greatest Lover,2024-02-20T00:09:45,2024-02-20T00:12:45,True,10
The Moody Blues,Boulevard De La Madeleine,2024-02-20T00:10:38,2024-02-20T00:13:31,False,5
Chef'Special,Speed Of Light,2024-02-20T00:11:30,2024-02-20T00:14:30,False,Q
