Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Post Malone,CHEMICAL,2024-02-08T00:01:25,2024-02-08T00:04:25,False,538
Wham,The Edge Of Heaven,2024-02-08T00:01:01,2024-02-08T00:04:01,False,10
Rob De Nijs,Zet Een Kaars Voor Je Raam Vannacht,2024-02-08T00:02:26,2024-02-08T00:05:50,False,5
Faithless,God Is A DJ,2024-02-08T00:02:28,2024-02-08T00:06:02,False,2
Racoon,Nickel For Goodbye,2024-02-08T00:03:28,2024-02-08T00:06:28,False,Sky
Young The Giant,My Body,2024-02-08T00:04:10,2024-02-08T00:08:14,False,3
Ofenbach,OVERDRIVE,2024-02-08T00:04:17,2024-02-08T00:07:17,False,538
Calvin Harris & Ellie Goulding,Miracle,2024-02-08T00:05:25,2024-02-08T00:08:25,False,Q
Kensington,War,2024-02-08T00:05:29,2024-02-08T00:08:29,False,10
Everly Brothers,Walk Right Back,2024-02-08T00:05:47,2024-02-08T00:08:04,False,5
Coldplay,Higher Power,2024-02-08T00:05:55,2024-02-08T00:09:24,False,2
The Script,RAIN,2024-02-08T00:07:20,2024-02-08T00:10:20,False,538
Sia,Never Give Up,2024-02-08T00:07:15,2024-02-08T00:10:15,True,Sky
Kool & The Gang,Ladies Night,2024-02-08T00:08:12,2024-02-08T00:11:46,False,5
Taylor Swift,Cruel Summer,2024-02-08T00:08:18,2024-02-08T00:11:18,True,Q
Supertramp,Breakfast In America,2024-02-08T00:08:27,2024-02-08T00:11:27,False,10
Zerb Ft. Sofiya Nzau,Mwaki,2024-02-08T00:08:14,2024-02-08T00:11:42,False,3
Ramses Shaffy,Laat Me,2024-02-08T00:09:28,2024-02-08T00:14:33,False,2
Davina Michelle,17,2024-02-08T00:10:56,2024-02-08T00:13:56,True,538
Nick Schilder,Realize,2024-02-08T00:10:46,2024-02-08T00:13:46,False,Sky
Tupac,Changes,2024-02-08T00:11:03,2024-02-08T00:14:03,False,10
Alain Clark,The Sun,2024-02-08T00:11:30,2024-02-08T00:14:54,False,5
Willem,S.O.S.,2024-02-08T00:12:41,2024-02-08T00:15:37,False,3
Normaal,Oerend Hard,2024-02-08T00:13:06,2024-02-08T00:16:06,False,Q
Christina Aguilera,Hurt,2024-02-08T00:13:47,2024-02-08T00:16:47,True,Sky
George Michael & Mary J Blige,AS,2024-02-08T00:13:35,2024-02-08T00:16:35,False,538
Golden Earring,Radar Love,2024-02-08T00:14:30,2024-02-08T00:19:36,False,2
Peter Skellern,You're A Lady,2024-02-08T00:14:55,2024-02-08T00:19:26,False,5
Robbie Williams,Rock DJ,2024-02-08T00:15:37,2024-02-08T00:18:37,False,10
Kenya Grace,Strangers,2024-02-08T00:15:51,2024-02-08T00:18:43,True,3
Alok & Bebe Rexha,DEEP IN YOUR LOVE,2024-02-08T00:16:49,2024-02-08T00:19:49,False,538
Teddy Swims,The Door,2024-02-08T00:16:58,2024-02-08T00:19:58,False,Q
Fleetwood Mac,Everywhere,2024-02-08T00:17:43,2024-02-08T00:20:43,False,Sky
Eros Ramazzotti,Piu Bella Cossa,2024-02-08T00:19:21,2024-02-08T00:23:49,False,5
Eurythmics,There Must Be An Angel (Playing With My Heart),2024-02-08T00:19:42,2024-02-08T00:22:42,False,10
Twenty One Pilots,Stressed Out,2024-02-08T00:19:32,2024-02-08T00:22:52,False,2
4 Non Blondes,WHAT'S UP?,2024-02-08T00:19:07,2024-02-08T00:22:07,True,538
Imagine Dragons,Follow You,2024-02-08T00:20:21,2024-02-08T00:23:21,False,Q
Dean Lewis,Trust Me Mate,2024-02-08T00:21:15,2024-02-08T00:24:15,False,Sky
Nothing But Thieves,Painkiller,2024-02-08T00:21:43,2024-02-08T00:24:08,False,3
"Marshmello, Pink & Sting",DREAMING,2024-02-08T00:23:13,2024-02-08T00:26:13,False,538
Roxy Dekker,Satisfyer,2024-02-08T00:23:14,2024-02-08T00:26:14,True,Q
Aerosmith,Crazy,2024-02-08T00:23:35,2024-02-08T00:26:35,False,10
Floor Jansen,Fire,2024-02-08T00:22:54,2024-02-08T00:26:19,False,2
Elton John & Dua Lipa,Cold Heart (PNAU Remix),2024-02-08T00:24:10,2024-02-08T00:27:10,False,Sky
Eurythmics,There Must Be An Angel (Playing With My Heart),2024-02-08T00:23:45,2024-02-08T00:27:44,False,5
Coldplay/Bts,My Universe,2024-02-08T00:24:14,2024-02-08T00:27:28,False,3
Onerepublic,SUNSHINE,2024-02-08T00:25:54,2024-02-08T00:28:54,False,538
Black Eyed Peas,I Gotta Feeling,2024-02-08T00:25:22,2024-02-08T00:28:22,False,Q
Donna Summer,Hot Stuff,2024-02-08T00:26:15,2024-02-08T00:30:01,True,2
Fun,Some Nights,2024-02-08T00:27:30,2024-02-08T00:30:30,False,Sky
Pete Philly & Perquisite,Mayhem Ft. Naaz,2024-02-08T00:28:04,2024-02-08T00:31:28,False,3
Marvin Gaye,What's Going On,2024-02-08T00:27:50,2024-02-08T00:31:38,False,5
Jackie Wilson,Reet Petite,2024-02-08T00:28:41,2024-02-08T00:31:41,False,10
Nothing But Thieves,Overcome,2024-02-08T00:30:05,2024-02-08T00:33:05,False,Q
Mr. Big,Wild World,2024-02-08T00:30:39,2024-02-08T00:33:39,False,Sky
Gotye ft. Kimbra,Somebody That I Used To Know,2024-02-08T00:30:07,2024-02-08T00:34:11,False,2
John Mayer,Heartbreak Warfare,2024-02-08T00:31:30,2024-02-08T00:34:30,False,10
Franz Ferdinand,NO YOU GIRLS,2024-02-08T00:31:29,2024-02-08T00:34:48,False,3
Dennis van Aarssen ft. Jeff Franzel,Waiting For Tonight,2024-02-08T00:31:35,2024-02-08T00:34:43,False,5
Shaggy & Mohombi & Faydee & Costi,I Need Your Love,2024-02-08T00:33:36,2024-02-08T00:36:36,False,Q
Davina Michelle,17,2024-02-08T00:34:09,2024-02-08T00:37:09,True,Sky
Acda & De Munnik,Het Regent Zonnestralen,2024-02-08T00:34:03,2024-02-08T00:37:50,False,2
Sonny & Cher,I Got You Babe,2024-02-08T00:34:33,2024-02-08T00:37:44,False,5
David Bowie & Mick Jagger,Dancing In The Street,2024-02-08T00:35:39,2024-02-08T00:38:39,False,10
