Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
U2,Angel Of Harlem,2024-02-05T00:01:57,2024-02-05T00:05:45,False,Veronica
Miley Cyrus,FLOWERS,2024-02-05T00:01:41,2024-02-05T00:04:41,True,538
Depeche Mode,Enjoy The Silence,2024-02-05T00:01:59,2024-02-05T00:04:59,False,10
Orchestral Manoeuvres In The Dark,Maid Of Orleans,2024-02-05T00:02:27,2024-02-05T00:06:02,False,5
Dua Lipa,Houdini,2024-02-05T00:04:04,2024-02-05T00:07:04,True,Q
Marshmello & Jonas Brothers,Leave Before You Love Me,2024-02-05T00:03:11,2024-02-05T00:06:11,False,Sky
Lucas & Steve Ft. Conor Byrne,WHAT WE KNOW,2024-02-05T00:04:46,2024-02-05T00:07:46,False,538
Omc,How Bizarre,2024-02-05T00:06:15,2024-02-05T00:09:59,False,Veronica
Deep Blue Something,Breakfast At Tiffany's,2024-02-05T00:07:04,2024-02-05T00:10:04,False,Q
Adele,Hometown Glory,2024-02-05T00:05:44,2024-02-05T00:08:44,True,Sky
Third World,Now That We Found Love,2024-02-05T00:05:59,2024-02-05T00:08:59,False,10
André Hazes,Mamma,2024-02-05T00:05:54,2024-02-05T00:09:54,False,5
Simply Red,SUNRISE,2024-02-05T00:07:27,2024-02-05T00:10:27,False,538
Post Malone,Enough Is Enough,2024-02-05T00:09:14,2024-02-05T00:12:14,False,Sky
Ed Sheeran,Thinking Out Loud,2024-02-05T00:09:44,2024-02-05T00:12:44,False,10
Nothing But Thieves,Impossible,2024-02-05T00:10:18,2024-02-05T00:14:25,False,Veronica
Chris Montez,Let's Dance,2024-02-05T00:10:05,2024-02-05T00:12:25,False,5
Son Mieux,TONIGHT,2024-02-05T00:10:46,2024-02-05T00:13:46,False,538
Script,No Good In Goodbye,2024-02-05T00:11:59,2024-02-05T00:14:59,False,Sky
Alain Clark,The Sun,2024-02-05T00:12:24,2024-02-05T00:15:48,False,5
Claude,Écoutez-Moi,2024-02-05T00:14:18,2024-02-05T00:17:18,False,Q
Kool & The Gang,Ladies Night,2024-02-05T00:14:28,2024-02-05T00:17:28,False,10
America,A Horse With No Name,2024-02-05T00:14:39,2024-02-05T00:18:49,False,Veronica
Avicii,WAKE ME UP,2024-02-05T00:15:14,2024-02-05T00:18:14,False,538
Eagles,Tequila Sunrise,2024-02-05T00:15:49,2024-02-05T00:18:41,False,5
Sam Cooke,Wonderful World,2024-02-05T00:15:56,2024-02-05T00:18:56,False,Sky
Sigala,Melody,2024-02-05T00:17:05,2024-02-05T00:20:05,False,Q
Acda & De Munnik,Morgen Wordt Fantastisch,2024-02-05T00:18:06,2024-02-05T00:21:06,False,Sky
Katy Perry,I Kissed A Girl,2024-02-05T00:17:45,2024-02-05T00:20:45,True,10
Ilse Delange,So Incredible,2024-02-05T00:18:58,2024-02-05T00:21:56,False,Veronica
John Mayer,Who Says,2024-02-05T00:18:36,2024-02-05T00:21:31,False,5
Dotan,LOUDER,2024-02-05T00:19:20,2024-02-05T00:22:20,False,538
Lilly Wood & The Prick,Prayer In C,2024-02-05T00:20:46,2024-02-05T00:23:46,True,Sky
George Michael,Careless Whisper,2024-02-05T00:20:47,2024-02-05T00:23:47,False,10
Ed Sheeran,OVERPASS GRAFFITI,2024-02-05T00:22:39,2024-02-05T00:25:39,False,538
Di-Rect,My Blood,2024-02-05T00:22:14,2024-02-05T00:25:14,False,Q
David Bowie,Ashes To Ashes,2024-02-05T00:23:15,2024-02-05T00:26:50,False,Veronica
Goo Goo Dolls,Iris,2024-02-05T00:23:55,2024-02-05T00:26:55,False,Sky
Adele,Set Fire To The Rain,2024-02-05T00:25:49,2024-02-05T00:28:49,True,Q
Mr Big,Wild World,2024-02-05T00:25:44,2024-02-05T00:28:44,False,10
Santana,Black Magic Woman,2024-02-05T00:26:05,2024-02-05T00:29:39,False,5
"Alok, The Chainsmokers & Mae Stephens",JUNGLE,2024-02-05T00:26:24,2024-02-05T00:29:24,False,538
Sinead O'connor,Nothing Compares 2 U,2024-02-05T00:27:49,2024-02-05T00:32:56,False,Veronica
Douwe Bob,This World Is Our Home,2024-02-05T00:28:36,2024-02-05T00:31:36,False,Sky
Nits,The Tree,2024-02-05T00:29:36,2024-02-05T00:33:30,False,5
Ofenbach,OVERDRIVE,2024-02-05T00:29:28,2024-02-05T00:32:28,False,538
P!Nk,Never Gonna Not Dance Again,2024-02-05T00:29:44,2024-02-05T00:32:44,False,Q
Minnie Riperton,Lovin' You,2024-02-05T00:29:07,2024-02-05T00:32:07,True,10
Colbie Caillat,Bubbly,2024-02-05T00:31:35,2024-02-05T00:34:35,True,Sky
Nothing But Thieves,OVERCOME,2024-02-05T00:32:09,2024-02-05T00:35:09,False,538
Bastille,Pompei,2024-02-05T00:32:54,2024-02-05T00:35:54,False,10
Roachford,Cuddly Toy,2024-02-05T00:33:37,2024-02-05T00:37:23,False,Veronica
Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,2024-02-05T00:33:26,2024-02-05T00:35:50,True,5
Calvin Harris & Sam Smith,Desire,2024-02-05T00:33:45,2024-02-05T00:36:45,False,Q
Enrique Iglesias,CAN YOU HEAR ME,2024-02-05T00:35:39,2024-02-05T00:38:39,False,538
Chef'Special,Speed Of Light,2024-02-05T00:34:30,2024-02-05T00:37:30,False,Sky
Carpenters,Sing,2024-02-05T00:35:46,2024-02-05T00:39:02,False,5
Lauren Spencer-Smith,Fingers Crossed,2024-02-05T00:36:34,2024-02-05T00:39:34,True,Q
Johnny Logan,Hold Me Now,2024-02-05T00:36:23,2024-02-05T00:39:23,False,10
Dua Lipa,Houdini,2024-02-05T00:37:40,2024-02-05T00:40:45,True,Veronica
Pink,Never Gonna Not Dance Again,2024-02-05T00:37:31,2024-02-05T00:40:31,True,Sky
Robert Long,Heeft Een Kind Een Toekomst,2024-02-05T00:38:58,2024-02-05T00:43:22,False,5
Rondé,UNDECIDED,2024-02-05T00:39:46,2024-02-05T00:42:46,True,538
Seal,Kiss From A Rose,2024-02-05T00:39:26,2024-02-05T00:42:26,False,10
Noah Kahan,Stick Season,2024-02-05T00:40:36,2024-02-05T00:43:36,False,Q
Otis Redding,The Dock Of The Bay,2024-02-05T00:41:12,2024-02-05T00:44:12,False,Sky
Soul Asylum,Runaway Train,2024-02-05T00:41:57,2024-02-05T00:46:21,False,Veronica
The Jimi Hendrix Experience,Hey Joe,2024-02-05T00:43:30,2024-02-05T00:46:53,False,5
Kris Kross Amsterdam Ft. Conor Maynard & Sera,STAY (NEVER LEAVE),2024-02-05T00:42:20,2024-02-05T00:45:20,False,538
Alessia Cara,Scars To Your Beautiful,2024-02-05T00:43:54,2024-02-05T00:46:54,True,Sky
Dua Lipa,Love Again,2024-02-05T00:44:20,2024-02-05T00:47:20,True,10
Galantis,RUNAWAY (U & I),2024-02-05T00:45:08,2024-02-05T00:48:08,False,538
Eminem,Lose Yourself,2024-02-05T00:45:00,2024-02-05T00:48:00,False,Q
Onerepublic,Runaway,2024-02-05T00:47:34,2024-02-05T00:50:34,False,Sky
Labelle,Voulez Vous Coucher Avec Moi,2024-02-05T00:46:50,2024-02-05T00:49:50,True,10
Maroon 5,This Love,2024-02-05T00:47:48,2024-02-05T00:51:12,False,Veronica
Lionel Richie,My Destiny,2024-02-05T00:46:50,2024-02-05T00:50:26,False,5
5 Seconds Of Summer,COMPLETE MESS,2024-02-05T00:48:39,2024-02-05T00:51:39,False,538
Ariana Grande,"Yes, And?",2024-02-05T00:49:26,2024-02-05T00:52:26,True,Q
Michael Bublé,Everything,2024-02-05T00:50:11,2024-02-05T00:53:11,False,10
Linda Ronstadt,Blue Bayou,2024-02-05T00:50:27,2024-02-05T00:54:16,True,5
Ed Sheeran,Thinking Out Loud,2024-02-05T00:49:57,2024-02-05T00:52:57,False,Sky
Brothers Johnson,Stomp,2024-02-05T00:52:06,2024-02-05T00:56:07,False,Veronica
Katy Perry,FIREWORK,2024-02-05T00:51:43,2024-02-05T00:54:43,True,538
Cnco & Little Mix,Reggaeton Lento (Remix),2024-02-05T00:52:47,2024-02-05T00:55:47,False,Sky
Kenny Loggins,Footloose,2024-02-05T00:53:43,2024-02-05T00:56:43,False,10
Herman's Hermits,I'm into something good,2024-02-05T00:54:16,2024-02-05T00:56:47,False,5
