Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Tee Set,Tea Is Famous (In The Whole Wide World),2024-02-21T23:58:40,2024-02-22T00:01:44,False,5
Clarence Clemens & Jackson Browne,You're A Friend Of Mine,2024-02-22T00:00:23,2024-02-22T00:03:23,False,10
Racoon,NICKEL FOR GOODBYE,2024-02-22T00:01:46,2024-02-22T00:04:46,False,538
Britney Spears,Toxic,2024-02-22T00:01:35,2024-02-22T00:04:35,True,Q
Depeche Mode,Just Can't Get Enough,2024-02-22T00:02:27,2024-02-22T00:06:18,False,2
Nothing But Thieves,Overcome,2024-02-22T00:03:13,2024-02-22T00:06:13,False,Sky
Justin Timberlake,What Goes Around... Comes Around,2024-02-22T00:03:08,2024-02-22T00:07:07,False,3
Marvin Gaye & Tammi Terrell,Ain't Nothing Like The Real Thing,2024-02-22T00:02:31,2024-02-22T00:04:46,False,5
Bruno Mars,The Lazy Song,2024-02-22T00:04:30,2024-02-22T00:07:30,False,10
Roy Orbison,Lana,2024-02-22T00:04:43,2024-02-22T00:06:59,False,5
David Guetta & Kim Petras,WHEN WE WERE YOUNG (THE LOGICAL SONG),2024-02-22T00:05:24,2024-02-22T00:08:24,False,538
Dua Lipa,Houdini,2024-02-22T00:04:53,2024-02-22T00:07:53,True,Q
Michael Schulte,You Let Me Walk Alone,2024-02-22T00:06:26,2024-02-22T00:09:26,False,Sky
Boudewijn De Groot,Een Meisje Van 16,2024-02-22T00:06:14,2024-02-22T00:09:15,False,2
Nothing But Thieves,Oh No :: He Said What?,2024-02-22T00:07:02,2024-02-22T00:10:51,False,3
Patsy Cline,Crazy,2024-02-22T00:06:56,2024-02-22T00:09:37,True,5
Fleetwood Mac,Go Your Own Way,2024-02-22T00:07:41,2024-02-22T00:10:41,False,10
Keane,EVERYBODY'S CHANGING,2024-02-22T00:08:05,2024-02-22T00:11:05,False,538
Sigala,Melody,2024-02-22T00:07:56,2024-02-22T00:10:56,False,Q
Creed,With Arms Wide Open (strings Version),2024-02-22T00:09:16,2024-02-22T00:13:10,False,2
Nick Schilder,Realize,2024-02-22T00:09:24,2024-02-22T00:12:24,False,Sky
Buffoons,Tomorrow Is Another Day,2024-02-22T00:09:46,2024-02-22T00:12:24,False,5
Crowded House,Weather With You,2024-02-22T00:11:22,2024-02-22T00:14:22,False,10
"Maryn Charlie, Melle",Coming Of Age,2024-02-22T00:11:17,2024-02-22T00:14:02,False,3
Teddy Swims,THE DOOR,2024-02-22T00:11:44,2024-02-22T00:14:44,False,538
Di-Rect,My Blood,2024-02-22T00:12:19,2024-02-22T00:15:19,False,Q
3 Doors Down,Here Without You,2024-02-22T00:12:19,2024-02-22T00:15:19,False,Sky
The Association,Windy,2024-02-22T00:12:24,2024-02-22T00:15:14,False,5
Gloria Gaynor,I Will Survive,2024-02-22T00:13:09,2024-02-22T00:16:25,True,2
Roxette,Listen To Your Heart,2024-02-22T00:14:58,2024-02-22T00:17:58,False,Sky
Beyonce,Crazy In Love,2024-02-22T00:14:51,2024-02-22T00:17:51,True,10
