Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Luke Combs,Fast Car,2024-02-20T23:59:47,2024-02-21T00:02:47,False,Sky
Post Malone,CHEMICAL,2024-02-21T00:01:23,2024-02-21T00:04:23,False,538
Leann Rimes,Can't Fight The Moonlight,2024-02-21T00:01:59,2024-02-21T00:04:59,False,Q
5th Dimension,"Up, Up And Away",2024-02-21T00:02:37,2024-02-21T00:05:13,False,5
Adele,Set Fire To The Rain,2024-02-21T00:03:14,2024-02-21T00:06:14,True,Sky
Eagles,Lyin' Eyes,2024-02-21T00:02:21,2024-02-21T00:06:35,False,2
Kris Kross Amsterdam Ft. Conor Maynard & Sera,STAY (NEVER LEAVE),2024-02-21T00:04:15,2024-02-21T00:07:15,False,538
Whitney Houston,How Will I Know,2024-02-21T00:04:07,2024-02-21T00:07:07,True,10
Coldplay,Charlie Brown,2024-02-21T00:04:42,2024-02-21T00:08:27,False,3
Sera & Younotus,I Can't Be The Only One,2024-02-21T00:05:35,2024-02-21T00:08:35,True,Q
Martha & The Vandellas,Jimmy Mack,2024-02-21T00:05:07,2024-02-21T00:07:59,True,5
Pink Floyd,Echoes,2024-02-21T00:06:38,2024-02-21T00:30:04,False,2
R.E.M.,LOSING MY RELIGION,2024-02-21T00:07:13,2024-02-21T00:10:13,False,538
Luis Fonsi Ft Daddy Yankee,Despacito,2024-02-21T00:07:19,2024-02-21T00:10:19,False,Sky
Purple Disco Machine,Beat Of Your Heart,2024-02-21T00:08:05,2024-02-21T00:11:33,False,3
Lee Hazlewood,My Autumn's Done Come,2024-02-21T00:07:54,2024-02-21T00:11:56,False,5
Maître Gims,J'me Tire,2024-02-21T00:08:44,2024-02-21T00:11:44,False,Q
Clean Bandit Ft. Jess Glynne,Rather Be,2024-02-21T00:08:36,2024-02-21T00:11:36,False,10
Tiesto & Fast Boy,ALL MY LIFE,2024-02-21T00:11:30,2024-02-21T00:14:30,False,538
Bryan Adams,Heaven,2024-02-21T00:11:07,2024-02-21T00:14:07,False,Sky
Crosby Stills & Nash,Marrakesh Express,2024-02-21T00:12:08,2024-02-21T00:14:41,False,5
Robbie Williams,Millennium,2024-02-21T00:12:24,2024-02-21T00:15:24,False,10
Eefje De Visser,Heimwee,2024-02-21T00:13:09,2024-02-21T00:16:41,False,3
Oscar And The Wolf,Angel Face,2024-02-21T00:14:27,2024-02-21T00:17:27,False,Q
Sia,CHANDELIER,2024-02-21T00:14:05,2024-02-21T00:17:05,True,538
Taylor Swift,Cruel Summer,2024-02-21T00:14:54,2024-02-21T00:17:54,True,Sky
Dolly Dots,Radio,2024-02-21T00:15:53,2024-02-21T00:18:53,True,10
Di-Rect,Omg It's Happening,2024-02-21T00:16:41,2024-02-21T00:19:40,False,3
ZZ en de Maskers,La Comparsa,2024-02-21T00:17:15,2024-02-21T00:19:58,False,5
Will.I.Am Feat. Eva Simons,This Is Love,2024-02-21T00:17:52,2024-02-21T00:20:52,False,Q
Ten Sharp,You,2024-02-21T00:17:56,2024-02-21T00:20:56,False,Sky
Mark Ronson Feat. Amy Winehouse,Valerie,2024-02-21T00:18:53,2024-02-21T00:21:53,False,10
Percy Sledge,My Special Prayer,2024-02-21T00:19:55,2024-02-21T00:22:58,False,5
Douwe Bob,NOTHING TO LOSE,2024-02-21T00:19:45,2024-02-21T00:22:45,False,538
Kygo Ft Selena Gomez,It Ain't Me,2024-02-21T00:22:06,2024-02-21T00:25:06,False,Sky
Simple Minds,Alive And Kicking,2024-02-21T00:22:28,2024-02-21T00:25:28,False,10
De Staat,Who's Gonna Be The Goat,2024-02-21T00:21:46,2024-02-21T00:24:30,False,3
Jax Jones Ft. Mnek,WHERE DID YOU GO?,2024-02-21T00:22:36,2024-02-21T00:25:36,False,538
Davina Michelle,17,2024-02-21T00:22:56,2024-02-21T00:25:56,True,Q
Honeybus,I Can't Let Maggie Go,2024-02-21T00:22:50,2024-02-21T00:25:44,False,5
Fred Again,Delilah (pull me out of this),2024-02-21T00:24:28,2024-02-21T00:27:18,False,3
Davina Michelle,17,2024-02-21T00:25:35,2024-02-21T00:28:35,True,538
Son Mieux,Tonight,2024-02-21T00:25:47,2024-02-21T00:28:47,False,Sky
Small Faces,All Or Nothing,2024-02-21T00:25:57,2024-02-21T00:29:03,False,5
Niall Horan,Heaven,2024-02-21T00:25:37,2024-02-21T00:28:37,False,Q
Shanice,I Love Your Smile,2024-02-21T00:27:20,2024-02-21T00:30:20,True,10
Mark Ambor,Good To Be,2024-02-21T00:27:31,2024-02-21T00:29:57,False,3
Eddie Holman,Hey There Lonely Girl,2024-02-21T00:28:57,2024-02-21T00:32:30,False,5
Hanson,WHERE'S THE LOVE,2024-02-21T00:28:43,2024-02-21T00:31:43,False,538
Keane,Somewhere Only We Know,2024-02-21T00:30:19,2024-02-21T00:33:19,False,Sky
Michel Delpech,Pour Un Flirt,2024-02-21T00:30:54,2024-02-21T00:33:54,False,10
Imagine Dragons,On Top Of The World,2024-02-21T00:29:58,2024-02-21T00:33:07,False,2
Temptations,My Girl,2024-02-21T00:32:31,2024-02-21T00:35:27,False,5
Ofenbach,OVERDRIVE,2024-02-21T00:32:21,2024-02-21T00:35:21,False,538
Ofenbach & Norma Jean Martine,Overdrive,2024-02-21T00:32:35,2024-02-21T00:35:35,False,Q
Tina Turner,What's Love Got To Do With It,2024-02-21T00:33:09,2024-02-21T00:37:00,True,2
Ed Sheeran,Shivers,2024-02-21T00:34:13,2024-02-21T00:37:13,False,Sky
