Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Duran Duran,Ordinary World,2024-10-25T11:49:12,2024-10-25T11:52:12,False,10,Robert Feller
Rondé,Break My Heart,2024-10-25T12:07:39,2024-10-25T12:10:39,False,Q,Bas van Nimwegen
Don Henley,Boys Of Summer,2024-10-25T12:14:41,2024-10-25T12:19:26,False,Veronica,Sander Hoogendoorn
Lady Gaga,Disease,2024-10-25T12:14:29,2024-10-25T12:18:18,True,3,Ivo van Breukelen
Meat Loaf,You Took The Words Right Out Of My Mouth,2024-10-25T12:15:11,2024-10-25T12:19:21,False,2,Annemiekes A-Lunch
Clarence 'Frogman' Henry,But I Do,2024-10-25T13:10:30,2024-10-25T13:12:51,False,5,Lunch Lekker
Lady Gaga,DISEASE,2024-10-25T13:50:15,2024-10-25T13:53:15,True,538,Lindo Duvall
Alex Warren,Before You Leave Me,2024-10-25T13:49:56,2024-10-25T13:52:56,onbekend,Sky,Non Stop
Boney M,Daddy Cool,2024-10-25T13:50:50,2024-10-25T13:53:50,False,10,Jeroen Nieuwenhuize
Sabrina Carpenter,Espresso,2024-10-25T14:11:50,2024-10-25T14:14:50,onbekend,Q,Top 40
Blu Cantrell,Hit 'Em Up Style,2024-10-25T14:16:53,2024-10-25T14:21:03,True,3,Mart Meijer
Alain Clark,Purpose,2024-10-25T14:20:30,2024-10-25T14:24:02,False,Veronica,Stenders & Ekdom
Steve Winwood,Valerie,2024-10-25T14:17:08,2024-10-25T14:21:16,False,2,Evelien
Golden Earring,Together We Live Together We Love,2024-10-25T15:14:00,2024-10-25T15:17:06,False,5,Magical Mystery Tour
Armin Van Buuren & Chef Special,Larger Than Life,2024-10-25T15:49:47,2024-10-25T15:52:47,onbekend,Sky,Non Stop
Lady Gaga & Bruno Mars,DIE WITH A SMILE,2024-10-25T15:39:46,2024-10-25T15:42:46,onbekend,538,Evers & Co
Daft Punk Ft. Pharell Williams,Get Lucky,2024-10-25T15:50:54,2024-10-25T15:53:54,False,10,Edwin Diergaarde
Gracie Abrams,"I Love You, I'm Sorry",2024-10-25T16:13:24,2024-10-25T16:16:24,onbekend,Q,Top 40
Eliza Doolittle,Pack Up,2024-10-25T16:21:02,2024-10-25T16:24:11,True,3,De Vrijdag Vuurwerk Show
Sabrina Carpenter,Taste,2024-10-25T16:21:41,2024-10-25T16:24:25,onbekend,2,Keur In De Middag
Chef'special,Amigo,2024-10-25T16:24:19,2024-10-25T16:27:17,onbekend,Veronica,Wout & Frank
Mart Hoogkamer,Ik Spaar Geen Centen,2024-10-25T17:20:24,2024-10-25T17:23:10,False,5,De Weekendborrel
Martin Garrix Ft. Carolina Liar,SMILE,2024-10-25T17:15:40,2024-10-25T17:18:40,onbekend,538,Evers & Co
Jermaine Jackson Pia Zadora,When The Rain Begins To Fall,2024-10-25T17:48:43,2024-10-25T17:51:43,True,Sky,Feel Good Afternoon
Blondie,Heart Of Glass,2024-10-25T17:53:54,2024-10-25T17:56:54,False,10,Gijs Op 10
Vengaboys,We Like To Party,2024-10-25T18:16:48,2024-10-25T18:19:48,False,Q,Het Foute Uur
Billie Eilish,Birds Of A Feather,2024-10-25T18:23:00,2024-10-25T18:26:29,True,2,Rinkeldekinkel
Claude,Ladada (Mon Dernier Mot),2024-10-25T18:24:59,2024-10-25T18:27:43,False,3,De Vrijdag Vuurwerk Show
Eric Clapton,Wonderful Tonight,2024-10-25T18:28:22,2024-10-25T18:32:01,False,Veronica,PUP 40
Purple Disco Machine & The Magician,ALL MY LIFE,2024-10-25T19:14:42,2024-10-25T19:17:42,onbekend,538,Bas & Dylan
Sting,Love Is The Seventh Wave,2024-10-25T19:22:02,2024-10-25T19:25:32,False,5,Top 40 Hitdossier
Phil Collins,One More Night,2024-10-25T19:49:34,2024-10-25T19:52:34,False,Sky,Feel Good Evening
The Crusaders (Featuring Randy Crawford),Street Life,2024-10-25T19:51:56,2024-10-25T19:54:56,onbekend,10,Dennis Verheugd
Clean Bandit & Anne-Marie,Cry Baby,2024-10-25T20:20:38,2024-10-25T20:23:38,onbekend,Q,Tom & Bram
Michael Kiwanuka,Cold Little Heart (Albumversie),2024-10-25T20:28:09,2024-10-25T20:38:06,False,2,Het Platenpaleis
Michael Gray,The Weekend,2024-10-25T20:27:15,2024-10-25T20:30:27,False,3,De Avondvrijdagshow
Pasadenas,Riding On A Train,2024-10-25T20:32:26,2024-10-25T20:36:37,False,Veronica,PUP 40
Lady Gaga,Disease,2024-10-25T20:50:32,2024-10-25T20:53:32,True,538,Weekendmix
Peter Gabriel,Solsbury Hill,2024-10-25T21:22:54,2024-10-25T21:27:14,False,5,De Avond Van 5
Meau,Stukje Van Mij,2024-10-25T21:52:56,2024-10-25T21:55:56,True,Sky,Feel Good Evening
Gladys Knight & The Pips,Baby Don't Change Your Mind,2024-10-25T21:50:46,2024-10-25T21:53:46,True,10,Top 4000 Classics
Alex Warren,Carry You Home,2024-10-25T22:30:19,2024-10-25T22:33:19,onbekend,Q,Stephan Bouwman
BIIG PIIG,Favourite Girl,2024-10-25T22:31:20,2024-10-25T22:33:59,onbekend,3,3voor12 Radio
R.E.M.,One I Love,2024-10-25T22:36:44,2024-10-25T22:39:59,False,Veronica,Jannes Drop
Tina Turner & David Bowie,Tonight,2024-10-25T23:24:21,2024-10-25T23:27:58,True,5,- 06:00 Muzieknacht
Boney M,Rasputin,2024-10-25T23:51:46,2024-10-25T23:54:46,False,10,Top 4000 Classics
Backstreet Boys,As Long As You Love Me,2024-10-25T23:50:09,2024-10-25T23:53:09,False,Sky,Lovesongs
Boston,More Than A Feeling,2024-10-26T00:44:04,2024-10-26T00:48:46,False,Veronica,Oh Wat Een Nacht
