Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Notorious B.I.G.,Hypnotize,2024-10-25T06:00:00,2024-10-25T06:03:56,False,Veronica,Ekdom in de Morgen
Roland Kaiser,Santa Maria,2024-10-25T05:57:32,2024-10-25T06:00:41,onbekend,5,Goeiedag Haandrikman
"Clean Bandit, Anne-Marie & David Guetta",CRY BABY,2024-10-25T05:57:42,2024-10-25T06:00:42,onbekend,538,De 538 Ochtendshow
Ed Sheeran,Overpass Graffiti,2024-10-25T05:55:20,2024-10-25T05:58:20,False,Sky,Nonstop Music Morning Show
Kylie Minoque,Locomotion,2024-10-25T05:57:04,2024-10-25T06:00:04,True,10,Ochtendshow
David Guetta Feat. Kid Cudi,Memories,2024-10-25T06:02:16,2024-10-25T06:05:16,False,Q,Mattie & Marieke
Little Steven,Forever,2024-10-25T06:07:13,2024-10-25T06:11:07,False,2,Jan-Willem Start Op
Martin Garrix Ft. Carolina Liar,Smile,2024-10-25T06:06:59,2024-10-25T06:10:11,onbekend,3,Wijnand In De Ochtend
Mark Ambor,Belong Together,2024-10-25T07:50:43,2024-10-25T07:53:43,False,Sky,Nonstop Music Morning Show
Katy Perry,I KISSED A GIRL,2024-10-25T07:48:22,2024-10-25T07:51:22,True,538,De 538 Ochtendshow
The Four Tops,Reach Out I'll Be There,2024-10-25T07:51:30,2024-10-25T07:54:30,False,10,Ochtendshow
Studio,STUDIO R51,2024-10-25T08:00:00,2024-10-25T09:00:00,onbekend,5,Goeiedag Haandrikman
Alain Clark,Purpose,2024-10-25T08:05:05,2024-10-25T08:08:37,False,Veronica,Ekdom in de Morgen
Jonas Blue & Jp Cooper,Perfect Strangers,2024-10-25T08:04:28,2024-10-25T08:07:28,False,Q,Mattie & Marieke
Lil Nas X,Star Walkin',2024-10-25T08:08:59,2024-10-25T08:12:29,False,3,Wijnand In De Ochtend
Tina Turner,Private Dancer,2024-10-25T08:10:40,2024-10-25T08:14:44,True,2,Jan-Willem Start Op
Warren G. & Nate Dogg,REGULATE,2024-10-25T09:45:43,2024-10-25T09:48:43,onbekend,538,De 538 Ochtendshow
Dasha,Didn`t I,2024-10-25T09:48:50,2024-10-25T09:51:50,onbekend,Sky,Nonstop @Work
Elton John & Dua Lipa,Cold Heart (PNAU Remix),2024-10-25T09:50:21,2024-10-25T09:53:21,False,10,Ochtendshow
Nathan Evans,Wellerman (220 Kid + Billen Ted Remix),2024-10-25T10:06:48,2024-10-25T10:09:48,False,Q,Het Foute Uur
Justin Timberlake,Rock Your Body,2024-10-25T10:09:08,2024-10-25T10:13:34,False,Veronica,Goud van Oud
The Weeknd,Blinding Lights,2024-10-25T10:10:55,2024-10-25T10:14:16,False,3,Ivo van Breukelen
Martin Garrix ft. Carolina Liar,Smile,2024-10-25T10:14:24,2024-10-25T10:17:37,onbekend,2,Aan de Slag
Dire Straits,Walk Of Life,2024-10-25T11:02:49,2024-10-25T11:07:01,False,5,Arbeidsvitaminen
Rondé,TAKING MY LOVE BACK,2024-10-25T11:48:35,2024-10-25T11:51:35,False,538,Greatest Hits
Phil Collins,In The Air Tonight,2024-10-25T11:48:55,2024-10-25T11:51:55,False,Sky,Nonstop @Work
