Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Phil Collins & Philip Bailey,Easy Lover,2024-02-19T00:01:35,2024-02-19T00:06:17,False,Veronica
Cian Ducrot,I`ll Be Waiting,2024-02-19T00:02:25,2024-02-19T00:05:25,False,Sky
Spandau Ballet,Only when you leave,2024-02-19T00:02:15,2024-02-19T00:08:29,False,2
Them,Here Comes The Night,2024-02-19T00:02:32,2024-02-19T00:05:17,False,5
Justin Timberlake,Can't Stop The Feeling,2024-02-19T00:03:17,2024-02-19T00:06:17,False,10
Bebe Rexha & David Guetta,ONE IN A MILLION,2024-02-19T00:04:17,2024-02-19T00:07:17,True,538
Dean Lewis,Trust Me Mate,2024-02-19T00:05:14,2024-02-19T00:08:14,False,Q
Petula Clark,Romeo,2024-02-19T00:05:15,2024-02-19T00:07:53,True,5
Keane,Sovereign Light Café,2024-02-19T00:05:17,2024-02-19T00:08:17,False,Sky
De Dijk,Als Ze Er Niet Is,2024-02-19T00:07:24,2024-02-19T00:10:54,False,Veronica
Noah Kahan,STICK SEASON,2024-02-19T00:06:47,2024-02-19T00:09:47,False,538
Alice Cooper,How You Gonna See Me Now,2024-02-19T00:07:13,2024-02-19T00:10:13,False,10
Dionne Warwick,A House Is Not A Home,2024-02-19T00:07:51,2024-02-19T00:10:59,True,5
Melissa Etheridge,Like The Way I Do,2024-02-19T00:08:07,2024-02-19T00:11:07,True,Q
Noah Kahan,Stick Season,2024-02-19T00:08:47,2024-02-19T00:11:47,False,Sky
Ed Sheeran,CASTLE ON THE HILL,2024-02-19T00:09:55,2024-02-19T00:12:55,False,538
Billy Joel,The River Of Dreams,2024-02-19T00:11:14,2024-02-19T00:14:14,False,10
Bruno Mars,24k Magic,2024-02-19T00:11:26,2024-02-19T00:15:11,False,Veronica
Son Mieux,Tonight,2024-02-19T00:09:58,2024-02-19T00:14:29,False,2
Chiffons,Sweet Talkin' Guy,2024-02-19T00:11:07,2024-02-19T00:13:36,False,5
Sia,Never Give Up,2024-02-19T00:11:45,2024-02-19T00:14:45,True,Sky
Robin Schulz & Rita Ora & Tiago Pzk,I'll Be There,2024-02-19T00:13:12,2024-02-19T00:16:12,False,Q
Bob & Earl,Harlem Shuffle,2024-02-19T00:13:30,2024-02-19T00:16:19,False,5
"Alok, The Chainsmokers & Mae Stephens",JUNGLE,2024-02-19T00:14:07,2024-02-19T00:17:07,False,538
Alain Clark,Father And Friend,2024-02-19T00:14:45,2024-02-19T00:17:45,False,10
Heart,Barracuda,2024-02-19T00:15:28,2024-02-19T00:19:50,True,Veronica
Ed Sheeran,Overpass Graffiti,2024-02-19T00:15:53,2024-02-19T00:18:53,False,Q
Aretha Franklin,I Say A Little Prayer,2024-02-19T00:15:17,2024-02-19T00:18:17,True,Sky
Byrds,You Ain't Going Nowhere,2024-02-19T00:16:21,2024-02-19T00:18:59,False,5
