Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Cian Ducrot,Heaven,2024-02-01T00:00:33,2024-02-01T00:03:33,False,Sky
The Jacksons,Can You Feel it,2024-02-01T00:01:32,2024-02-01T00:04:32,False,10
Michael Jackson,Dirty Diana,2024-02-01T00:02:07,2024-02-01T00:06:47,False,2
Joe Cocker,You Are So Beautiful,2024-02-01T00:02:12,2024-02-01T00:04:54,False,5
Miley Cyrus,FLOWERS,2024-02-01T00:02:06,2024-02-01T00:05:06,True,538
Twenty One Pilots,Stressed Out,2024-02-01T00:02:13,2024-02-01T00:05:33,False,3
Lost Frequencies,The Feeling,2024-02-01T00:04:06,2024-02-01T00:07:06,False,Q
Boudewijn De Groot,Verdronken Vlinder,2024-02-01T00:04:45,2024-02-01T00:07:11,False,5
Ofenbach,OVERDRIVE,2024-02-01T00:05:13,2024-02-01T00:08:13,False,538
Krezip,Lost Without You,2024-02-01T00:04:23,2024-02-01T00:07:23,False,Sky
Rag 'N' Bone Man,Human,2024-02-01T00:05:27,2024-02-01T00:08:27,False,10
Anna-Rose Clayton,Did U Notice Me?,2024-02-01T00:05:33,2024-02-01T00:08:11,False,3
Rare Earth,Get Ready (Albumversie),2024-02-01T00:06:41,2024-02-01T00:28:13,False,2
Dua Lipa,Houdini,2024-02-01T00:06:37,2024-02-01T00:09:37,True,Q
Robin Schulz & Rita Ora & Tiago Pzk,I`ll Be There,2024-02-01T00:07:31,2024-02-01T00:10:31,False,Sky
Patrick Swayze & Wendy Fraser,She's Like The Wind,2024-02-01T00:07:36,2024-02-01T00:11:27,False,5
Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough,2024-02-01T00:08:45,2024-02-01T00:11:45,False,10
Deep Blue Something,BREAKFAST AT TIFFANY'S,2024-02-01T00:08:43,2024-02-01T00:11:43,False,538
Pom,RUN,2024-02-01T00:09:47,2024-02-01T00:12:53,False,3
Ch!Pz,1001 Arabian Nights,2024-02-01T00:11:27,2024-02-01T00:14:27,False,Q
Jason Mraz,I'm Yours,2024-02-01T00:10:13,2024-02-01T00:13:13,False,Sky
Beatles,Now And Then,2024-02-01T00:11:15,2024-02-01T00:15:18,False,5
Jennifer Lopez,Waiting For Tonight,2024-02-01T00:11:18,2024-02-01T00:14:18,True,10
Steve Lacy,Bad Habit,2024-02-01T00:12:54,2024-02-01T00:16:46,False,3
Flemming & Boef,CHAMPIONS LEAGUE,2024-02-01T00:12:54,2024-02-01T00:15:54,False,538
Madonna,Like A Prayer,2024-02-01T00:13:51,2024-02-01T00:16:51,True,Sky
Flemming & Zoe Tauran & Ronnie Flex,Alles Op Gevoel,2024-02-01T00:14:36,2024-02-01T00:17:36,False,Q
Leona Lewis,Bleeding Love,2024-02-01T00:15:19,2024-02-01T00:18:19,False,10
James Taylor,You've Got A Friend,2024-02-01T00:15:18,2024-02-01T00:19:48,False,5
Duncan Laurence,ARCADE,2024-02-01T00:15:27,2024-02-01T00:18:27,False,538
Kensington,Riddles,2024-02-01T00:17:35,2024-02-01T00:20:35,False,Q
Kygo & Ava Max,WHATEVER,2024-02-01T00:18:11,2024-02-01T00:21:11,False,538
Pink,All Out Of Fight,2024-02-01T00:18:49,2024-02-01T00:21:49,True,Sky
Harry Styles,To Be So Lonely,2024-02-01T00:19:29,2024-02-01T00:22:40,False,3
Blof,Vandaag,2024-02-01T00:19:43,2024-02-01T00:23:05,False,5
Rock Steady Crew,(Hey You) The Rock Steady Crew,2024-02-01T00:19:42,2024-02-01T00:22:42,False,10
Shawn Mendes,WHEN YOU'RE GONE,2024-02-01T00:21:28,2024-02-01T00:24:28,False,538
Ariana Grande,"Yes, And?",2024-02-01T00:21:40,2024-02-01T00:24:40,True,Q
Ed Sheeran,Curtains,2024-02-01T00:22:17,2024-02-01T00:25:17,False,Sky
Lf System,Afraid To Feel,2024-02-01T00:22:48,2024-02-01T00:25:04,False,3
Anita Meyer,They Don't Play Our Lovesong Anymore,2024-02-01T00:23:06,2024-02-01T00:26:46,False,5
Genesis,Jesus He Knows Me,2024-02-01T00:23:20,2024-02-01T00:26:20,False,10
Westlife,Uptown Girl,2024-02-01T00:24:55,2024-02-01T00:27:55,False,Q
Goldkimono,Money In My Head,2024-02-01T00:25:38,2024-02-01T00:28:46,False,3
"Marshmello, Pink & Sting",DREAMING,2024-02-01T00:25:48,2024-02-01T00:28:48,False,538
Enrique Iglesias,Do You Know,2024-02-01T00:26:00,2024-02-01T00:29:00,False,Sky
Roger Whittaker,I Don't Believe In If Anymore,2024-02-01T00:26:55,2024-02-01T00:30:09,False,5
Kansas,Dust In The Wind,2024-02-01T00:27:25,2024-02-01T00:30:25,False,10
New Radicals,YOU GET WHAT YOU GIVE,2024-02-01T00:28:26,2024-02-01T00:31:26,False,538
Typhoon,Hemel Valt,2024-02-01T00:28:20,2024-02-01T00:30:59,False,2
Wet Leg,Chaise Longue,2024-02-01T00:28:56,2024-02-01T00:32:12,False,3
Teddy Swims,Lose Control,2024-02-01T00:29:10,2024-02-01T00:32:10,False,Q
Bryan Adams,Please Forgive Me,2024-02-01T00:29:31,2024-02-01T00:32:31,False,Sky
Tim Dawn,A Maze,2024-02-01T00:30:02,2024-02-01T00:33:44,False,5
Gotye Ft. Kimbra,Somebody That I Used To Know,2024-02-01T00:30:44,2024-02-01T00:33:44,False,10
Fleetwood Mac,Dreams,2024-02-01T00:31:03,2024-02-01T00:35:16,False,2
Suzan & Freek,Onderweg Naar Later,2024-02-01T00:32:22,2024-02-01T00:35:22,False,Q
Noah Kahan,STICK SEASON,2024-02-01T00:32:30,2024-02-01T00:35:30,False,538
De Dijk,Ik Kan Het Niet Alleen,2024-02-01T00:33:56,2024-02-01T00:36:56,False,10
Cliff Richard,In the country,2024-02-01T00:33:38,2024-02-01T00:36:13,False,5
Chef`Special,Miracles,2024-02-01T00:35:14,2024-02-01T00:38:14,False,Sky
Snollebollekes,Links Rechts,2024-02-01T00:35:10,2024-02-01T00:37:48,False,2
Yaro Mila,issues,2024-02-01T00:34:04,2024-02-01T00:37:14,False,3
Pnau Ft. Khalid,THE HARD WAY,2024-02-01T00:35:23,2024-02-01T00:38:23,False,538
Melanie,"Look What They've Done To My Song, Ma",2024-02-01T00:36:13,2024-02-01T00:40:15,False,5
Lost Frequencies,Head Down,2024-02-01T00:37:10,2024-02-01T00:40:05,False,3
Master Kg Ft. Nomcebo Zikode,Jerusalema,2024-02-01T00:38:14,2024-02-01T00:41:14,False,Sky
Jennifer Paige,Crush,2024-02-01T00:37:56,2024-02-01T00:40:56,True,10
Oasis,Live Forever,2024-02-01T00:37:57,2024-02-01T00:41:36,False,2
Tiesto & Fast Boy,ALL MY LIFE,2024-02-01T00:39:26,2024-02-01T00:42:26,False,538
Herman van Veen,Later,2024-02-01T00:40:14,2024-02-01T00:43:53,False,5
Dimitri Vegas & Like Mike & Tiesto & Dido & W&W,Thank You (Not So Bad),2024-02-01T00:40:52,2024-02-01T00:43:52,False,Q
Kensington,Uncharted,2024-02-01T00:41:19,2024-02-01T00:44:19,False,10
Sarah Julia,Cairngorms,2024-02-01T00:40:24,2024-02-01T00:44:34,True,3
Toto,Africa,2024-02-01T00:41:21,2024-02-01T00:44:21,False,Sky
Spandau Ballet,Through The Barricades,2024-02-01T00:41:34,2024-02-01T00:46:57,False,2
Snow Patrol,SHUT YOUR EYES,2024-02-01T00:41:53,2024-02-01T00:44:53,False,538
Chubby Checker,Limbo rock,2024-02-01T00:44:02,2024-02-01T00:46:25,False,5
Janet Jackson,Together Again,2024-02-01T00:42:53,2024-02-01T00:45:53,True,Q
War On Drugs,Change,2024-02-01T00:44:22,2024-02-01T00:48:41,False,3
Anne-Marie & Shania Twain,UNHEALTHY,2024-02-01T00:45:02,2024-02-01T00:48:02,True,538
Luke Combs,Fast Car,2024-02-01T00:45:43,2024-02-01T00:48:43,False,Sky
Ray Charles,Hit The Road Jack,2024-02-01T00:45:11,2024-02-01T00:48:11,False,10
Henk Wijngaard,Met De Vlam In De Pijp,2024-02-01T00:46:58,2024-02-01T00:49:55,False,2
Keane,Somewhere Only We Know,2024-02-01T00:46:25,2024-02-01T00:50:20,False,5
Dean Lewis,Trust Me Mate,2024-02-01T00:47:45,2024-02-01T00:50:45,False,Q
The Corrs,Breathless,2024-02-01T00:47:06,2024-02-01T00:50:06,False,10
Oliver Heldens,GECKO,2024-02-01T00:48:39,2024-02-01T00:51:39,False,538
Lost Frequencies Ft. Elley Duhe & X Ambassadors,Back To You,2024-02-01T00:49:07,2024-02-01T00:52:07,False,Sky
Bicep,Glue,2024-02-01T00:48:36,2024-02-01T00:52:28,False,3
Stranglers,Golden Brown,2024-02-01T00:50:42,2024-02-01T00:53:42,False,10
The Boxer Rebellion,Diamonds,2024-02-01T00:49:44,2024-02-01T00:53:46,False,2
Randy Vanwarmer,Just When I Needed You The Most,2024-02-01T00:50:13,2024-02-01T00:54:12,False,5
Mark Ambor,Good To Be,2024-02-01T00:50:35,2024-02-01T00:53:35,False,Q
Metejoor & Hannah Mae,WAT WIL JE VAN MIJ,2024-02-01T00:51:19,2024-02-01T00:54:19,False,538
John Legend,Love Me Now,2024-02-01T00:51:44,2024-02-01T00:54:44,False,Sky
Robbie Williams,Millennium,2024-02-01T00:54:01,2024-02-01T00:57:01,False,10
Donna Summer,MacArthur Park,2024-02-01T00:53:50,2024-02-01T00:57:45,True,2
Cezanne,Perfect Design,2024-02-01T00:53:23,2024-02-01T00:56:48,False,3
Nat King Cole,Let There Be Love,2024-02-01T00:54:13,2024-02-01T00:56:55,False,5
Mando Diao,DANCE WITH SOMEBODY,2024-02-01T00:54:35,2024-02-01T00:57:35,False,538
Gigi D'Agostino,L'amour Toujours,2024-02-01T00:55:33,2024-02-01T00:58:33,False,Q
Bon Jovi,It's My Life (accoustic),2024-02-01T00:55:12,2024-02-01T00:58:12,False,Sky
Mai Tai,Am I Losing You Forever,2024-02-01T00:56:53,2024-02-01T01:01:24,False,5
Blue Öyster Cult,Don't Fear The Reaper,2024-02-01T00:57:41,2024-02-01T01:01:27,False,2
Chef'Special,SPEED OF LIGHT,2024-02-01T00:58:25,2024-02-01T01:01:25,False,538
Tina Turner,The Best,2024-02-01T00:59:28,2024-02-01T01:02:28,True,10
