Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Toto,Stop Loving You,2024-02-12T00:03:02,2024-02-12T00:07:30,False,Veronica
Massada,Sajang É,2024-02-12T00:02:39,2024-02-12T00:07:01,False,5
Chef'Special,MIRACLES,2024-02-12T00:02:04,2024-02-12T00:05:04,False,538
Lewis Capaldi,Forget Me,2024-02-12T00:02:56,2024-02-12T00:05:56,False,Sky
Tina Turner & David Bowie,Tonight (Live),2024-02-12T00:03:29,2024-02-12T00:06:29,False,10
Loreen,Is It Love,2024-02-12T00:04:50,2024-02-12T00:07:50,True,Q
Lucas & Steve Ft. Conor Byrne,WHAT WE KNOW,2024-02-12T00:04:57,2024-02-12T00:07:57,False,538
Limp Bizkit,Behind Blue Eyes,2024-02-12T00:06:16,2024-02-12T00:09:16,False,Sky
White Plains,When You Are A King,2024-02-12T00:06:59,2024-02-12T00:09:48,False,5
Bryan Adams,Summer Of '69,2024-02-12T00:07:05,2024-02-12T00:10:05,False,Q
Mr. Probz,Waves,2024-02-12T00:06:59,2024-02-12T00:09:59,False,10
Robin S,Show Me Love,2024-02-12T00:08:21,2024-02-12T00:12:03,True,Veronica
Bon Jovi,LIVIN' ON A PRAYER,2024-02-12T00:07:41,2024-02-12T00:10:41,False,538
Scott McKenzie,San Francisco (Be Sure To Wear Some Flowers In Your Hair),2024-02-12T00:09:58,2024-02-12T00:12:58,False,5
Noah Kahan,Stick Season,2024-02-12T00:10:49,2024-02-12T00:13:49,False,Sky
Sister Sledge,We Are Family,2024-02-12T00:09:49,2024-02-12T00:12:49,True,10
Claude,ECOUTEZ-MOI,2024-02-12T00:11:23,2024-02-12T00:14:23,False,538
Harry Styles,Sign Of The Times,2024-02-12T00:12:53,2024-02-12T00:16:59,False,Veronica
Mister & Mrs,Million Reasons,2024-02-12T00:12:59,2024-02-12T00:16:12,False,5
Adele,Hello,2024-02-12T00:13:44,2024-02-12T00:16:44,True,Sky
Pet Shop Boys,Go West,2024-02-12T00:13:16,2024-02-12T00:16:16,False,10
Onerepublic,COUNTING STARS,2024-02-12T00:13:57,2024-02-12T00:16:57,False,538
Maggie MacNeal,When You're Gone,2024-02-12T00:16:09,2024-02-12T00:20:36,False,5
Flemming & Zoe Tauran & Ronnie Flex,Alles Op Gevoel,2024-02-12T00:15:31,2024-02-12T00:18:31,False,Q
Eagles,Life In The Fast Lane,2024-02-12T00:17:12,2024-02-12T00:21:56,False,Veronica
Wet Wet Wet,Love Is All Around,2024-02-12T00:17:54,2024-02-12T00:20:54,False,Sky
No Doubt,It's My Life,2024-02-12T00:17:16,2024-02-12T00:20:16,False,10
Purple Disco Machine,BEAT OF YOUR HEART,2024-02-12T00:18:34,2024-02-12T00:21:34,False,538
Armin Van Buuren & Billen Ted & Jc Stewart,Come Around Again,2024-02-12T00:18:32,2024-02-12T00:21:32,False,Q
The Common Linnets,Calm After The Storm,2024-02-12T00:20:26,2024-02-12T00:23:30,False,5
Julian Lennon,Too Late For Goodbyes,2024-02-12T00:21:01,2024-02-12T00:24:01,False,10
Dermot Kennedy,BETTER DAYS,2024-02-12T00:21:46,2024-02-12T00:24:46,False,538
Marshmello & Jonas Brothers,Leave Before You Love Me,2024-02-12T00:21:37,2024-02-12T00:24:37,False,Sky
