Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Pink,Runaway,2024-02-02T00:01:04,2024-02-02T00:04:04,True,Sky
The Police,Roxanne,2024-02-02T00:02:12,2024-02-02T00:05:25,False,2
Rob De Nijs,Ritme Van De Regen,2024-02-02T00:02:15,2024-02-02T00:04:41,False,5
Onerepublic,RUNAWAY,2024-02-02T00:03:44,2024-02-02T00:06:44,False,538
Gabry Ponte & Lum!X & Daddy Dj,We Could Be Together,2024-02-02T00:03:21,2024-02-02T00:06:21,False,Q
Mr Probz,Waves,2024-02-02T00:03:43,2024-02-02T00:06:43,False,Sky
Tina Turner & David Bowie,Tonight (Live),2024-02-02T00:03:39,2024-02-02T00:06:39,False,10
Linkin Park,Numb,2024-02-02T00:05:14,2024-02-02T00:08:23,False,2
Cat Stevens,Father And Son,2024-02-02T00:04:37,2024-02-02T00:08:15,False,5
Taylor Swift,Cruel Summer,2024-02-02T00:06:05,2024-02-02T00:09:05,True,Q
Dua Lipa,HOUDINI,2024-02-02T00:06:02,2024-02-02T00:09:02,True,538
Taylor Swift,Cruel Summer,2024-02-02T00:06:36,2024-02-02T00:09:36,True,Sky
Kurt Nilsen,She's So High,2024-02-02T00:07:08,2024-02-02T00:10:08,False,10
Noah Kahan,Stick Season,2024-02-02T00:06:54,2024-02-02T00:09:44,False,3
Bankzitters,Cupido,2024-02-02T00:08:23,2024-02-02T00:10:46,False,2
INXS,Never Tear Us Apart,2024-02-02T00:08:23,2024-02-02T00:11:21,False,5
Faithless,WE COME 1,2024-02-02T00:09:16,2024-02-02T00:12:16,False,538
Lewis Capaldi,Someone You Loved,2024-02-02T00:09:32,2024-02-02T00:12:32,False,Sky
Aronchupa,I'm An Albatraoz,2024-02-02T00:11:09,2024-02-02T00:14:09,False,Q
Stevie Wonder,Sir Duke,2024-02-02T00:11:14,2024-02-02T00:14:14,False,10
Traveling Wilburys,Handle With Care,2024-02-02T00:10:49,2024-02-02T00:14:02,False,2
Yentl,For The Better Of Me,2024-02-02T00:11:18,2024-02-02T00:14:56,False,5
Pink,ALL OUT OF FIGHT,2024-02-02T00:12:13,2024-02-02T00:15:13,True,538
Starship,Nothing's Gonna Stop Us Now,2024-02-02T00:12:30,2024-02-02T00:15:30,False,Sky
Robin Schulz & Rita Ora & Tiago Pzk,I'll Be There,2024-02-02T00:13:50,2024-02-02T00:16:50,False,Q
Nielson,IJskoud,2024-02-02T00:14:13,2024-02-02T00:17:41,False,2
Julien Clerc,This Melody,2024-02-02T00:14:53,2024-02-02T00:19:02,False,5
Ed Sheeran,SHAPE OF YOU,2024-02-02T00:15:34,2024-02-02T00:18:34,False,538
Goo Goo Dolls,Iris,2024-02-02T00:15:19,2024-02-02T00:18:19,False,10
The Weeknd,Blinding Lights,2024-02-02T00:16:30,2024-02-02T00:19:30,False,Q
Noah Kahan,Stick Season,2024-02-02T00:16:53,2024-02-02T00:19:53,False,Sky
Oscar And The Wolf,Angel Face,2024-02-02T00:17:10,2024-02-02T00:20:38,False,3
Jonas Brothers,Only Human,2024-02-02T00:18:41,2024-02-02T00:21:41,False,10
Blaudzun,Promises Of No Man's Land,2024-02-02T00:17:38,2024-02-02T00:21:07,False,2
Robert Palmer,Mercy Mercy Me / I Want You,2024-02-02T00:18:58,2024-02-02T00:23:48,False,5
Lucas & Steve X Skinny Days,WHEN I WAKE UP,2024-02-02T00:19:52,2024-02-02T00:22:52,False,538
Luis Fonsi Ft Daddy Yankee,Despacito,2024-02-02T00:19:47,2024-02-02T00:22:47,False,Sky
Dua Lipa,Houdini,2024-02-02T00:20:55,2024-02-02T00:23:50,True,3
Mai Tai,History,2024-02-02T00:21:43,2024-02-02T00:24:43,False,10
Elton John,Rocket Man,2024-02-02T00:21:12,2024-02-02T00:25:54,False,2
Lil Nas X,THAT'S WHAT I WANT,2024-02-02T00:22:16,2024-02-02T00:25:16,False,538
Hannah Mae,Waterdicht,2024-02-02T00:22:10,2024-02-02T00:25:10,False,Q
Eurythmics,Here Comes The Rain Again,2024-02-02T00:23:42,2024-02-02T00:27:44,False,5
Backstreet Boys,I Want It That Way,2024-02-02T00:23:37,2024-02-02T00:26:37,False,Sky
Fontaines D.C.,Jackie Down The Line,2024-02-02T00:23:57,2024-02-02T00:27:57,False,3
Teddy Swims,LOSE CONTROL,2024-02-02T00:25:00,2024-02-02T00:28:00,False,538
Lykke Li,I Follow Rivers,2024-02-02T00:25:10,2024-02-02T00:28:10,True,Q
Janet Jackson,Together Again,2024-02-02T00:25:36,2024-02-02T00:28:36,True,10
Earth & Fire,Memories,2024-02-02T00:25:42,2024-02-02T00:29:02,False,2
Teddy Swims,Lose Control,2024-02-02T00:27:12,2024-02-02T00:30:12,False,Sky
LA ROUX,Bulletproof,2024-02-02T00:28:17,2024-02-02T00:31:42,False,3
Dr. Hook,Sharing The Night Together,2024-02-02T00:27:51,2024-02-02T00:30:42,False,5
Men At Work,DOWN UNDER,2024-02-02T00:28:25,2024-02-02T00:31:25,False,538
Oos Joos,Bloemkole,2024-02-02T00:28:59,2024-02-02T00:32:34,False,2
Tate Mcrae,Greedy,2024-02-02T00:30:00,2024-02-02T00:33:00,False,Q
Maroon 5,Misery,2024-02-02T00:29:33,2024-02-02T00:32:33,False,10
