Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Salt-N-Pepa,Push It,2024-02-25T01:02:09,2024-02-25T01:05:35,False,2
Mark Ronson/Bruno Mars,Uptown Funk,2024-02-25T01:02:26,2024-02-25T01:06:56,False,3
The Who,My Generation,2024-02-25T01:02:14,2024-02-25T01:05:35,False,5
Racoon,Nickel For Goodbye,2024-02-25T01:04:08,2024-02-25T01:07:08,False,Sky
Lenny Kravitz,Are You Gonna Go My Way,2024-02-25T01:06:02,2024-02-25T01:09:32,False,Veronica
Bakermat ft. Albert Gold,Trouble,2024-02-25T01:05:37,2024-02-25T01:08:45,False,2
America,The Border,2024-02-25T01:05:33,2024-02-25T01:09:31,False,5
Bon Jovi,It's My LIfe,2024-02-25T01:06:05,2024-02-25T01:09:05,False,10
Teddy Swims,Lose Control,2024-02-25T01:06:50,2024-02-25T01:10:18,False,3
Ava Max,Kings & Queens,2024-02-25T01:07:54,2024-02-25T01:10:54,True,Sky
Luv',Trojan Horse,2024-02-25T01:09:52,2024-02-25T01:12:52,True,10
Eminem,Stan,2024-02-25T01:10:20,2024-02-25T01:15:51,False,Veronica
Otis Clay,The Only Way Is Up,2024-02-25T01:08:43,2024-02-25T01:12:26,False,2
Di-Rect,My Blood,2024-02-25T01:10:38,2024-02-25T01:13:38,False,Sky
Gladys Knight & The Pips,Baby Don't Change Your Mind,2024-02-25T01:09:39,2024-02-25T01:12:49,True,5
KC & The Sunshine Band,Give It Up,2024-02-25T01:12:30,2024-02-25T01:16:40,False,2
Froukje,Kwijt,2024-02-25T01:11:45,2024-02-25T01:14:34,True,3
The Rolling Stones,Mess It Up,2024-02-25T01:12:44,2024-02-25T01:16:45,False,5
Jennifer Paige,Crush,2024-02-25T01:13:19,2024-02-25T01:16:19,True,10
Sheppard,Learning To Fly,2024-02-25T01:14:28,2024-02-25T01:17:39,False,3
Alicia Keys,Empire State Of Mind (Part II),2024-02-25T01:14:12,2024-02-25T01:17:12,True,Sky
Supertramp,Goodbye Stranger,2024-02-25T01:15:54,2024-02-25T01:21:01,False,Veronica
Pink,All I Know So Far,2024-02-25T01:16:30,2024-02-25T01:19:30,True,10
Propellerheads ft. Shirley Bassey,History Repeating,2024-02-25T01:16:26,2024-02-25T01:20:29,False,2
Labi Siffre,It Must Be Love,2024-02-25T01:16:44,2024-02-25T01:20:32,False,5
Abba,Dancing Queen,2024-02-25T01:16:55,2024-02-25T01:19:55,False,Sky
The Cure,Friday I'm In Love,2024-02-25T01:17:30,2024-02-25T01:20:58,False,3
Sheila E,Love Bizarre,2024-02-25T01:20:23,2024-02-25T01:24:11,False,2
Jan Smit,Dan Volg Je Haar Benen,2024-02-25T01:20:26,2024-02-25T01:23:25,False,5
Douwe Bob,This World Is Our Home,2024-02-25T01:20:28,2024-02-25T01:23:28,False,Sky
Talk Talk,Such A Shame,2024-02-25T01:21:07,2024-02-25T01:24:07,False,10
Miley Cyrus,Midnight Sky,2024-02-25T01:21:27,2024-02-25T01:25:08,True,Veronica
Calvin Harris & Ellie Goulding,Miracle,2024-02-25T01:20:53,2024-02-25T01:23:53,False,3
